Time after Ignition,Hemp_Sheet_R1,Hemp_Sheet_R2,Hemp_Sheet_R3,Mean,Std. Dev.
0.0,71.5,116.7,107.9,98.7,24.0
0.25,79.7,127.2,131.6,112.8,28.8
0.5,113.9,144.2,151.3,136.5,19.9
0.75,140.5,154.1,175.0,156.5,17.4
1.0,166.9,165.6,185.0,172.5,10.9
1.25,183.5,180.9,194.7,186.4,7.3
1.5,213.2,196.1,208.5,205.9,8.8
1.75,218.9,207.0,223.8,216.6,8.7
2.0,234.1,218.0,232.2,228.1,8.8
2.25,258.3,228.4,237.9,241.5,15.3
2.5,267.8,239.3,254.6,253.9,14.3
2.75,289.2,250.6,270.9,270.3,19.3
3.0,313.3,272.8,285.6,290.6,20.7
3.25,326.5,282.7,308.3,305.8,22.0
3.5,352.1,291.1,313.4,318.8,30.9
3.75,366.2,312.2,329.9,336.1,27.5
4.0,364.8,315.9,336.8,339.2,24.6
4.25,362.3,307.2,346.4,338.6,28.3
4.5,365.9,310.3,339.4,338.6,27.8
4.75,367.2,304.8,335.2,335.7,31.2
5.0,354.6,300.3,331.0,328.6,27.2
5.25,346.5,292.7,327.5,322.2,27.3
5.5,334.7,280.3,315.2,310.1,27.6
5.75,324.2,271.9,306.2,300.8,26.6
6.0,306.5,265.2,294.6,288.8,21.3
6.25,293.1,255.0,288.1,278.7,20.7
6.5,295.3,251.0,281.1,275.8,22.6
6.75,282.1,237.6,274.3,264.7,23.7
7.0,268.7,229.3,262.6,253.6,21.2
7.25,256.9,218.0,254.3,243.1,21.7
7.5,241.0,212.7,241.0,231.6,16.3
7.75,227.4,201.5,233.6,220.8,17.0
8.0,214.1,195.1,222.1,210.4,13.9
8.25,203.0,190.2,212.4,201.9,11.1
8.5,191.9,183.4,205.0,193.4,10.9
8.75,181.2,172.6,197.0,183.6,12.3
9.0,170.6,166.0,185.4,174.0,10.1
9.25,162.3,161.0,177.7,167.0,9.3
9.5,152.7,147.0,168.9,156.2,11.3
9.75,146.2,148.6,163.7,152.8,9.5
10.0,136.9,141.0,152.8,143.6,8.3
10.25,129.3,134.8,144.7,136.3,7.8
10.5,122.9,129.2,137.8,130.0,7.5
10.75,114.6,123.0,127.3,121.6,6.5
11.0,108.9,118.0,121.8,116.2,6.6
11.25,103.6,110.7,115.4,109.9,5.9
11.5,97.9,107.9,112.2,106.0,7.3
11.75,93.2,102.5,107.5,101.0,7.2
12.0,88.0,97.6,102.1,95.9,7.2
12.25,83.9,90.6,97.6,90.7,6.9
12.5,78.1,87.4,93.4,86.3,7.7
12.75,73.8,83.4,88.6,81.9,7.5
13.0,70.2,80.1,86.1,78.8,8.0
13.25,64.9,76.3,82.8,74.7,9.1
13.5,63.6,72.1,79.4,71.7,7.9
13.75,58.0,70.4,76.6,68.3,9.5
14.0,54.4,68.4,72.7,65.2,9.6
14.25,51.8,65.4,72.1,63.1,10.3
14.5,49.5,61.3,68.6,59.8,9.6
14.75,46.3,59.5,66.3,57.4,10.1
15.0,43.8,57.2,64.9,55.3,10.7
15.25,42.0,55.0,61.3,52.8,9.9
15.5,39.7,53.5,59.4,50.8,10.1
15.75,37.4,50.4,57.6,48.5,10.2
