##Temp./°C,Time/min,DSC(subtr.2)/(mW/mg),Mass loss(subtr.2)/mg,Sensit./(uV/mW)
49.846,10.01,0.003962587,0.01152,1.07508
49.946,10.403739999999999,0.004064627,0.0120941,1.07503
50.046,10.50917,0.01092894,0.01179207,1.07497
50.146,10.57939,0.0178829,0.01009935,1.07492
50.246,10.63815,0.02722579,0.009220906999999999,1.07487
50.346,10.68507,0.03042677,0.0102764,1.07482
50.446,10.72679,0.03298567,0.01063546,1.07477
50.546,10.763910000000001,0.03938845,0.0120375,1.07471
50.646,10.79787,0.04448919,0.0126841,1.07466
50.746,10.82965,0.04811079,0.01241463,1.07461
50.846,10.85945,0.05539142,0.01242045,1.07456
50.946,10.8875,0.05671769,0.01215091,1.07451
51.046,10.91441,0.06275826,0.0119036,1.07445
51.146,10.93994,0.06452043,0.01250911,1.0744
51.246,10.964310000000001,0.06816971,0.01213536,1.07435
51.346,10.98803,0.07265069,0.01127235,1.0743
51.446,11.01111,0.07524051,0.01076768,1.07425
51.546,11.03329,0.08012302,0.01130295,1.07419
51.646,11.05465,0.08124575,0.011371,1.0741399999999999
51.746,11.0758,0.08496599,0.01141113,1.07409
51.846,11.09642,0.08770193,0.01169476,1.0740399999999999
51.946,11.11631,0.09248429,0.01204849,1.07398
52.046,11.13589,0.09488954,0.01235749,1.0739299999999998
52.146,11.15493,0.09803326,0.01246695,1.07388
52.246,11.1736,0.10076,0.01263796,1.0738299999999998
52.346,11.191980000000001,0.10514000000000001,0.01315168,1.07378
52.446,11.21017,0.10605999999999999,0.01296311,1.07372
52.546,11.22781,0.10739000000000001,0.01400822,1.0736700000000001
52.646,11.24517,0.11125,0.01378164,1.07362
52.746,11.26217,0.11370999999999999,0.01406643,1.0735700000000001
52.846,11.27887,0.11432,0.01417142,1.07352
52.946,11.2954,0.11828,0.01372619,1.07346
53.046,11.31152,0.11967,0.01455994,1.07341
53.146,11.32743,0.12317,0.01463612,1.07336
53.246,11.34327,0.12455,0.01497358,1.07331
53.346,11.358839999999999,0.12638,0.01573497,1.07326
53.446,11.3744,0.12972999999999998,0.01466665,1.0732
53.546,11.389619999999999,0.13005,0.01514622,1.07315
53.646,11.40467,0.1326,0.01457586,1.0731
53.746,11.4196,0.13577999999999998,0.01387188,1.07305
53.846,11.434460000000001,0.13672,0.01370351,1.073
53.946,11.44893,0.14065,0.01364868,1.07294
54.046,11.46343,0.14121,0.01281001,1.07289
54.146,11.47781,0.14234000000000002,0.0131689,1.07284
54.246,11.49216,0.14567,0.01306951,1.07279
54.346,11.50629,0.14565999999999998,0.01297518,1.07273
54.446,11.5205,0.14754,0.01287598,1.0726799999999999
54.546,11.53456,0.15015,0.01261951,1.07263
54.646,11.548119999999999,0.1517,0.0120333,1.0725799999999999
54.746,11.561860000000001,0.15245999999999998,0.0120808,1.07253
54.846,11.57553,0.15392999999999998,0.01219041,1.07247
54.946,11.589269999999999,0.1549,0.01244442,1.0724200000000002
55.046,11.60288,0.15949000000000002,0.01315415,1.07237
55.146,11.61628,0.16025,0.01254371,1.0723200000000002
55.246,11.6296,0.16177,0.01403764,1.07227
55.346,11.64279,0.1616,0.01336196,1.07221
55.446,11.6561,0.16403,0.01403901,1.07216
55.546,11.669319999999999,0.16535999999999998,0.01441685,1.0721100000000001
55.646,11.68248,0.16841,0.01570314,1.07206
55.746,11.69554,0.16908,0.01450597,1.0720100000000001
55.846,11.70839,0.17045,0.01491378,1.07195
55.946,11.72125,0.1705,0.01493026,1.0719
56.046,11.73402,0.17365999999999998,0.01415568,1.07185
56.146,11.7469,0.17418,0.01482593,1.0718
56.246,11.75986,0.1765,0.01415632,1.07175
56.346,11.77249,0.17612,0.01414663,1.07169
56.446,11.785110000000001,0.17717,0.01439272,1.07164
56.546,11.79771,0.1762,0.01545622,1.07159
56.646,11.81022,0.17986,0.01445922,1.07154
56.746,11.82278,0.17947000000000002,0.01465436,1.07149
56.846,11.83497,0.17999,0.01551121,1.0714299999999999
56.946,11.84722,0.18159,0.01430443,1.07138
57.046,11.8596,0.18198,0.0140049,1.07133
57.146,11.87185,0.18378,0.01499216,1.07128
57.246,11.88412,0.18462,0.0138429,1.07123
