Time after Ignition,Wool_Rug_R1,Wool_Rug_R2,Wool_Rug_R3,Mean,Std. Dev.
0.0,7.8,9.1,11.3,9.4,1.8
0.25,17.5,12.1,15.8,15.1,2.7
0.5,26.2,14.9,19.3,20.1,5.7
0.75,33.5,17.3,22.2,24.3,8.3
1.0,41.0,19.3,24.6,28.3,11.3
1.25,46.2,21.3,36.9,34.8,12.6
1.5,50.7,33.1,49.4,44.4,9.8
1.75,68.5,43.7,59.0,57.1,12.5
2.0,80.6,51.4,66.5,66.2,14.6
2.25,93.8,72.7,89.5,85.3,11.2
2.5,104.5,91.0,88.5,94.7,8.6
2.75,118.8,106.9,105.7,110.4,7.3
3.0,131.8,122.7,125.5,126.7,4.7
3.25,143.2,131.4,135.7,136.8,6.0
3.5,157.7,151.8,157.7,155.8,3.4
3.75,172.2,174.4,171.4,172.6,1.5
4.0,183.9,183.3,190.3,185.8,3.9
4.25,195.3,196.8,204.7,198.9,5.0
4.5,207.9,211.5,217.1,212.2,4.6
4.75,217.7,229.3,232.9,226.6,7.9
5.0,232.0,240.8,243.3,238.7,5.9
5.25,243.0,249.3,254.6,249.0,5.8
5.5,242.2,266.0,262.7,257.0,12.9
5.75,252.4,273.2,276.8,267.4,13.2
6.0,261.1,286.4,285.6,277.7,14.4
6.25,279.1,291.8,289.6,286.9,6.8
6.5,280.2,301.5,307.8,296.5,14.4
6.75,290.7,303.9,306.9,300.5,8.6
7.0,288.7,308.7,306.4,301.3,10.9
7.25,296.4,309.4,311.8,305.9,8.3
7.5,296.1,326.0,317.5,313.2,15.4
7.75,305.5,334.1,319.7,319.8,14.3
8.0,311.8,318.8,331.4,320.7,10.0
8.25,319.7,326.0,336.9,327.5,8.7
8.5,319.6,334.5,336.4,330.2,9.2
8.75,323.0,338.2,332.7,331.3,7.7
9.0,324.2,340.9,339.9,335.0,9.4
9.25,322.2,348.5,347.0,339.2,14.7
9.5,328.9,352.3,346.7,342.6,12.2
9.75,342.7,346.1,344.1,344.3,1.7
10.0,332.5,357.1,347.2,345.6,12.4
10.25,335.7,353.5,345.4,344.9,8.9
10.5,338.2,348.6,353.1,346.6,7.6
10.75,338.6,350.2,353.3,347.4,7.8
11.0,341.7,356.5,350.1,349.4,7.5
11.25,340.4,349.1,343.6,344.4,4.4
11.5,343.8,348.6,347.2,346.5,2.5
11.75,343.0,356.5,346.4,348.6,7.0
12.0,333.8,347.1,343.9,341.6,7.0
12.25,339.2,349.8,343.9,344.3,5.3
12.5,335.3,351.7,342.1,343.1,8.3
12.75,340.4,351.3,340.2,344.0,6.4
13.0,330.1,339.5,335.7,335.1,4.7
13.25,330.8,343.8,339.7,338.1,6.6
13.5,323.9,346.2,334.4,334.8,11.1
13.75,331.0,344.3,341.6,339.0,7.0
14.0,331.5,343.1,335.8,336.8,5.9
14.25,320.6,341.9,331.0,331.2,10.6
14.5,320.6,332.5,331.3,328.1,6.6
14.75,317.3,335.0,329.6,327.3,9.0
15.0,319.0,333.6,329.0,327.2,7.5
15.25,310.4,330.1,328.2,322.9,10.9
15.5,309.0,326.7,326.3,320.7,10.1
15.75,309.6,325.2,324.1,319.6,8.7
16.0,309.8,329.8,323.9,321.1,10.3
16.25,303.0,321.5,319.7,314.8,10.2
16.5,300.5,325.2,315.2,313.6,12.4
16.75,304.8,326.0,316.1,315.6,10.6
17.0,307.5,315.9,314.5,312.6,4.5
17.25,297.2,320.6,315.0,310.9,12.2
17.5,295.6,319.0,317.8,310.8,13.2
17.75,296.5,311.9,311.4,306.6,8.8
18.0,293.6,307.2,304.4,301.7,7.2
18.25,290.6,305.9,302.6,299.7,8.1
18.5,293.2,307.2,311.7,304.1,9.6
18.75,288.3,306.6,302.1,299.0,9.5
19.0,287.6,294.1,305.8,295.8,9.2
19.25,283.2,299.4,299.9,294.2,9.5
19.5,281.6,295.5,296.4,291.2,8.3
19.75,281.6,294.1,298.6,291.4,8.8
20.0,278.7,295.1,294.4,289.4,9.3
20.25,279.1,300.8,294.9,291.6,11.2
20.5,285.2,292.2,295.4,290.9,5.2
20.75,276.3,288.4,290.3,285.0,7.6
21.0,278.1,293.2,288.8,286.7,7.8
21.25,274.9,292.5,294.3,287.2,10.7
21.5,272.5,293.9,290.2,285.5,11.5
21.75,266.8,288.4,283.1,279.4,11.3
22.0,273.5,281.0,283.9,279.4,5.4
22.25,270.0,287.1,281.9,279.7,8.8
22.5,271.8,285.2,284.6,280.5,7.6
22.75,266.3,284.6,284.3,278.4,10.5
23.0,262.0,284.7,278.9,275.2,11.8
23.25,268.2,280.9,270.8,273.3,6.7
23.5,264.5,277.7,277.5,273.3,7.5
23.75,263.0,278.1,270.6,270.6,7.6
24.0,262.8,274.5,277.0,271.4,7.5
24.25,265.1,274.7,271.3,270.4,4.9
24.5,261.0,268.5,276.0,268.5,7.5
24.75,262.1,268.2,273.7,268.0,5.8
25.0,260.9,269.1,266.4,265.4,4.2
25.25,257.5,267.6,263.9,263.0,5.1
25.5,258.3,263.3,268.1,263.2,4.9
25.75,256.3,264.5,263.4,261.4,4.5
26.0,251.3,265.4,262.2,259.7,7.4
26.25,252.2,262.4,265.6,260.0,7.0
26.5,256.3,264.5,259.1,260.0,4.2
26.75,252.7,261.6,261.3,258.5,5.1
27.0,250.0,262.6,265.4,259.3,8.2
27.25,252.7,262.1,257.0,257.3,4.7
27.5,250.5,260.1,260.5,257.0,5.6
27.75,252.6,260.2,253.8,255.6,4.1
28.0,251.1,260.8,257.0,256.3,4.9
28.25,248.5,260.0,253.1,253.9,5.8
28.5,245.5,259.4,249.1,251.3,7.2
28.75,246.7,253.6,254.3,251.5,4.2
29.0,242.9,256.3,256.0,251.7,7.6
29.25,250.1,258.0,252.9,253.7,4.0
29.5,246.6,252.7,251.1,250.1,3.2
29.75,242.4,255.6,246.8,248.3,6.7
30.0,244.4,253.0,245.7,247.7,4.6
30.25,242.2,248.1,249.9,246.8,4.0
30.5,239.7,248.8,248.2,245.5,5.1
30.75,239.7,247.0,245.2,244.0,3.8
31.0,237.6,249.8,243.6,243.7,6.1
31.25,239.8,250.0,241.7,243.8,5.4
31.5,239.8,246.6,236.2,240.9,5.3
31.75,235.0,246.4,239.7,240.4,5.7
32.0,234.5,244.2,239.9,239.5,4.8
32.25,232.2,242.1,240.8,238.4,5.4
32.5,235.9,244.3,237.7,239.3,4.4
32.75,231.8,244.8,237.7,238.1,6.5
33.0,231.2,239.5,234.8,235.2,4.2
33.25,230.2,239.0,233.0,234.1,4.5
33.5,227.6,235.4,235.0,232.7,4.4
33.75,226.9,235.5,232.7,231.7,4.4
34.0,224.5,235.3,231.6,230.5,5.5
34.25,228.5,232.6,233.7,231.6,2.7
34.5,225.9,235.1,230.8,230.6,4.6
34.75,223.9,235.2,224.2,227.8,6.5
35.0,227.4,232.3,227.6,229.1,2.7
35.25,221.8,233.1,226.0,227.0,5.7
35.5,220.1,227.0,224.1,223.7,3.5
35.75,217.8,229.6,223.4,223.6,5.9
36.0,220.7,226.9,222.1,223.2,3.2
36.25,220.3,225.5,224.8,223.5,2.8
36.5,218.2,228.3,218.6,221.7,5.7
36.75,218.4,229.6,220.2,222.7,6.0
37.0,219.1,225.3,214.8,219.7,5.2
37.25,212.1,225.0,216.4,217.8,6.5
37.5,215.9,222.8,215.2,218.0,4.2
37.75,214.1,219.1,213.9,215.7,2.9
38.0,211.3,220.7,208.4,213.5,6.4
38.25,211.1,222.5,211.8,215.1,6.4
38.5,211.8,222.8,210.3,215.0,6.8
38.75,209.3,223.3,211.0,214.5,7.6
39.0,212.7,220.1,205.9,212.9,7.1
39.25,206.8,220.7,208.7,212.1,7.6
39.5,208.3,216.3,203.3,209.3,6.6
39.75,209.9,214.8,205.9,210.2,4.5
40.0,210.7,217.3,205.3,211.1,6.0
40.25,205.3,218.8,205.0,209.7,7.9
40.5,211.7,216.0,202.3,210.0,7.0
40.75,208.8,212.3,204.1,208.4,4.1
41.0,208.2,215.6,199.6,207.8,8.0
41.25,207.0,215.6,202.1,208.2,6.8
41.5,206.4,214.1,201.7,207.4,6.2
41.75,201.2,213.6,203.3,206.0,6.6
42.0,203.3,213.3,200.0,205.5,6.9
42.25,198.4,211.8,201.1,203.8,7.1
42.5,198.0,211.5,200.9,203.5,7.1
42.75,203.8,213.5,201.5,206.3,6.4
43.0,198.9,206.7,198.9,201.5,4.5
43.25,200.4,210.3,194.3,201.6,8.1
43.5,197.2,208.6,194.7,200.2,7.4
43.75,197.7,208.4,197.4,201.2,6.3
44.0,199.4,212.1,198.8,203.5,7.5
44.25,201.8,207.9,197.6,202.4,5.2
44.5,197.4,210.1,193.6,200.4,8.6
44.75,201.2,207.0,194.3,200.8,6.3
45.0,198.2,207.6,194.5,200.1,6.7
45.25,197.7,204.5,193.0,198.4,5.8
45.5,197.8,205.8,194.2,199.3,5.9
45.75,195.6,204.9,192.0,197.5,6.7
46.0,200.4,202.2,191.1,197.9,6.0
46.25,195.7,201.7,192.7,196.7,4.6
46.5,196.1,203.6,192.2,197.3,5.8
46.75,195.2,199.9,191.1,195.4,4.4
47.0,194.2,200.8,191.0,195.3,5.0
47.25,190.3,201.1,188.6,193.3,6.8
47.5,193.0,201.0,188.4,194.1,6.4
47.75,193.4,199.5,192.0,194.9,4.0
48.0,195.2,195.6,184.8,191.9,6.2
48.25,192.5,192.5,187.7,190.9,2.8
48.5,190.2,195.9,186.6,190.9,4.7
48.75,191.2,195.2,190.7,192.4,2.5
49.0,189.7,193.6,190.6,191.3,2.0
49.25,185.6,194.7,189.1,189.8,4.6
49.5,189.6,193.6,187.5,190.2,3.1
49.75,185.2,193.7,186.5,188.5,4.6
50.0,188.3,189.7,187.2,188.4,1.3
50.25,184.6,190.3,188.9,187.9,3.0
50.5,183.8,188.8,186.1,186.2,2.5
50.75,183.4,189.5,183.8,185.6,3.5
51.0,180.4,189.6,185.5,185.2,4.6
51.25,184.5,189.0,186.6,186.7,2.3
51.5,179.3,184.5,186.8,183.6,3.8
51.75,183.3,188.6,184.4,185.4,2.8
52.0,179.2,189.2,184.2,184.2,5.0
52.25,179.7,188.1,184.9,184.2,4.2
52.5,179.7,186.8,183.4,183.3,3.6
52.75,177.2,184.7,183.1,181.7,3.9
53.0,176.6,188.1,186.0,183.6,6.1
53.25,176.7,184.8,183.0,181.5,4.3
53.5,177.1,187.4,183.9,182.8,5.2
53.75,179.4,186.2,183.4,183.0,3.4
54.0,175.1,183.2,182.0,180.1,4.4
54.25,174.5,186.6,180.6,180.5,6.1
54.5,175.0,183.4,180.1,179.5,4.2
54.75,173.4,188.0,179.8,180.4,7.4
55.0,173.6,186.3,179.2,179.7,6.3
55.25,173.4,181.8,178.6,177.9,4.2
55.5,176.4,182.6,179.9,179.6,3.1
55.75,177.8,183.4,180.1,180.4,2.8
56.0,173.5,182.6,176.5,177.5,4.6
56.25,173.9,180.1,176.2,176.7,3.1
56.5,176.8,178.9,177.0,177.6,1.1
56.75,177.1,182.3,173.8,177.7,4.3
57.0,172.1,179.3,173.3,174.9,3.9
57.25,172.4,180.7,178.1,177.1,4.2
57.5,175.2,180.1,175.0,176.8,2.9
57.75,172.4,176.5,174.2,174.3,2.0
58.0,172.8,180.9,174.1,175.9,4.4
58.25,172.7,179.2,175.2,175.7,3.3
58.5,169.4,180.1,173.1,174.2,5.4
58.75,170.3,179.8,173.8,174.7,4.8
59.0,172.6,176.0,171.9,173.5,2.2
59.25,171.7,176.0,172.3,173.3,2.3
59.5,171.6,176.8,169.8,172.7,3.7
59.75,169.7,176.7,170.8,172.4,3.8
60.0,169.3,175.9,169.9,171.7,3.6
60.25,167.7,175.2,171.3,171.4,3.7
60.5,168.0,173.3,170.1,170.5,2.7
60.75,165.8,173.9,170.2,169.9,4.1
61.0,166.2,177.8,168.4,170.8,6.1
61.25,166.6,175.8,168.6,170.3,4.8
61.5,168.3,172.0,166.9,169.1,2.6
61.75,166.5,173.2,165.6,168.4,4.1
62.0,165.4,174.8,168.1,169.4,4.8
62.25,166.3,172.3,166.2,168.3,3.5
62.5,164.4,174.0,164.9,167.8,5.4
62.75,164.5,171.9,166.5,167.6,3.8
63.0,165.5,174.3,165.5,168.4,5.1
63.25,165.0,175.1,166.1,168.7,5.5
63.5,165.1,172.7,162.6,166.8,5.3
63.75,162.4,172.9,165.3,166.9,5.4
64.0,161.6,170.5,165.4,165.8,4.4
64.25,163.2,174.6,164.3,167.4,6.3
64.5,161.5,171.6,164.7,165.9,5.2
64.75,159.2,170.1,163.8,164.4,5.5
65.0,160.9,168.7,161.7,163.8,4.3
65.25,161.0,169.4,161.0,163.8,4.8
65.5,157.2,169.4,163.4,163.3,6.1
65.75,157.4,171.7,161.9,163.7,7.3
66.0,157.2,168.8,158.6,161.6,6.3
66.25,158.7,169.7,161.0,163.2,5.8
66.5,154.0,168.3,159.9,160.8,7.2
66.75,158.3,169.7,159.7,162.6,6.2
67.0,156.1,167.3,160.3,161.2,5.7
67.25,155.7,170.7,160.1,162.2,7.7
67.5,155.4,168.6,159.0,161.0,6.8
67.75,154.4,169.3,158.1,160.6,7.7
68.0,158.2,165.7,159.3,161.1,4.0
68.25,154.7,168.3,158.8,160.6,7.0
68.5,154.8,167.4,156.4,159.5,6.9
68.75,155.7,166.4,156.2,159.4,6.0
69.0,152.6,168.2,154.9,158.6,8.5
69.25,152.2,166.8,153.9,157.6,8.0
69.5,150.1,165.1,154.6,156.6,7.7
69.75,152.2,166.5,155.4,158.1,7.5
70.0,151.5,167.8,154.0,157.8,8.8
70.25,149.9,166.4,153.2,156.5,8.7
70.5,151.2,165.0,151.6,155.9,7.8
70.75,149.3,166.0,153.1,156.1,8.7
71.0,149.9,165.8,151.2,155.6,8.8
71.25,146.2,165.9,152.3,154.8,10.1
71.5,148.3,164.9,151.2,154.8,8.8
71.75,147.8,165.1,151.7,154.9,9.1
72.0,148.8,165.0,151.3,155.0,8.7
72.25,150.1,166.2,151.7,156.0,8.9
72.5,148.4,166.6,149.8,154.9,10.1
72.75,148.9,163.9,153.1,155.3,7.7
73.0,149.8,167.4,149.7,155.6,10.2
73.25,148.4,162.5,150.8,153.9,7.5
73.5,147.4,164.0,149.7,153.7,9.0
73.75,146.0,165.1,150.8,154.0,9.9
74.0,148.1,165.1,148.3,153.8,9.7
74.25,148.0,164.3,149.3,153.8,9.0
74.5,146.9,161.7,149.8,152.8,7.8
74.75,146.4,163.4,149.5,153.1,9.1
75.0,145.5,163.8,149.0,152.8,9.7
75.25,145.5,162.4,148.3,152.1,9.0
75.5,146.4,162.0,147.4,151.9,8.7
75.75,147.3,163.0,147.5,152.6,9.0
76.0,144.4,161.3,146.9,150.9,9.1
76.25,144.8,163.0,147.7,151.8,9.8
76.5,143.8,161.7,146.7,150.7,9.6
76.75,144.6,162.7,144.0,150.4,10.6
77.0,145.3,160.9,148.3,151.5,8.3
77.25,142.2,159.7,148.0,150.0,8.9
77.5,143.2,161.7,148.1,151.0,9.6
77.75,143.0,163.3,146.4,150.9,10.9
78.0,144.0,161.6,146.2,150.6,9.6
78.25,143.9,160.7,146.5,150.4,9.0
78.5,143.5,159.0,143.7,148.7,8.9
78.75,142.7,162.0,144.8,149.8,10.6
79.0,141.3,163.6,147.1,150.7,11.6
79.25,144.1,160.2,146.4,150.2,8.7
79.5,143.6,159.2,145.7,149.5,8.5
79.75,140.4,160.3,145.6,148.7,10.3
80.0,141.6,160.4,146.2,149.4,9.8
80.25,141.6,160.4,147.4,149.8,9.6
80.5,137.9,160.3,145.8,148.0,11.4
80.75,140.3,160.3,146.3,149.0,10.3
81.0,142.4,159.5,146.1,149.3,9.0
81.25,141.0,162.1,146.4,149.8,11.0
81.5,138.9,164.3,145.8,149.7,13.1
81.75,140.5,158.7,147.0,148.7,9.2
82.0,138.4,164.2,148.3,150.3,13.0
82.25,139.0,162.2,149.2,150.1,11.7
82.5,141.3,160.2,146.5,149.3,9.8
82.75,140.7,161.7,147.4,149.9,10.7
83.0,138.0,161.7,145.3,148.3,12.1
83.25,139.2,162.7,145.8,149.2,12.1
83.5,139.1,162.6,144.9,148.9,12.2
83.75,138.7,161.3,146.8,148.9,11.5
84.0,140.0,160.6,144.5,148.4,10.8
84.25,138.1,163.4,146.8,149.4,12.8
84.5,138.2,161.8,147.4,149.1,11.9
84.75,137.7,163.1,145.8,148.9,12.9
85.0,136.5,163.2,146.2,148.6,13.5
85.25,137.6,163.6,144.1,148.4,13.5
85.5,139.3,164.0,144.8,149.3,13.0
85.75,137.4,160.5,147.5,148.5,11.6
86.0,137.6,161.0,149.1,149.3,11.7
86.25,137.0,156.9,147.3,147.1,9.9
86.5,136.2,163.6,149.1,149.6,13.7
86.75,137.1,159.8,147.1,148.0,11.4
87.0,135.7,159.8,148.1,147.9,12.1
87.25,135.2,161.2,150.4,148.9,13.1
87.5,136.9,161.0,150.8,149.6,12.1
87.75,135.5,158.6,150.2,148.1,11.7
88.0,132.5,161.7,149.6,147.9,14.6
88.25,136.6,159.3,148.7,148.2,11.4
88.5,133.7,159.3,149.4,147.5,12.9
88.75,135.2,158.8,151.3,148.4,12.0
89.0,134.7,159.9,150.6,148.4,12.7
89.25,132.2,160.4,150.6,147.7,14.3
89.5,134.5,158.0,152.3,148.3,12.3
89.75,136.0,161.0,148.6,148.5,12.5
90.0,131.4,159.4,151.1,147.3,14.4
90.25,134.2,159.1,152.0,148.4,12.8
90.5,134.2,157.5,150.7,147.5,12.0
90.75,133.9,157.1,151.1,147.4,12.1
91.0,131.7,156.3,150.5,146.2,12.9
91.25,134.3,157.4,151.8,147.8,12.1
91.5,134.0,158.7,151.8,148.2,12.7
91.75,132.4,159.6,150.9,147.6,13.9
92.0,132.0,157.8,151.0,146.9,13.4
92.25,133.9,157.2,150.7,147.3,12.0
92.5,132.2,157.8,151.2,147.1,13.3
92.75,133.3,157.5,152.9,147.9,12.8
93.0,131.8,160.1,150.9,147.6,14.4
93.25,131.4,158.1,154.8,148.1,14.5
93.5,132.9,159.1,154.4,148.8,14.0
93.75,132.9,161.9,149.4,148.0,14.6
94.0,132.4,156.6,152.8,147.3,13.0
94.25,131.2,159.2,154.9,148.4,15.1
94.5,133.8,158.0,153.8,148.6,12.9
94.75,133.2,157.7,155.2,148.7,13.5
95.0,130.1,158.1,153.6,147.3,15.0
95.25,133.2,154.8,153.0,147.0,12.0
95.5,132.9,156.3,153.1,147.4,12.7
95.75,127.8,158.5,152.4,146.2,16.3
96.0,130.6,155.8,153.2,146.5,13.8
96.25,133.0,158.4,153.7,148.4,13.5
96.5,134.0,160.0,153.2,149.1,13.5
96.75,131.8,155.1,153.7,146.9,13.0
97.0,132.3,158.6,155.9,148.9,14.5
97.25,130.9,158.1,155.7,148.2,15.0
97.5,133.6,156.4,154.9,148.3,12.8
97.75,131.6,156.2,156.8,148.2,14.4
98.0,131.7,156.4,152.0,146.7,13.2
98.25,133.3,154.3,154.1,147.2,12.0
98.5,131.7,155.9,152.6,146.8,13.1
98.75,132.4,157.7,155.3,148.5,14.0
99.0,131.8,155.5,155.4,147.6,13.7
99.25,132.7,155.8,152.7,147.1,12.6
