LABORATORY,FSRI 
TEST IDENT,WoolRug_HF25_3
OPERATOR,Dow
MATERIAL,Wool Rug
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.00884
C FACTOR,0.03922773897647858
SPEC HOLDER DIFF,-566
SPECIMEN MASS,37.5
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5742
TIME TO IGN,27.75
END OF TEST SCAN,5262
END OF TEST TIME,1315.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.68 x 100.95 x 16.62 mm; with frame
POST TEST CMT,"Ignition across whole surface at once, then reduced to candle sized flame that nearly extinguished. Small flames continued to ignite and extinguish at various locations on the surface. See test pictures."
