Names,Wool_Rug_R1,Wool_Rug_R2,Wool_Rug_R3,Wool_Rug_R4,Mean,Std. Dev.
2409,131.8,23.5,21.9,44.6,55.5,52.0
2410,133.3,23.3,21.9,45.4,56.0,52.7
2411,130.8,23.4,22.4,45.1,55.4,51.3
2412,132.6,23.6,22.4,45.0,55.9,52.2
2413,130.2,23.7,22.2,45.3,55.3,51.0
2414,131.8,23.8,22.3,45.3,55.8,51.7
2415,131.7,23.7,22.0,45.9,55.8,51.7
2416,130.4,23.5,22.5,45.2,55.4,51.1
2417,130.2,23.4,22.6,45.3,55.4,51.0
2418,130.0,24.1,22.8,45.6,55.6,50.7
2419,130.5,23.6,22.7,46.9,55.9,51.0
2420,131.1,23.9,22.6,45.7,55.8,51.3
2421,131.5,23.8,23.0,45.5,56.0,51.4
2422,130.7,23.8,22.8,46.2,55.9,51.0
2423,130.6,24.1,23.1,45.7,55.9,50.9
2424,131.5,24.2,23.2,45.9,56.2,51.3
2425,131.5,24.0,23.1,45.5,56.0,51.4
2426,131.9,24.3,23.3,46.5,56.5,51.4
2427,133.0,24.2,23.6,46.2,56.8,51.9
2428,130.4,24.8,23.5,46.4,56.2,50.5
2429,132.5,25.1,24.0,47.0,57.1,51.4
2430,132.4,24.7,24.2,46.3,56.9,51.4
2431,130.2,25.1,24.1,46.9,56.6,50.2
2432,129.8,25.2,24.2,46.7,56.5,50.0
2433,129.0,25.1,24.0,46.5,56.2,49.7
2434,130.6,25.6,24.2,46.8,56.8,50.3
2435,130.0,25.5,24.3,47.0,56.7,49.9
2436,130.5,25.6,24.7,47.4,57.1,50.1
2437,129.4,25.6,24.6,47.2,56.7,49.6
2438,131.1,25.6,25.0,47.5,57.3,50.3
2439,130.9,26.1,24.9,47.6,57.4,50.1
2440,128.7,25.6,25.2,47.7,56.8,49.0
2441,130.0,25.8,25.3,47.0,57.0,49.7
2442,129.2,25.8,25.3,47.7,57.0,49.2
2443,128.3,26.0,25.5,47.6,56.9,48.7
2444,129.4,26.2,25.6,48.2,57.3,49.2
2445,129.1,26.1,25.8,47.5,57.1,49.0
2446,128.7,25.6,26.2,46.5,56.8,49.0
2447,127.8,25.7,26.0,48.1,56.9,48.4
2448,128.9,25.9,25.9,47.6,57.1,49.0
2449,127.0,25.5,25.9,47.1,56.4,48.2
2450,124.3,25.5,26.3,47.8,56.0,46.7
2451,127.6,25.3,26.0,46.7,56.4,48.5
