Time after Ignition,Nylon_R1,Nylon_R2,Nylon_R3,Mean,Std. Dev.
0.0,21.2,22.4,25.3,23.0,2.1
0.25,24.5,25.2,28.4,26.0,2.1
0.5,26.7,29.4,31.3,29.1,2.3
0.75,28.9,33.8,37.4,33.4,4.3
1.0,31.7,37.2,42.2,37.0,5.3
1.25,35.2,40.0,47.3,40.9,6.1
1.5,39.5,45.3,51.3,45.4,5.9
1.75,42.8,49.8,55.5,49.3,6.4
2.0,45.3,53.3,61.9,53.5,8.3
2.25,49.3,57.1,67.7,58.0,9.2
2.5,53.7,61.5,73.5,62.9,10.0
2.75,58.3,63.5,83.2,68.4,13.1
3.0,62.3,67.6,92.6,74.2,16.2
3.25,67.2,71.7,97.8,78.9,16.5
3.5,72.9,75.8,105.4,84.7,18.0
3.75,80.4,78.5,115.3,91.4,20.7
4.0,85.8,81.6,124.1,97.2,23.4
4.25,94.9,86.3,129.4,103.5,22.8
4.5,101.6,91.1,140.2,110.9,25.9
4.75,107.9,95.0,141.5,114.8,24.0
5.0,112.1,98.9,151.6,120.8,27.4
5.25,121.8,102.1,158.2,127.3,28.5
5.5,131.5,107.3,169.8,136.2,31.5
5.75,134.7,112.7,174.2,140.5,31.2
6.0,142.6,114.9,181.3,146.3,33.4
6.25,144.8,123.5,185.5,151.3,31.5
6.5,148.3,130.6,186.4,155.1,28.5
6.75,153.7,129.3,193.7,158.9,32.5
7.0,161.8,141.3,198.5,167.2,29.0
7.25,167.2,137.8,207.4,170.8,34.9
7.5,170.7,148.8,209.6,176.4,30.8
7.75,174.9,151.3,217.8,181.4,33.7
8.0,178.0,160.6,219.3,186.0,30.2
8.25,185.9,164.3,226.7,192.3,31.7
8.5,187.3,170.2,227.5,195.0,29.4
8.75,193.5,178.3,237.0,202.9,30.5
9.0,197.4,181.3,239.4,206.0,30.0
9.25,201.1,187.1,251.3,213.2,33.7
9.5,209.7,188.8,249.1,215.9,30.6
9.75,206.4,195.8,258.6,220.3,33.6
10.0,207.1,198.3,259.9,221.8,33.3
10.25,220.3,205.3,271.9,232.5,34.9
10.5,225.0,208.6,279.1,237.5,36.9
10.75,230.3,212.7,278.8,240.6,34.2
11.0,231.2,218.4,292.1,247.2,39.4
11.25,237.7,218.5,295.7,250.6,40.2
11.5,245.8,225.5,315.3,262.2,47.1
11.75,242.3,228.6,323.3,264.7,51.2
12.0,248.8,230.3,321.0,266.7,47.9
12.25,258.1,237.8,326.7,274.2,46.6
12.5,264.4,238.3,338.0,280.3,51.7
12.75,266.1,240.2,343.2,283.1,53.6
13.0,274.8,244.3,358.1,292.4,58.9
13.25,277.2,242.9,364.3,294.8,62.6
13.5,283.9,253.3,355.8,297.7,52.6
13.75,285.3,256.8,357.1,299.7,51.7
