Time after Ignition,Nylon_R4,Nylon_R2,Nylon_R3,Mean,Std. Dev.
32.25,9.1,48.4,89.6,49.0,40.3
32.5,9.2,47.6,91.6,49.5,41.2
32.75,9.4,48.6,91.8,49.9,41.2
33.0,9.7,48.7,93.2,50.5,41.8
33.25,9.9,49.1,93.8,50.9,42.0
33.5,9.9,48.7,95.5,51.4,42.9
33.75,10.2,49.2,96.5,52.0,43.2
34.0,10.3,49.0,96.8,52.0,43.3
34.25,10.6,49.7,98.9,53.1,44.3
34.5,10.5,49.5,102.2,54.1,46.0
34.75,10.5,49.4,101.5,53.8,45.7
35.0,10.5,49.6,103.8,54.7,46.9
35.25,10.6,49.8,105.5,55.3,47.6
35.5,10.8,50.4,105.7,55.6,47.7
35.75,11.1,51.1,108.3,56.8,48.8
36.0,10.9,50.4,109.8,57.0,49.8
36.25,10.6,50.2,112.0,57.6,51.1
36.5,11.0,51.0,113.0,58.3,51.4
36.75,11.2,50.2,111.9,57.7,50.8
37.0,11.2,51.2,115.2,59.2,52.5
37.25,11.3,51.0,117.5,59.9,53.7
37.5,11.5,51.6,117.1,60.1,53.3
37.75,11.6,51.5,120.5,61.2,55.1
38.0,11.7,51.8,118.0,60.5,53.7
38.25,11.9,52.4,119.1,61.1,54.2
38.5,11.7,52.8,119.8,61.4,54.5
38.75,11.7,52.8,122.4,62.3,56.0
39.0,11.8,52.0,122.8,62.2,56.2
39.25,11.5,51.9,122.4,61.9,56.1
39.5,11.7,52.7,122.5,62.3,56.1
39.75,11.8,53.5,124.8,63.4,57.1
40.0,11.8,53.9,124.7,63.5,57.1
40.25,11.6,53.9,125.3,63.6,57.5
40.5,11.5,53.2,124.9,63.2,57.3
40.75,11.5,54.0,126.5,64.0,58.2
41.0,11.8,54.8,126.6,64.4,58.0
41.25,11.7,55.2,127.0,64.6,58.2
41.5,11.7,55.0,128.5,65.1,59.1
41.75,11.6,56.0,131.2,66.3,60.5
42.0,11.6,56.0,129.0,65.5,59.3
42.25,11.5,55.5,130.4,65.8,60.1
