Names,Nylon_R1,Nylon_R2,Nylon_R3,Mean,Std. Dev.
265,694.5,785.7,718.9,733.0,47.2
266,716.6,761.2,735.2,737.7,22.4
267,723.6,758.0,728.4,736.7,18.7
268,730.4,778.4,725.1,744.6,29.3
269,741.2,772.3,729.7,747.7,22.0
270,741.5,788.0,724.7,751.4,32.8
271,784.0,779.0,752.8,771.9,16.8
272,762.0,778.6,720.6,753.7,29.9
273,732.2,773.4,705.2,736.9,34.3
274,743.5,761.5,712.7,739.2,24.7
275,752.9,778.2,715.4,748.8,31.6
276,747.8,757.7,704.8,736.8,28.1
277,772.8,776.7,740.7,763.4,19.8
278,761.0,766.1,723.2,750.1,23.4
279,783.5,759.4,702.0,748.3,41.9
280,796.3,771.0,686.7,751.3,57.4
281,774.8,767.7,718.4,753.6,30.7
282,761.6,757.4,693.8,737.6,38.0
283,775.3,754.5,732.1,754.0,21.6
284,770.7,765.5,727.1,754.4,23.8
285,783.6,768.8,712.3,754.9,37.6
286,762.8,771.3,734.0,756.0,19.6
287,800.2,751.1,724.3,758.5,38.5
288,774.6,748.1,716.9,746.5,28.8
289,789.5,770.1,703.0,754.2,45.4
290,764.7,746.0,731.0,747.2,16.9
291,790.9,733.6,711.6,745.3,40.9
292,770.5,758.7,719.9,749.7,26.5
293,761.8,754.7,723.6,746.7,20.3
294,811.0,751.9,717.8,760.3,47.2
295,806.1,782.0,714.7,767.6,47.4
296,806.3,774.7,747.4,776.2,29.5
297,785.2,776.9,720.5,760.9,35.2
298,784.5,774.5,727.4,762.1,30.5
299,793.1,746.4,739.7,759.7,29.1
300,806.2,796.7,716.4,773.1,49.3
301,794.0,795.9,728.9,772.9,38.1
302,779.7,780.4,740.7,766.9,22.7
303,845.0,784.6,732.8,787.5,56.2
304,802.3,801.5,719.3,774.3,47.7
305,788.1,785.8,746.7,773.5,23.3
306,833.1,786.2,742.5,787.3,45.3
307,809.6,785.4,748.6,781.2,30.7
308,819.2,816.1,752.2,795.8,37.8
309,789.0,814.3,766.2,789.8,24.1
310,825.7,793.5,767.9,795.7,29.0
311,806.7,787.1,748.1,780.6,29.8
312,846.5,780.9,777.0,801.5,39.0
313,854.5,799.7,753.0,802.4,50.8
314,869.7,832.1,783.7,828.5,43.1
315,851.9,857.8,776.9,828.9,45.1
316,859.0,784.0,791.0,811.3,41.4
317,858.8,816.4,787.3,820.8,35.9
318,873.6,813.5,785.1,824.1,45.2
319,878.9,818.1,813.2,836.8,36.6
320,888.8,836.4,777.1,834.1,55.9
321,909.4,816.0,768.0,831.1,71.9
322,896.3,817.1,800.9,838.1,51.1
323,1005.8,827.8,816.9,883.5,106.1
324,917.2,863.9,794.5,858.5,61.6
325,930.3,816.5,849.1,865.3,58.6
326,987.5,806.2,832.4,875.4,98.0
327,998.1,882.5,797.6,892.7,100.6
328,996.9,871.6,827.4,898.6,87.9
329,928.3,890.9,813.6,877.6,58.5
330,937.4,864.8,818.8,873.7,59.8
331,960.3,837.4,851.9,883.2,67.2
332,1034.0,966.1,843.2,947.8,96.7
333,978.0,852.0,831.5,887.1,79.3
334,1007.1,930.1,882.8,940.0,62.7
335,1011.1,893.1,826.9,910.3,93.3
336,1042.7,954.8,883.2,960.2,79.9
337,1016.2,889.8,859.3,921.7,83.2
338,1058.7,981.3,888.3,976.1,85.3
339,1030.6,907.6,936.7,958.3,64.3
340,1034.6,953.9,883.9,957.5,75.5
341,1087.8,932.2,893.4,971.1,102.9
342,1108.2,906.1,899.0,971.1,118.8
343,1026.0,937.8,872.4,945.4,77.1
344,1073.6,933.4,910.8,972.6,88.2
345,1139.7,927.0,945.7,1004.2,117.8
346,1078.1,894.3,913.2,961.9,101.1
347,1135.0,927.4,943.3,1001.9,115.5
348,1085.2,949.5,905.0,979.9,93.9
349,1092.3,985.9,970.8,1016.3,66.2
350,1109.3,944.4,900.6,984.8,110.1
351,1107.9,969.4,974.1,1017.1,78.7
352,1135.8,970.8,923.2,1009.9,111.6
353,1118.5,987.5,954.7,1020.2,86.7
354,1160.2,1009.4,962.1,1043.9,103.5
355,1105.5,1036.2,933.0,1024.9,86.8
356,1210.2,1003.7,985.6,1066.5,124.8
357,1197.5,1063.9,970.5,1077.3,114.1
358,1218.4,1037.9,970.9,1075.7,128.0
359,1255.4,1049.4,1002.1,1102.3,134.7
360,1234.2,1016.0,1051.1,1100.4,117.2
361,1150.2,1043.7,989.1,1061.0,82.0
362,1200.1,1047.6,1031.7,1093.1,93.0
363,1227.5,1107.8,1040.3,1125.2,94.8
364,1277.7,1080.5,955.0,1104.4,162.7
365,1288.4,1130.2,1030.4,1149.7,130.1
366,1253.2,1062.0,1009.1,1108.1,128.4
367,1317.6,1104.6,1060.4,1160.9,137.5
368,1215.1,1114.5,1064.4,1131.3,76.8
369,1269.2,1105.2,1038.4,1137.6,118.7
370,1206.6,1108.2,1071.1,1128.6,70.0
371,1275.7,1125.3,1054.2,1151.8,113.1
372,1379.5,1165.6,1035.4,1193.5,173.7
373,1280.5,1150.1,1052.7,1161.1,114.3
374,1292.2,1142.2,1092.4,1175.6,104.0
375,1364.9,1097.0,1054.4,1172.1,168.3
376,1382.4,1165.2,1093.2,1213.6,150.5
377,1257.2,1163.7,1113.0,1178.0,73.2
378,1338.4,1132.0,1076.5,1182.3,138.0
379,1321.0,1132.7,1058.2,1170.6,135.5
380,1417.5,1192.0,1118.3,1242.6,155.9
381,1338.5,1230.9,1126.8,1232.0,105.9
382,1327.7,1162.3,1064.0,1184.7,133.3
383,1368.9,1175.5,1158.2,1234.2,117.0
384,1427.3,1160.4,1167.0,1251.6,152.2
385,1341.1,1216.5,1071.4,1209.7,135.0
386,1327.4,1299.7,1121.4,1249.5,111.8
387,1378.9,1182.7,1148.3,1236.6,124.4
388,1502.6,1294.4,1074.9,1290.6,213.9
389,1433.3,1208.4,1225.3,1289.0,125.2
390,1404.3,1130.1,1195.1,1243.1,143.3
391,1332.1,1261.7,1148.6,1247.5,92.5
392,1543.5,1201.6,1170.5,1305.2,207.0
393,1343.6,1321.8,1115.8,1260.4,125.7
394,1494.4,1236.1,1173.2,1301.2,170.2
