##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
49.052,10.01,-0.003746655,99.85051999999999,50.0,20.0,1.0532700000000002
49.043,10.11,-0.0033719859999999996,99.85621,50.0,20.0,1.0532700000000002
49.041,10.21,-0.0028724320000000003,99.87328000000001,50.0,20.0,1.0532700000000002
49.06,10.31,-0.002372884,99.8619,50.0,20.0,1.0532700000000002
49.054,10.41,-0.002497771,99.845,50.0,20.0,1.0532700000000002
49.074,10.51,-0.003371999,99.86776,50.0,20.0,1.0532700000000002
49.076,10.61,-0.001748444,99.86206999999999,50.0,20.0,1.0532700000000002
49.075,10.71,-0.0031222209999999997,99.86206999999999,50.0,20.0,1.0532700000000002
49.094,10.81,-0.003122228,99.86206999999999,50.0,20.0,1.05326
49.101,10.91,-0.0003746677,99.86206999999999,50.0,20.0,1.05326
49.121,11.01,-5.535837e-16,99.83931,50.0,20.0,1.05326
49.152,11.11,0.0009991199,99.85621,50.0,20.0,1.05326
49.192,11.21,0.00224803,99.8619,50.0,20.0,1.05325
49.198,11.31,0.004121392,99.87897,50.0,20.0,1.05325
49.243,11.41,0.004995658,99.85638,50.0,20.0,1.05325
49.298,11.51,0.006244611999999999,99.8619,50.0,20.0,1.05324
49.355,11.61,0.007118905,99.86206999999999,50.0,20.0,1.0532299999999999
49.417,11.71,0.007618532,99.86206999999999,50.0,20.0,1.05322
49.466,11.81,0.00986668,99.86206999999999,50.0,20.0,1.05322
49.559,11.91,0.01136554,99.86206999999999,50.0,20.0,1.05321
49.62,12.01,0.01298928,99.8619,50.0,20.0,1.0532
49.711,12.11,0.0143633,99.8619,50.0,20.0,1.05319
49.792,12.21,0.01586223,99.88466,50.0,20.0,1.05318
49.891,12.31,0.01661183,99.86569,50.0,20.0,1.0531700000000002
49.989,12.41,0.01960968,99.83724000000001,50.0,20.0,1.05315
50.097,12.51,0.01985974,99.86,50.0,20.0,1.05314
50.218,12.61,0.0214838,99.86586,50.0,20.0,1.05312
50.333,12.71,0.02360753,99.88276,50.0,20.0,1.05311
50.45,12.81,0.02523168,99.86569,50.0,20.0,1.0530899999999999
50.582,12.91,0.02673102,99.86017,50.0,20.0,1.05308
50.731,13.01,0.0277308,99.86017,50.0,20.0,1.05306
50.876,13.11,0.02873061,99.86017,50.0,20.0,1.05304
51.013,13.21,0.02985535,99.86,50.0,20.0,1.05302
51.145,13.31,0.03085518,99.83740999999999,50.0,20.0,1.05301
51.296,13.41,0.03235481,99.83171999999999,50.0,20.0,1.0529899999999999
51.446,13.51,0.03347972,99.83740999999999,50.0,20.0,1.0529700000000002
51.608,13.61,0.03435487,99.83724000000001,50.0,20.0,1.05295
51.766,13.71,0.03473032,99.83171999999999,50.0,20.0,1.05293
51.95,13.81,0.03635521,99.83740999999999,50.0,20.0,1.0529
52.109,13.91,0.03673073,99.85448000000001,50.0,20.0,1.05288
52.285,14.01,0.03748115,99.83740999999999,50.0,20.0,1.0528600000000001
52.465,14.11,0.03735703,99.83740999999999,50.0,20.0,1.05284
52.635,14.21,0.03810747,99.84879000000001,50.0,20.0,1.05281
52.805,14.31,0.03960762,99.83740999999999,50.0,20.0,1.05279
52.992,14.41,0.03960854,99.83171999999999,50.0,20.0,1.05277
