Names,Gypsum_Wallboard_R1,Gypsum_Wallboard_R2,Gypsum_Wallboard_R3,Mean,Std. Dev.
75,27.8,70.2,12.3,36.7,30.0
76,32.7,76.8,12.8,40.8,32.7
77,37.2,82.6,17.9,45.9,33.2
78,40.5,89.5,22.4,50.8,34.7
79,44.7,96.5,25.7,55.6,36.7
80,53.0,103.1,29.2,61.8,37.7
81,59.5,110.4,32.9,67.6,39.4
82,65.6,118.9,34.9,73.1,42.5
83,71.6,127.5,41.0,80.0,43.9
84,82.7,130.8,47.4,87.0,41.9
85,91.3,136.6,53.4,93.8,41.6
86,97.5,144.5,57.5,99.8,43.6
87,102.7,150.9,62.0,105.2,44.5
88,112.3,153.2,69.3,111.6,41.9
89,120.7,162.1,78.7,120.5,41.7
90,125.8,163.0,86.3,125.1,38.4
91,132.0,167.5,91.7,130.4,37.9
92,140.0,168.3,102.5,136.9,33.0
93,141.1,171.0,110.4,140.8,30.3
94,146.1,174.1,116.6,145.6,28.8
95,151.7,176.8,123.8,150.7,26.5
96,157.0,180.3,129.6,155.6,25.4
97,158.0,183.9,135.8,159.3,24.1
98,162.4,184.6,140.0,162.3,22.3
99,165.5,184.1,148.1,165.9,18.0
100,166.2,186.1,150.3,167.5,17.9
101,168.9,184.9,157.5,170.4,13.8
102,170.5,190.0,157.5,172.6,16.4
103,174.3,186.8,159.5,173.5,13.7
104,172.6,187.3,165.1,175.0,11.3
105,174.0,188.3,168.9,177.1,10.1
106,176.3,187.6,167.1,177.0,10.3
107,175.1,187.9,171.1,178.0,8.7
108,179.0,185.6,168.9,177.9,8.4
109,180.4,186.0,174.3,180.2,5.8
110,180.4,182.4,173.7,178.8,4.6
111,176.1,182.4,174.3,177.6,4.3
112,176.8,177.4,172.7,175.7,2.5
113,178.1,179.0,175.1,177.4,2.0
114,177.7,175.8,174.3,176.0,1.7
115,176.1,172.8,174.4,174.4,1.7
116,174.8,170.6,171.9,172.4,2.2
117,172.8,168.3,174.9,172.0,3.4
118,172.2,166.3,173.6,170.7,3.9
119,171.7,165.6,170.3,169.2,3.2
120,169.1,162.6,168.4,166.7,3.6
121,163.5,158.6,169.2,163.8,5.3
122,159.1,154.8,164.4,159.4,4.8
123,152.9,154.2,162.7,156.6,5.3
124,148.3,148.7,160.8,152.6,7.1
125,142.7,146.6,157.8,149.0,7.9
126,138.7,144.7,154.7,146.1,8.1
127,131.8,143.0,152.0,142.3,10.1
128,124.6,134.6,145.1,134.8,10.3
129,118.7,131.1,142.6,130.8,12.0
130,117.4,122.0,139.1,126.2,11.4
131,111.8,118.9,133.6,121.4,11.1
132,107.5,114.7,130.1,117.5,11.6
133,102.9,108.8,126.8,112.9,12.5
134,99.7,107.5,121.1,109.4,10.8
