Time after Ignition,Gypsum_Wallboard_R1,Gypsum_Wallboard_R2,Gypsum_Wallboard_R3,Mean,Std. Dev.
0.0,23.7,99.0,26.7,49.8,42.6
0.25,32.8,104.3,31.4,56.2,41.7
0.5,41.3,111.3,36.9,63.2,41.7
0.75,49.1,116.8,46.2,70.7,39.9
1.0,60.7,124.3,54.5,79.9,38.6
1.25,70.4,128.9,62.0,87.1,36.4
1.5,79.1,134.7,69.6,94.5,35.2
1.75,88.4,139.7,78.4,102.2,32.9
2.0,98.8,145.0,87.0,110.3,30.7
2.25,105.8,148.1,93.5,115.8,28.6
2.5,114.4,151.2,101.8,122.5,25.6
2.75,120.1,152.2,106.8,126.4,23.4
3.0,125.8,156.1,113.7,131.9,21.9
3.25,129.7,158.5,120.5,136.2,19.8
3.5,135.3,159.7,126.1,140.4,17.4
3.75,142.7,163.6,130.8,145.7,16.6
4.0,147.1,167.2,137.3,150.5,15.2
4.25,149.2,165.1,142.9,152.4,11.5
4.5,154.2,167.7,147.4,156.4,10.4
4.75,155.4,165.9,149.8,157.0,8.2
5.0,159.1,168.4,156.3,161.3,6.3
5.25,162.1,169.0,153.5,161.5,7.7
5.5,163.0,170.7,156.3,163.3,7.2
5.75,164.8,166.2,161.9,164.3,2.2
6.0,167.9,166.2,161.6,165.2,3.3
6.25,168.8,164.5,165.3,166.2,2.3
6.5,171.6,162.9,166.2,166.9,4.4
6.75,167.5,161.4,166.5,165.1,3.3
7.0,173.5,160.0,168.8,167.4,6.9
7.25,171.0,159.8,167.6,166.1,5.7
7.5,171.0,158.1,178.5,169.2,10.3
7.75,172.4,154.7,174.1,167.1,10.7
8.0,170.9,152.3,171.3,164.8,10.8
8.25,166.9,147.9,172.0,162.3,12.7
8.5,165.4,145.6,169.5,160.2,12.8
8.75,160.1,140.8,173.3,158.0,16.4
9.0,155.9,136.8,167.0,153.2,15.3
9.25,156.2,134.9,167.3,152.8,16.5
9.5,152.9,130.5,164.3,149.2,17.2
9.75,149.9,125.5,163.5,146.3,19.2
10.0,149.1,123.0,160.0,144.0,19.0
10.25,147.0,118.1,158.9,141.4,21.0
10.5,142.6,115.0,157.0,138.2,21.3
10.75,139.9,110.8,154.9,135.2,22.4
11.0,136.2,106.9,152.1,131.7,22.9
11.25,132.0,101.2,149.6,127.6,24.5
11.5,128.2,99.7,147.4,125.1,24.0
11.75,123.8,95.4,140.8,120.0,22.9
12.0,120.5,91.8,139.3,117.2,24.0
12.25,116.4,88.3,136.9,113.9,24.4
12.5,114.0,84.3,133.4,110.6,24.7
12.75,108.1,81.4,130.7,106.7,24.6
13.0,106.2,79.6,126.3,104.1,23.4
13.25,103.0,76.4,122.6,100.7,23.2
13.5,97.9,74.0,118.3,96.7,22.2
13.75,93.9,71.6,115.6,93.7,22.0
14.0,89.9,69.3,110.6,90.0,20.6
14.25,85.8,68.3,106.0,86.7,18.9
14.5,84.6,65.6,101.9,84.0,18.2
14.75,81.1,63.8,98.3,81.1,17.3
15.0,77.5,62.2,93.4,77.7,15.6
15.25,75.4,60.6,88.9,75.0,14.2
15.5,73.0,61.3,86.1,73.5,12.4
15.75,70.6,,83.2,76.9,8.9
