#EXPORTTYPE,NGB PARSER
#FILE,Bmore_Jacket_CVBM_Shell_STA_N2_10K_240516_R1.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,Bmore_Jacket_CVBM_Shell
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2024-05-16T18:25:30+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"Outer shell of Bmore Fire turnout gear jacket, Model CVBM.
Sample vial label: ""Bmore_Jacket_CVBM_Shell May 15, 2024""
Silvery grey/metallic looking powder"
#SAMPLE,Bmore_Jacket_CVBM_Shell
#SAMPLE MASS/mg,3.98
#MATERIAL,Jacket_CVBM_Shell
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,254.0399932861328
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
