Time after Ignition,Cotton_Raw_R1,Cotton_Raw_R2,Cotton_Raw_R3,Mean,Std. Dev.
0.0,15.078913239195717,24.86327302303545,17.06647614881552,19.002887470348895,5.171623603814091
0.25,19.064873466567573,27.91722620067797,19.114988388392767,22.03236268521277,5.096502901312571
0.5,22.798191069536003,30.339578394791,23.157262655247695,25.431677373191565,4.25415707623484
0.75,26.11306256976026,32.80688162690064,23.096599052404592,27.338847749688497,4.969839926963361
1.0,29.01073144508597,35.440240749657455,26.384023378497456,30.278331857746963,4.6592785249498405
1.25,31.599629304898823,36.874211023656855,28.769634661814308,32.414491663456666,4.113276066443885
1.5,34.87221861702974,39.260584925446416,31.6072928867871,35.24669880975441,3.8403640866861637
1.75,37.55813237242334,40.04693657280046,33.94914849272449,37.18473914598276,3.065994413488539
2.0,39.254592379796335,42.04518062098855,35.83719720619803,39.04565673566097,3.1092611818760503
2.25,41.068234954261726,43.97373502809806,37.76784423422631,40.93660473886203,3.1050386505758945
2.5,42.69405867673723,44.943846894364555,38.35880449460729,41.99890335523636,3.347107190158161
2.75,45.15589260907285,46.125961310923245,41.99363196109564,44.42516196036391,2.1609053483629506
3.0,46.248271280153105,47.73292618139437,42.283509529844515,45.42156899713066,2.8171994886967258
3.25,47.59558604644319,48.024672484910205,42.791822318997305,46.13736028345023,2.905253344652744
3.5,48.77940428555135,48.82786301650238,44.04974679767027,47.219004699908,2.7447647987256714
3.75,49.46956809616357,50.746341517808,45.244729329466736,48.48687964781277,2.879442933558132
4.0,49.95124824693212,51.67845038879475,45.994062747880555,49.20792046120247,2.9141839099176314
4.25,51.20319587840082,51.79399718258581,47.06013673528789,50.01910993209151,2.579516103808684
4.5,52.25034522406622,53.33342993642498,47.71574959954224,51.09984158667782,2.9803233141024648
4.75,52.61732161509264,53.80796481000165,48.12957817164618,51.518288198913496,2.994482349434088
5.0,53.46379512494874,53.640181486051375,48.89617475421288,52.000050455071005,2.6894816065329143
5.25,53.65191478605955,56.25007002950406,48.60547136744114,52.835818727668254,3.887091683816437
5.5,53.14156920612792,55.06822001096338,49.61335487808863,52.607714698393316,2.766340340781407
5.75,54.56562120522392,56.95855967925606,50.06373051572682,53.862637133402266,3.5007580968255376
6.0,54.36535120634962,57.14849192037962,50.18008213608736,53.89797508760554,3.5076365344394294
6.25,56.13913229393882,56.8061891113084,50.417932204357705,54.45441786986831,3.5115742332042825
6.5,55.353357616755474,58.048610032119896,51.3685269610896,54.92349820332166,3.3607234035925417
6.75,54.484297599347556,57.14367273535077,51.20008905497937,54.27601979655923,2.9772607332487775
7.0,54.43615130339544,58.47991980369616,51.62182365311331,54.8459649200683,3.4473658208794298
7.25,55.79813893921767,58.9197016900733,52.17100059171446,55.629613740335145,3.3775053198686837
7.5,56.01336883781371,59.968109624947246,51.266434697842044,55.749304386867664,4.356843371059248
7.75,55.469402438584446,60.18250256735549,52.16472041402037,55.93887513998677,4.029455438096603
8.0,55.80752998149629,59.53352021063012,52.06719616003573,55.802748784054046,3.733164321592047
8.25,56.06957421804577,60.97341904284237,52.57142353319964,56.538138931362596,4.220550533276247
8.5,56.025767210004894,60.936440959009495,52.10334560577405,56.35518459159615,4.4257519404399766
8.75,56.027284648842375,60.7431128364997,52.65616215518735,56.47551988017648,4.06206584725696
9.0,57.2645628331026,61.034209498095095,53.30473164700694,57.201167992734874,3.8651288648574873
9.25,56.99991418705514,60.82998468553043,52.99313440486916,56.941011092484906,3.918757170492656
9.5,57.351074279666086,62.0517791138576,53.86386450377294,57.755572632432205,4.108917205731012
9.75,58.06678899103869,61.447305586899596,52.84745505210971,57.45384987668266,4.332565991835801
10.0,56.173196050752665,61.683339050537924,53.60831269857028,57.15494926662029,4.126062551500254
10.25,56.47750837204409,61.351618139461785,54.287918331063224,57.372348280856365,3.615870240010672
10.5,56.87972540108545,60.941346125806774,53.46475505443136,57.095275527107866,3.7429533666296
10.75,57.48304738470017,62.340386182623575,54.08213928285732,57.96852428339369,4.150473024698336
11.0,57.513705232659156,62.72146600476239,55.73847487888202,58.65788203876786,3.6293796561890326
11.25,57.829265544809054,62.72464746645574,54.80313145634772,58.452348155870844,3.997346360994392
11.5,58.24243492859124,62.18932432673591,54.51755053764847,58.31643659765854,3.8364222203767953
11.75,58.25215380809977,61.66924920926977,55.153856556209654,58.35841985785973,3.258995966687613
12.0,58.45898073723247,61.637846528398704,54.97406459631752,58.3569639539829,3.3330621022764273
12.25,58.292648586657414,62.82876219589974,55.833065798278874,58.98482552694534,3.5488411783878364
12.5,59.19682263826315,62.95100353298634,54.88252671217494,59.01011762780814,4.037477383551449
12.75,58.30821251129187,62.697784719410045,55.63510406796218,58.8803670995547,3.5659339801427423
13.0,58.372306690595565,62.79942766489731,56.072831624198116,59.08152199323033,3.4189199073400363
13.25,59.474352585920634,61.90960320365418,55.553468322247454,58.97914137060743,3.2068735972108118
13.5,59.76262308619456,62.820601332680766,56.75031957040389,59.7778479964264,3.035169520270078
13.75,59.149003833281796,62.373652567803305,56.37732731636059,59.2999945724819,3.001012792836032
14.0,59.04005951104565,61.5800905772028,57.5984103330067,59.40618680708505,2.015931866267864
14.25,60.01378621498159,60.97839386642609,58.00938421683316,59.667188099413615,1.514546884427958
14.5,60.085803388122564,62.36012557806065,57.48558682944829,59.977171931877166,2.439084376952821
14.75,59.708039167994116,61.72230121163073,58.00440523717704,59.81158187226729,1.8611094642499915
15.0,60.59217754518041,62.40769712059549,57.543491796323146,60.18112215403301,2.4580171399144812
15.25,59.6392851963751,62.14721774744103,58.31819607477454,60.03489967286356,1.9449254106373473
15.5,60.46919659226235,61.12322641869439,57.7810937240881,59.79117224501494,1.7712285280799505
15.75,60.315060441565834,62.032038170404874,57.9860373247282,60.11104531223297,2.0307011943049664
16.0,59.0559194207521,61.63015046240969,58.45570296449195,59.71392428255124,1.686418402376034
16.25,60.48682401189247,61.26506750525818,58.55575208743493,60.102547868195195,1.3949367814617366
16.5,61.721186716929495,61.80242421341638,57.456960869053624,60.326857266466504,2.485735078728507
16.75,60.197415454221684,62.582632177799475,59.57065568375241,60.78356777192453,1.5892392849518653
17.0,60.15234041239277,62.12789412802451,57.978918697610005,60.086384412675756,2.075273939982335
17.25,61.45963247362183,62.43330070703574,58.90107408460222,60.93133575508659,1.8244120409513715
17.5,60.14600492661146,60.700849191004934,58.45810116973047,59.768318429115624,1.1681031587687958
17.75,60.42761619663532,61.868781075141094,59.67119947112702,60.655865580967806,1.1164293809558177
18.0,59.89455242129803,61.94342815168269,59.17085743765714,60.33627933687928,1.4380991245493935
18.25,59.8378897778718,61.312156644081554,58.75191257387659,59.96731966527665,1.2850200374197076
18.5,59.89404416546649,61.858369120068026,58.9591435299957,60.23718560517674,1.4797590314870102
18.75,60.639530074076276,61.81235756518279,58.96222505918796,60.47137089948234,1.4324880301182923
