LABORATORY,FSRI 
TEST IDENT,Raw_cotton_25_2
OPERATOR,Dow
MATERIAL,Raw cotton
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.038753096014261246
SPEC HOLDER DIFF,341.70001220703125
SPECIMEN MASS,7.099999904632568
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1055
TIME TO IGN,40.25
END OF TEST SCAN,575
END OF TEST TIME,143.75
TEST STATUS,1
