Names,Cotton_Raw_R1,Cotton_Raw_R2,Cotton_Raw_R3,Mean,Std. Dev.
13,26.6,32.2,,29.4,4.0
14,31.5,35.9,,33.7,3.1
15,36.2,40.4,27.1,34.6,6.8
16,39.5,44.2,31.6,38.4,6.4
17,42.6,46.8,34.6,41.4,6.2
18,46.5,50.2,38.5,45.1,6.0
19,50.2,53.3,41.3,48.3,6.2
20,51.9,56.3,46.2,51.5,5.0
21,53.6,58.3,49.2,53.7,4.6
22,57.5,60.0,51.2,56.2,4.5
23,59.3,62.6,54.7,58.9,3.9
24,61.5,63.6,57.0,60.7,3.4
25,62.8,64.1,59.8,62.2,2.2
26,63.8,66.8,61.4,64.0,2.7
27,66.2,68.1,62.9,65.7,2.6
28,66.8,68.5,65.3,66.8,1.6
29,69.4,69.9,66.9,68.7,1.6
30,68.8,70.9,68.5,69.4,1.3
31,70.1,71.2,68.1,69.8,1.6
32,71.4,72.7,69.5,71.2,1.6
33,72.5,71.4,71.3,71.7,0.7
34,72.4,72.5,71.1,72.0,0.8
35,73.7,73.3,72.3,73.1,0.7
36,74.3,73.4,73.0,73.6,0.6
37,75.1,73.2,73.2,73.9,1.1
38,77.0,73.0,74.2,74.8,2.0
39,75.9,74.4,75.1,75.2,0.7
40,75.5,74.2,76.4,75.4,1.1
41,75.2,73.4,77.3,75.3,2.0
42,76.6,75.2,77.6,76.5,1.2
43,77.4,74.9,77.6,76.6,1.5
44,77.8,76.1,78.8,77.6,1.4
45,76.1,76.6,80.7,77.8,2.5
46,79.4,74.5,81.0,78.3,3.4
47,78.3,76.1,81.7,78.7,2.8
48,80.4,76.3,82.7,79.8,3.3
49,79.5,77.6,82.3,79.8,2.3
50,80.1,77.3,82.2,79.8,2.5
51,82.2,78.3,83.3,81.3,2.6
52,80.5,78.9,83.9,81.1,2.5
53,82.5,78.2,84.4,81.7,3.2
54,84.3,79.8,84.9,83.0,2.8
55,84.2,79.4,86.5,83.4,3.6
56,84.8,80.5,85.9,83.7,2.9
57,87.9,81.3,86.3,85.2,3.4
58,89.8,82.0,89.3,87.0,4.4
59,86.7,83.0,88.3,86.0,2.8
60,88.7,83.0,87.5,86.4,3.0
61,89.3,82.3,89.9,87.2,4.2
62,91.0,84.2,89.8,88.3,3.6
63,91.8,85.9,90.9,89.5,3.2
64,92.1,85.7,90.8,89.5,3.4
65,93.1,87.1,91.4,90.5,3.1
66,92.6,87.1,91.7,90.5,2.9
67,92.1,88.1,91.8,90.7,2.3
68,92.8,86.1,92.2,90.4,3.7
69,92.0,88.2,93.4,91.2,2.7
70,93.3,88.4,92.4,91.4,2.6
71,92.9,89.4,93.7,92.0,2.3
72,94.2,89.5,92.9,92.2,2.5
73,94.9,91.1,93.5,93.1,1.9
74,93.6,90.4,94.3,92.8,2.0
75,94.3,91.8,94.5,93.6,1.5
76,94.4,90.7,93.0,92.7,1.9
77,93.0,91.9,93.4,92.8,0.8
