Time after Ignition,Cotton_Raw_R1,Cotton_Raw_R2,Cotton_Raw_R3,Mean,Std. Dev.
0.0,18.8,19.5,25.1,21.2,3.5
0.25,23.0,26.2,29.1,26.1,3.1
0.5,26.8,32.2,32.9,30.6,3.3
0.75,30.1,36.7,38.2,35.0,4.3
1.0,35.7,42.4,44.3,40.8,4.5
1.25,41.6,47.3,49.1,46.0,3.9
1.5,46.8,53.1,53.7,51.2,3.8
1.75,50.6,56.3,59.2,55.4,4.4
2.0,56.5,61.0,64.3,60.6,3.9
2.25,60.9,65.1,66.1,64.0,2.8
2.5,64.3,67.7,71.1,67.7,3.4
2.75,70.4,71.6,75.7,72.6,2.8
3.0,73.6,73.8,80.3,75.9,3.8
3.25,78.8,77.8,82.6,79.7,2.5
3.5,81.9,78.6,84.8,81.8,3.1
3.75,85.6,82.3,86.9,84.9,2.3
4.0,87.0,83.3,90.2,86.8,3.5
4.25,90.4,86.3,95.4,90.7,4.5
4.5,92.8,87.5,95.9,92.1,4.3
4.75,94.8,89.0,98.0,93.9,4.6
5.0,100.0,91.1,101.7,97.6,5.7
5.25,100.9,91.4,102.2,98.2,5.9
5.5,102.5,93.4,105.2,100.4,6.2
5.75,102.8,95.8,105.5,101.4,5.0
6.0,107.9,95.0,109.1,104.0,7.8
6.25,106.6,96.4,110.7,104.6,7.4
6.5,107.6,97.8,113.1,106.1,7.7
6.75,110.4,98.1,111.7,106.7,7.5
7.0,110.8,99.7,114.2,108.2,7.6
7.25,112.4,101.9,115.8,110.0,7.3
7.5,115.9,100.4,116.7,111.0,9.2
7.75,114.4,103.8,117.5,111.9,7.2
8.0,115.3,103.4,118.4,112.4,7.9
8.25,114.3,105.7,118.2,112.8,6.4
8.5,115.8,108.7,120.9,115.1,6.1
8.75,115.6,107.2,121.1,114.6,7.0
9.0,117.7,107.0,121.0,115.2,7.3
9.25,117.2,108.4,122.2,115.9,7.0
9.5,118.3,110.1,122.6,117.0,6.4
9.75,118.8,110.3,121.7,117.0,5.9
10.0,120.7,112.3,123.7,118.9,5.9
10.25,117.1,111.7,125.7,118.2,7.1
10.5,117.8,111.6,124.8,118.1,6.6
10.75,118.5,114.5,124.7,119.2,5.2
11.0,116.3,111.9,122.8,117.0,5.5
11.25,119.4,116.7,126.0,120.7,4.8
11.5,117.5,114.3,126.9,119.5,6.5
11.75,117.8,116.5,127.0,120.4,5.7
12.0,116.7,117.5,126.3,120.2,5.3
12.25,118.6,116.4,127.1,120.7,5.6
12.5,116.0,115.3,126.6,119.3,6.3
12.75,115.7,116.3,125.5,119.2,5.5
13.0,114.5,118.1,125.3,119.3,5.5
13.25,116.3,118.5,128.5,121.1,6.5
13.5,113.5,116.8,123.4,117.9,5.0
13.75,113.3,118.0,124.3,118.5,5.5
14.0,114.1,120.5,123.9,119.5,5.0
14.25,114.9,120.2,123.5,119.5,4.3
14.5,112.4,119.5,124.8,118.9,6.2
14.75,112.6,120.2,124.7,119.2,6.1
15.0,110.5,118.0,125.6,118.1,7.6
15.25,112.2,120.2,123.6,118.6,5.9
15.5,111.5,120.7,122.8,118.4,6.0
15.75,110.8,119.8,123.9,118.2,6.7
16.0,110.0,117.6,125.6,117.7,7.8
16.25,110.5,120.9,122.9,118.1,6.6
16.5,109.8,118.7,122.5,117.0,6.5
16.75,109.4,121.7,122.4,117.8,7.3
17.0,108.3,120.0,121.7,116.7,7.3
17.25,109.1,118.7,123.9,117.2,7.5
17.5,106.6,119.1,121.1,115.6,7.9
17.75,109.3,117.3,120.8,115.8,5.9
18.0,107.7,120.1,122.3,116.7,7.8
18.25,106.9,118.1,120.8,115.3,7.3
18.5,106.2,117.2,122.3,115.2,8.3
18.75,107.2,121.5,122.3,117.0,8.5
19.0,104.6,118.4,120.9,114.6,8.7
19.25,105.4,121.2,122.3,116.3,9.5
19.5,104.7,119.8,120.9,115.1,9.0
19.75,104.9,121.0,121.0,115.6,9.3
20.0,104.1,120.0,122.2,115.5,9.8
20.25,103.9,117.3,121.9,114.4,9.4
20.5,103.4,118.5,118.9,113.6,8.8
20.75,103.7,116.9,122.2,114.3,9.5
21.0,103.9,117.8,120.3,114.0,8.9
21.25,103.7,117.6,118.7,113.4,8.4
21.5,102.9,118.9,119.7,113.8,9.5
21.75,104.9,118.0,119.0,114.0,7.9
22.0,102.8,116.7,117.4,112.3,8.2
22.25,102.1,116.9,119.6,112.9,9.4
22.5,103.7,116.8,120.4,113.6,8.8
22.75,101.5,117.2,119.9,112.9,9.9
23.0,103.3,116.2,119.6,113.0,8.6
23.25,101.4,116.7,117.4,111.9,9.0
23.5,103.5,117.9,118.1,113.2,8.4
23.75,103.2,116.5,116.7,112.1,7.7
24.0,103.3,115.6,117.3,112.1,7.7
24.25,101.0,114.2,117.7,110.9,8.8
24.5,102.4,116.6,119.0,112.7,8.9
24.75,102.0,116.1,118.7,112.3,9.0
25.0,102.5,115.6,116.9,111.7,7.9
25.25,102.5,116.8,116.5,111.9,8.2
25.5,101.7,115.8,115.8,111.1,8.1
25.75,101.6,116.6,115.8,111.3,8.4
26.0,102.6,114.8,116.8,111.4,7.7
26.25,100.7,117.0,117.1,111.6,9.4
26.5,101.7,116.1,115.9,111.2,8.3
26.75,101.3,115.0,115.5,110.6,8.1
27.0,100.6,115.7,114.4,110.3,8.4
27.25,100.1,114.3,115.8,110.0,8.7
27.5,100.1,114.6,115.6,110.1,8.7
27.75,100.4,115.7,117.0,111.0,9.2
28.0,99.1,116.1,114.8,110.0,9.4
28.25,100.1,116.3,114.7,110.4,8.9
28.5,97.6,114.5,114.7,109.0,9.8
28.75,99.3,114.7,115.2,109.7,9.1
29.0,99.4,114.4,114.6,109.5,8.7
29.25,99.7,115.1,114.1,109.6,8.6
29.5,99.4,115.0,113.0,109.1,8.5
29.75,98.4,115.4,113.8,109.2,9.4
30.0,97.6,113.2,113.5,108.1,9.1
30.25,98.2,115.0,113.4,108.9,9.3
30.5,97.4,113.0,113.5,107.9,9.2
30.75,98.2,114.4,114.2,108.9,9.3
31.0,98.2,113.8,113.3,108.4,8.9
31.25,97.0,113.1,113.4,107.8,9.3
31.5,97.1,112.6,112.7,107.5,8.9
31.75,96.9,114.8,112.4,108.0,9.7
32.0,95.6,112.9,113.6,107.4,10.2
32.25,95.8,114.4,109.7,106.6,9.6
32.5,96.8,111.9,113.7,107.5,9.2
32.75,96.1,112.9,112.1,107.0,9.5
33.0,96.1,112.9,110.2,106.4,9.1
33.25,95.2,111.9,112.4,106.5,9.8
33.5,95.2,112.7,111.6,106.5,9.8
33.75,94.2,110.9,110.1,105.0,9.4
34.0,96.0,110.8,110.1,105.7,8.4
34.25,95.7,110.5,110.5,105.6,8.5
34.5,94.0,112.0,110.4,105.5,10.0
34.75,93.4,110.2,109.1,104.2,9.4
35.0,95.8,111.1,109.4,105.4,8.4
35.25,94.9,110.8,110.2,105.3,9.0
35.5,93.5,109.4,106.7,103.2,8.5
35.75,93.0,111.2,107.3,103.8,9.6
36.0,93.9,112.0,106.1,104.0,9.2
36.25,93.2,108.7,106.3,102.8,8.3
36.5,93.9,107.8,104.2,102.0,7.2
36.75,93.3,109.0,106.6,102.9,8.5
37.0,93.4,108.8,102.2,101.4,7.7
37.25,93.0,109.3,102.0,101.5,8.2
37.5,94.1,109.7,102.6,102.1,7.8
37.75,92.0,109.3,102.1,101.2,8.7
38.0,92.2,108.3,101.1,100.5,8.1
38.25,92.9,109.9,99.9,100.9,8.6
38.5,95.1,107.5,98.8,100.5,6.4
38.75,93.6,108.3,98.8,100.2,7.4
39.0,91.5,108.6,96.9,99.0,8.7
39.25,92.9,107.3,95.1,98.4,7.8
39.5,93.2,107.9,96.0,99.1,7.8
39.75,92.0,109.1,93.7,98.3,9.4
40.0,91.1,107.5,92.7,97.1,9.0
40.25,93.2,107.4,91.9,97.5,8.6
40.5,92.9,107.3,92.9,97.7,8.3
40.75,93.0,109.9,89.7,97.5,10.8
41.0,92.9,107.8,88.9,96.5,9.9
41.25,92.6,107.5,87.7,95.9,10.3
41.5,91.8,107.7,86.8,95.4,10.9
41.75,92.7,109.1,85.5,95.8,12.1
42.0,90.5,107.7,84.5,94.3,12.0
42.25,91.5,108.2,83.3,94.3,12.7
42.5,92.5,108.2,82.8,94.5,12.8
42.75,91.6,109.4,81.3,94.1,14.2
43.0,92.3,107.8,81.1,93.7,13.4
43.25,91.9,108.8,82.1,94.3,13.5
43.5,91.4,109.1,79.2,93.2,15.0
43.75,92.6,109.7,78.6,93.6,15.5
44.0,89.6,108.5,77.6,91.9,15.6
44.25,91.9,108.1,76.7,92.2,15.7
44.5,91.5,108.2,76.9,92.2,15.7
44.75,91.7,108.5,76.4,92.2,16.1
45.0,92.6,108.5,75.5,92.2,16.5
45.25,91.9,109.3,72.9,91.4,18.2
45.5,92.0,109.9,73.4,91.7,18.2
45.75,92.7,108.8,73.7,91.7,17.6
46.0,91.2,109.2,72.4,90.9,18.4
46.25,93.0,109.3,70.4,90.9,19.6
46.5,93.2,108.2,70.7,90.7,18.9
46.75,94.8,108.9,69.7,91.2,19.9
47.0,95.6,109.2,69.1,91.3,20.4
47.25,93.6,109.0,67.6,90.1,20.9
47.5,94.5,106.6,66.2,89.1,20.7
47.75,94.3,107.4,65.4,89.0,21.5
48.0,96.1,108.6,64.9,89.9,22.5
48.25,95.9,110.6,63.0,89.8,24.4
48.5,97.3,108.8,62.7,89.6,24.0
48.75,93.6,107.7,62.3,87.9,23.2
49.0,97.5,108.8,60.7,89.0,25.1
49.25,97.0,107.1,60.8,88.3,24.3
49.5,98.0,107.7,60.2,88.7,25.1
49.75,98.7,108.1,58.9,88.6,26.1
50.0,97.9,106.2,58.6,87.5,25.4
50.25,99.0,108.5,57.1,88.2,27.3
50.5,99.0,107.7,56.0,87.5,27.7
50.75,97.0,107.8,55.3,86.7,27.7
51.0,98.5,107.4,54.7,86.9,28.2
51.25,99.9,108.7,54.5,87.7,29.1
51.5,99.8,108.1,53.9,87.2,29.2
51.75,99.7,107.2,53.3,86.8,29.2
52.0,96.7,107.5,52.7,85.6,29.0
52.25,99.4,106.5,51.5,85.8,29.9
52.5,98.8,106.7,50.4,85.3,30.5
52.75,100.3,107.2,49.6,85.7,31.5
53.0,99.8,107.8,49.5,85.7,31.6
53.25,100.3,106.4,48.8,85.2,31.6
53.5,100.8,106.0,48.2,85.0,32.0
53.75,101.1,103.5,47.5,84.0,31.7
54.0,100.1,107.1,46.4,84.5,33.2
54.25,101.5,106.7,46.4,84.9,33.4
54.5,99.3,104.2,44.9,82.8,32.9
54.75,99.6,104.5,44.1,82.8,33.6
55.0,99.9,103.3,43.4,82.2,33.7
55.25,99.7,102.1,42.3,81.4,33.9
55.5,100.8,100.5,41.6,81.0,34.1
55.75,99.8,100.1,41.4,80.4,33.8
56.0,99.5,101.8,40.4,80.6,34.8
56.25,102.3,100.4,39.4,80.7,35.7
56.5,100.7,99.2,39.6,79.8,34.9
56.75,101.0,98.0,38.6,79.2,35.2
57.0,102.2,97.3,37.8,79.1,35.8
57.25,103.2,96.1,37.1,78.8,36.3
57.5,99.5,96.8,36.6,77.6,35.6
57.75,100.5,97.4,36.5,78.1,36.1
58.0,100.7,95.8,36.3,77.6,35.9
58.25,100.5,93.7,35.7,76.6,35.6
58.5,100.9,95.0,34.4,76.8,36.8
58.75,100.7,93.0,,96.9,5.5
59.0,101.8,93.7,,97.7,5.8
59.25,99.5,92.4,,96.0,5.0
59.5,97.9,92.1,,95.0,4.1
59.75,98.4,89.4,,93.9,6.4
60.0,99.0,89.5,,94.2,6.7
60.25,99.8,87.4,,93.6,8.8
60.5,100.0,89.0,,94.5,7.8
60.75,99.6,87.3,,93.4,8.7
61.0,98.0,88.6,,93.3,6.7
61.25,98.8,86.5,,92.7,8.7
61.5,99.1,85.9,,92.5,9.4
61.75,98.0,84.7,,91.4,9.4
62.0,98.1,84.3,,91.2,9.8
62.25,98.9,83.2,,91.0,11.1
62.5,97.5,82.5,,90.0,10.7
62.75,97.9,80.0,,88.9,12.7
63.0,97.2,80.5,,88.8,11.8
63.25,96.8,79.8,,88.3,12.1
63.5,98.1,78.7,,88.4,13.8
63.75,97.2,77.1,,87.1,14.2
64.0,96.2,77.8,,87.0,13.0
64.25,96.8,75.1,,85.9,15.3
64.5,98.2,74.1,,86.1,17.1
64.75,95.4,74.3,,84.8,14.9
65.0,95.7,72.5,,84.1,16.4
65.25,95.3,71.7,,83.5,16.7
65.5,95.0,71.8,,83.4,16.4
65.75,95.1,70.7,,82.9,17.2
66.0,93.8,69.7,,81.7,17.0
66.25,94.8,69.7,,82.2,17.7
66.5,93.3,68.6,,80.9,17.5
66.75,94.5,69.2,,81.8,17.9
67.0,93.2,68.2,,80.7,17.7
67.25,91.6,67.9,,79.8,16.8
67.5,93.1,69.2,,81.2,16.9
67.75,92.8,67.6,,80.2,17.8
68.0,91.4,65.3,,78.4,18.4
68.25,92.2,65.9,,79.1,18.6
68.5,90.3,66.4,,78.3,16.9
68.75,89.5,65.8,,77.7,16.8
69.0,91.5,65.9,,78.7,18.1
69.25,89.2,65.5,,77.3,16.8
69.5,89.6,64.9,,77.2,17.5
69.75,88.6,63.2,,75.9,18.0
70.0,88.8,63.9,,76.4,17.6
70.25,88.7,63.8,,76.2,17.6
70.5,86.6,62.2,,74.4,17.3
70.75,87.0,62.1,,74.6,17.6
71.0,87.0,62.3,,74.6,17.5
71.25,86.0,62.3,,74.2,16.8
71.5,84.8,60.8,,72.8,17.0
71.75,86.3,60.4,,73.3,18.3
72.0,84.6,60.2,,72.4,17.2
72.25,84.3,60.4,,72.3,16.9
72.5,82.7,59.0,,70.9,16.7
72.75,84.5,59.7,,72.1,17.5
73.0,82.2,58.8,,70.5,16.6
73.25,82.8,59.0,,70.9,16.8
73.5,82.0,58.7,,70.4,16.5
73.75,80.4,57.8,,69.1,16.0
74.0,82.3,57.4,,69.9,17.6
74.25,81.6,56.6,,69.1,17.6
74.5,81.4,57.0,,69.2,17.3
74.75,81.1,56.9,,69.0,17.1
75.0,80.3,55.8,,68.1,17.3
75.25,79.0,56.4,,67.7,15.9
75.5,78.0,55.3,,66.7,16.1
75.75,79.3,55.3,,67.3,17.0
76.0,79.1,54.9,,67.0,17.1
76.25,77.8,56.0,,66.9,15.4
76.5,78.8,53.4,,66.1,17.9
76.75,78.4,53.7,,66.0,17.5
77.0,77.9,54.2,,66.1,16.8
77.25,77.4,53.5,,65.4,16.9
77.5,76.9,54.7,,65.8,15.7
77.75,77.0,52.3,,64.6,17.5
78.0,76.1,53.3,,64.7,16.1
78.25,76.5,52.8,,64.7,16.7
78.5,75.2,52.6,,63.9,15.9
78.75,75.6,52.2,,63.9,16.5
79.0,74.8,52.1,,63.5,16.1
79.25,74.7,52.0,,63.3,16.1
79.5,73.7,51.1,,62.4,16.0
79.75,73.2,50.9,,62.0,15.8
80.0,73.8,50.9,,62.4,16.2
80.25,72.7,50.8,,61.8,15.5
80.5,72.6,49.9,,61.3,16.0
80.75,72.6,49.8,,61.2,16.2
81.0,71.3,50.1,,60.7,15.0
81.25,71.9,49.0,,60.5,16.2
81.5,71.2,48.9,,60.0,15.8
81.75,70.7,48.9,,59.8,15.4
82.0,70.9,49.1,,60.0,15.4
82.25,70.4,48.8,,59.6,15.2
82.5,70.3,49.4,,59.8,14.8
82.75,69.9,48.1,,59.0,15.4
83.0,68.5,47.6,,58.1,14.7
83.25,69.0,47.4,,58.2,15.2
83.5,69.4,47.2,,58.3,15.7
83.75,68.1,47.1,,57.6,14.8
84.0,67.9,46.9,,57.4,14.9
84.25,68.7,46.0,,57.3,16.1
84.5,67.7,46.1,,56.9,15.3
84.75,67.7,45.9,,56.8,15.4
85.0,66.7,45.7,,56.2,14.8
85.25,66.7,44.2,,55.5,15.9
85.5,66.3,44.1,,55.2,15.7
85.75,66.9,44.1,,55.5,16.1
86.0,66.0,43.5,,54.8,15.9
86.25,66.0,43.4,,54.7,16.0
86.5,65.7,42.8,,54.3,16.1
86.75,64.9,43.0,,53.9,15.5
87.0,64.3,43.0,,53.6,15.0
87.25,64.6,42.2,,53.4,15.8
87.5,65.4,42.0,,53.7,16.6
87.75,63.7,41.6,,52.7,15.6
88.0,63.6,41.0,,52.3,16.0
88.25,63.3,40.8,,52.0,15.9
88.5,64.3,40.6,,52.5,16.8
88.75,62.7,40.6,,51.6,15.7
89.0,61.7,40.1,,50.9,15.3
89.25,61.5,39.4,,50.4,15.6
89.5,62.1,39.8,,50.9,15.7
89.75,60.8,38.8,,49.8,15.5
90.0,60.9,39.3,,50.1,15.3
90.25,61.6,38.8,,50.2,16.2
90.5,61.2,38.2,,49.7,16.2
90.75,59.3,38.2,,48.7,15.0
91.0,59.0,38.1,,48.5,14.8
91.25,60.3,38.1,,49.2,15.7
91.5,59.9,38.3,,49.1,15.3
91.75,59.1,37.7,,48.4,15.2
92.0,59.4,37.7,,48.6,15.3
92.25,58.2,37.2,,47.7,14.8
92.5,58.7,37.2,,48.0,15.2
92.75,57.5,36.7,,47.1,14.7
93.0,57.0,36.7,,46.8,14.4
93.25,57.6,36.7,,47.1,14.8
93.5,57.3,35.8,,46.5,15.2
93.75,57.1,35.5,,46.3,15.2
94.0,56.0,35.6,,45.8,14.4
94.25,56.2,35.6,,45.9,14.6
94.5,55.0,34.5,,44.8,14.4
94.75,55.3,34.8,,45.0,14.5
95.0,54.8,34.9,,44.9,14.1
95.25,54.8,34.0,,44.4,14.7
95.5,54.0,34.0,,44.0,14.1
95.75,54.3,33.2,,43.7,14.9
96.0,53.4,33.0,,43.2,14.4
96.25,52.8,33.8,,43.3,13.5
96.5,52.6,32.7,,42.7,14.1
96.75,52.1,32.5,,42.3,13.8
97.0,51.9,32.6,,42.3,13.7
97.25,51.1,32.5,,41.8,13.2
97.5,51.2,32.6,,41.9,13.2
97.75,51.2,32.6,,41.9,13.1
98.0,49.6,32.1,,40.8,12.4
98.25,50.5,,,50.5,
98.5,50.6,,,50.6,
98.75,50.1,,,50.1,
99.0,49.0,,,49.0,
99.25,49.2,,,49.2,
99.5,48.4,,,48.4,
99.75,48.2,,,48.2,
100.0,47.8,,,47.8,
100.25,48.1,,,48.1,
100.5,47.2,,,47.2,
100.75,47.4,,,47.4,
101.0,46.8,,,46.8,
101.25,46.3,,,46.3,
101.5,46.1,,,46.1,
101.75,46.5,,,46.5,
102.0,45.0,,,45.0,
102.25,45.4,,,45.4,
102.5,45.3,,,45.3,
102.75,44.2,,,44.2,
103.0,44.1,,,44.1,
103.25,43.7,,,43.7,
103.5,43.4,,,43.4,
103.75,42.9,,,42.9,
104.0,43.0,,,43.0,
104.25,43.0,,,43.0,
104.5,42.5,,,42.5,
104.75,42.4,,,42.4,
105.0,42.4,,,42.4,
105.25,41.8,,,41.8,
105.5,41.5,,,41.5,
105.75,42.1,,,42.1,
106.0,41.6,,,41.6,
106.25,41.0,,,41.0,
106.5,41.2,,,41.2,
106.75,40.9,,,40.9,
107.0,41.3,,,41.3,
107.25,40.8,,,40.8,
107.5,41.0,,,41.0,
107.75,40.3,,,40.3,
108.0,40.2,,,40.2,
108.25,40.4,,,40.4,
108.5,39.8,,,39.8,
108.75,40.5,,,40.5,
109.0,39.6,,,39.6,
109.25,40.2,,,40.2,
109.5,39.3,,,39.3,
109.75,39.4,,,39.4,
110.0,39.3,,,39.3,
110.25,38.8,,,38.8,
110.5,39.0,,,39.0,
110.75,38.4,,,38.4,
111.0,39.2,,,39.2,
111.25,38.6,,,38.6,
111.5,38.1,,,38.1,
111.75,38.1,,,38.1,
112.0,38.1,,,38.1,
