Time after Ignition,Cotton_Raw_R1,Cotton_Raw_R2,Cotton_Raw_R3,Mean,Std. Dev.
0.0,24.9,23.3,27.1,25.1,1.9
0.25,27.2,25.8,30.9,28.0,2.7
0.5,30.6,28.4,33.4,30.8,2.5
0.75,32.7,31.0,36.6,33.4,2.9
1.0,36.1,32.6,39.7,36.1,3.6
1.25,37.8,34.4,41.9,38.0,3.8
1.5,40.6,36.7,43.9,40.4,3.7
1.75,42.2,38.7,45.4,42.1,3.4
2.0,42.9,39.9,46.6,43.1,3.3
2.25,44.4,42.0,48.0,44.8,3.0
2.5,46.6,43.0,49.8,46.4,3.4
2.75,47.4,45.1,51.6,48.0,3.3
3.0,49.1,46.8,52.2,49.4,2.7
3.25,49.4,47.4,52.4,49.7,2.5
3.5,50.4,48.7,53.8,51.0,2.6
3.75,51.2,49.2,54.8,51.7,2.9
4.0,51.7,50.5,54.8,52.3,2.2
4.25,51.3,50.7,56.6,52.9,3.2
4.5,52.7,52.8,56.5,54.0,2.1
4.75,53.1,52.8,56.9,54.3,2.3
5.0,53.6,53.8,57.3,54.9,2.1
5.25,53.8,54.7,56.6,55.1,1.4
5.5,54.1,55.2,56.0,55.1,1.0
5.75,54.7,56.8,56.9,56.1,1.2
6.0,55.3,57.1,58.2,56.9,1.4
6.25,55.2,58.4,57.3,57.0,1.6
6.5,56.4,59.4,57.1,57.7,1.6
6.75,55.6,59.2,56.9,57.2,1.9
7.0,55.5,59.5,58.1,57.7,2.0
7.25,56.4,61.8,56.7,58.3,3.0
7.5,56.3,62.7,57.7,58.9,3.3
7.75,56.5,63.0,56.7,58.7,3.7
8.0,56.1,64.1,56.9,59.0,4.4
8.25,56.9,64.1,57.3,59.4,4.1
8.5,56.7,64.7,57.5,59.6,4.4
8.75,57.9,66.0,58.0,60.6,4.6
9.0,57.5,67.1,57.8,60.8,5.4
9.25,56.7,67.7,56.3,60.2,6.5
9.5,58.0,67.8,56.8,60.9,6.0
9.75,57.7,68.1,57.8,61.2,6.0
10.0,57.8,68.8,57.3,61.3,6.5
10.25,58.1,69.9,57.2,61.7,7.1
10.5,59.7,69.2,57.7,62.2,6.2
10.75,57.9,70.2,57.4,61.8,7.3
11.0,59.0,70.2,57.1,62.1,7.1
11.25,59.2,70.1,57.8,62.4,6.7
11.5,59.5,71.2,57.7,62.8,7.3
11.75,59.8,70.8,57.4,62.7,7.1
12.0,61.3,70.8,57.3,63.1,6.9
12.25,60.5,70.0,57.9,62.8,6.4
12.5,62.1,71.0,58.7,63.9,6.4
12.75,61.4,71.3,58.7,63.8,6.6
13.0,62.7,70.9,58.2,63.9,6.4
13.25,63.8,71.3,58.6,64.6,6.4
13.5,63.2,71.3,58.8,64.4,6.3
13.75,64.1,71.4,60.2,65.2,5.7
14.0,64.1,72.5,59.9,65.5,6.4
14.25,64.1,72.5,60.1,65.6,6.3
14.5,64.3,71.9,61.9,66.0,5.2
14.75,65.7,71.9,63.8,67.1,4.2
15.0,65.9,71.2,63.3,66.8,4.0
15.25,65.5,71.2,62.7,66.5,4.3
15.5,66.1,71.8,64.1,67.3,4.0
15.75,66.4,72.0,64.5,67.6,3.9
16.0,66.6,72.4,65.8,68.3,3.6
16.25,65.9,71.6,67.1,68.2,3.0
16.5,65.9,71.6,68.0,68.5,2.9
16.75,66.3,72.7,68.7,69.2,3.2
17.0,66.0,74.0,70.1,70.0,4.0
17.25,66.0,71.7,70.4,69.4,3.0
17.5,67.0,71.8,72.8,70.5,3.1
17.75,66.1,71.6,73.5,70.4,3.9
18.0,66.6,72.5,74.7,71.3,4.2
18.25,65.6,72.2,73.5,70.4,4.2
18.5,66.8,72.4,75.2,71.5,4.3
18.75,68.1,72.6,77.4,72.7,4.7
19.0,67.2,72.1,78.0,72.5,5.4
19.25,67.8,71.4,77.2,72.1,4.7
19.5,66.2,71.8,77.2,71.7,5.5
19.75,66.6,72.7,78.5,72.6,6.0
20.0,66.5,71.8,78.9,72.4,6.2
20.25,66.3,71.7,79.5,72.5,6.6
20.5,66.4,71.3,80.9,72.9,7.4
20.75,67.3,71.4,79.2,72.6,6.1
21.0,66.7,71.4,81.6,73.2,7.6
21.25,65.7,72.1,80.2,72.7,7.2
21.5,64.7,70.9,82.6,72.8,9.1
21.75,65.8,71.6,81.8,73.0,8.1
22.0,65.3,70.9,81.6,72.6,8.3
22.25,65.3,70.8,81.3,72.5,8.1
22.5,66.4,71.9,83.4,73.9,8.7
22.75,65.4,70.9,81.1,72.4,8.0
23.0,65.5,71.3,81.7,72.8,8.2
23.25,65.5,70.0,82.4,72.7,8.8
23.5,65.0,69.1,82.5,72.2,9.2
23.75,64.8,70.1,81.0,71.9,8.2
24.0,65.3,70.2,81.8,72.4,8.5
24.25,65.8,70.0,81.9,72.6,8.3
24.5,64.7,70.3,84.2,73.1,10.0
24.75,65.2,68.8,82.3,72.1,9.0
25.0,65.2,69.5,82.9,72.5,9.2
25.25,65.1,68.8,83.6,72.5,9.8
25.5,63.5,69.3,81.3,71.4,9.1
25.75,64.0,67.0,81.2,70.7,9.2
26.0,63.5,68.1,82.8,71.5,10.1
26.25,64.2,68.3,81.6,71.4,9.1
26.5,63.4,68.0,83.4,71.6,10.5
26.75,63.3,67.8,81.9,71.0,9.7
27.0,63.3,68.3,82.2,71.3,9.7
27.25,62.8,67.9,82.9,71.2,10.5
27.5,61.9,67.9,84.2,71.3,11.5
27.75,63.3,67.2,82.1,70.8,9.9
28.0,62.9,67.2,83.7,71.3,11.0
28.25,61.9,67.5,81.9,70.4,10.3
28.5,61.3,67.1,81.8,70.1,10.6
28.75,60.9,66.7,82.0,69.8,10.9
29.0,61.6,67.1,83.2,70.6,11.2
29.25,62.3,66.5,82.9,70.6,10.9
29.5,59.9,66.3,82.2,69.5,11.5
29.75,61.0,65.0,83.0,69.7,11.7
30.0,60.5,67.3,83.1,70.3,11.6
30.25,60.0,66.7,82.1,69.6,11.3
30.5,60.4,66.7,83.2,70.1,11.8
30.75,59.8,66.0,84.3,70.0,12.7
31.0,59.5,67.0,82.8,69.8,11.9
31.25,59.2,67.8,82.6,69.9,11.8
31.5,58.2,65.9,82.2,68.8,12.2
