#EXPORTTYPE,NGB PARSER
#FILE,Bmore_Lion_Hood_Black_STA_N2_10K_240319_R1.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,Lion_Hood_Black_10K_R1
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2024-03-19T19:12:13+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"Lion_Hood_Black_10K_Corr
Sample vial label: ""Bmore Fire: Lion Hood, Black  March 14, 2024""
Dark grey to black powder"
#SAMPLE,Bmore_Lion_Hood_Black
#SAMPLE MASS/mg,4.03
#MATERIAL,Bmore_Lion_Hood_Blac
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,254.0399932861328
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
