#EXPORTTYPE,NGB PARSER
#FILE,Bmore_Lion_Hood_Grey_STA_N2_10K_240320_R1.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,Lion_Hood_Grey_10K_Cor
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2024-03-20T16:55:21+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"Grey cloth from Bmore Fire: Lion Hood sample.
Sample vial label: ""Bmore Fire: Lion Hood, Grey  March 15, 2024""
grey/silvery powder
Increased max. temp. from 750 to 800C based on results of Lion Hood, Black, 30K R1."
#SAMPLE,Bmore_Lion_Hood_Grey
#SAMPLE MASS/mg,3.99
#MATERIAL,Bmore_Lion_Hood_Grey
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,254.0399932861328
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
