Names,Excelsior_R1,Excelsior_R2,Excelsior_R3,Mean,Std. Dev.
203,193.1,177.7,163.9,178.2,14.6
204,193.5,180.2,160.1,177.9,16.8
205,189.0,173.4,159.4,173.9,14.8
206,186.8,175.9,161.0,174.6,13.0
207,189.3,179.2,163.5,177.3,13.0
208,183.4,173.6,158.1,171.7,12.8
209,185.0,171.2,161.7,172.7,11.7
210,184.8,173.0,164.0,174.0,10.4
211,180.7,171.2,160.8,170.9,10.0
212,184.3,174.6,162.8,173.9,10.7
213,182.7,171.2,163.5,172.5,9.7
214,179.7,169.5,161.1,170.1,9.3
215,182.6,172.1,161.3,172.0,10.7
216,178.4,171.3,160.9,170.2,8.8
217,177.6,168.1,163.8,169.8,7.0
218,177.1,167.3,162.0,168.8,7.6
219,178.8,166.8,160.9,168.8,9.1
220,177.0,168.1,159.6,168.2,8.7
221,172.3,163.7,163.2,166.4,5.1
222,172.9,162.6,161.9,165.8,6.2
223,173.7,167.1,162.2,167.7,5.8
224,171.5,164.9,159.8,165.4,5.8
225,168.7,163.8,164.4,165.6,2.7
226,170.3,163.3,164.7,166.1,3.7
227,168.0,163.7,164.9,165.6,2.2
228,169.0,163.4,162.2,164.9,3.6
229,167.8,163.7,163.9,165.1,2.3
230,165.3,162.3,161.2,162.9,2.1
231,167.2,164.1,163.5,164.9,2.0
232,165.4,161.7,164.9,164.0,2.0
233,165.8,160.1,159.4,161.8,3.5
234,164.6,159.3,163.2,162.4,2.8
235,162.0,161.6,158.9,160.8,1.7
236,161.9,160.2,162.6,161.5,1.2
237,161.6,157.8,162.1,160.5,2.3
238,163.4,159.3,162.6,161.8,2.1
239,162.1,160.6,162.0,161.6,0.8
240,158.9,157.8,163.3,160.0,2.9
241,159.8,154.6,164.4,159.6,4.9
242,160.1,155.2,162.8,159.4,3.8
243,163.2,156.9,164.3,161.5,4.0
244,157.1,158.7,164.8,160.2,4.1
245,159.3,154.4,161.1,158.2,3.5
246,156.4,155.5,162.3,158.1,3.7
247,157.4,157.3,163.1,159.3,3.3
248,157.8,155.1,164.3,159.0,4.7
249,157.0,155.1,163.7,158.6,4.5
250,157.9,156.7,162.8,159.1,3.2
251,157.5,155.9,165.3,159.6,5.0
252,157.2,158.0,160.8,158.7,1.9
253,156.1,156.2,167.3,159.8,6.4
254,155.5,153.7,164.1,157.8,5.6
255,155.1,154.0,167.2,158.8,7.3
256,151.5,152.6,163.7,156.0,6.8
257,153.9,155.5,165.6,158.3,6.4
258,152.8,152.8,167.6,157.7,8.6
259,151.6,153.5,164.0,156.4,6.7
260,151.1,152.7,164.0,155.9,7.0
261,151.8,152.3,166.7,156.9,8.5
262,150.1,151.5,165.4,155.7,8.4
263,150.8,152.0,167.4,156.7,9.2
264,150.8,153.3,167.1,157.1,8.8
265,147.0,150.0,165.5,154.1,9.9
266,148.5,153.0,165.6,155.7,8.9
267,150.7,153.9,164.3,156.3,7.1
268,148.3,151.4,165.0,154.9,8.9
269,146.9,153.5,165.1,155.2,9.3
270,146.9,151.4,167.5,155.3,10.9
271,148.0,154.3,166.2,156.1,9.3
272,146.1,150.9,164.9,154.0,9.8
273,146.2,152.6,166.5,155.1,10.4
274,144.5,150.8,167.1,154.1,11.6
275,144.2,150.2,165.7,153.4,11.1
