##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg)
48.795,10.00917,-0.08019,0.009836841
48.895,10.3215,-0.0826533,0.01263738
48.995,10.38279,-0.08443062,0.01702951
49.095,10.43075,-0.08381263,0.02105039
49.195,10.47148,-0.08324399,0.02657416
49.295,10.50115,-0.08347376,0.03225331
49.395,10.52693,-0.08328058,0.03913344
49.495,10.55022,-0.08430465,0.04272636
49.595,10.57211,-0.08484549,0.04723529
49.695,10.59251,-0.08476127,0.05149381
49.795,10.61107,-0.08429366,0.05640551
49.895,10.62853,-0.08335885,0.06009565
49.995,10.64523,-0.08377701,0.06427715
50.095,10.66066,-0.08406361,0.06824969
50.195,10.67562,-0.08332334,0.07345585
50.295,10.68989,-0.08403443,0.07677191
50.395,10.70365,-0.08445183,0.08076637
50.495,10.71679,-0.08468379,0.08388054
50.595,10.7295,-0.08448252,0.08892478
50.695,10.74177,-0.08465659,0.09148608
50.795,10.75364,-0.08427384,0.09560632
50.895,10.76506,-0.08459592,0.10029
50.995,10.77616,-0.08388213,0.10483
51.095,10.78694,-0.08465295,0.10882
51.195,10.79747,-0.08404105,0.11074
51.295,10.8078,-0.08510863,0.11475
51.395,10.81778,-0.0847942,0.12
51.495,10.82766,-0.08466837,0.12068
51.595,10.83738,-0.08562738,0.12643
51.695,10.84695,-0.08513928,0.13027
51.795,10.85631,-0.086,0.13069
51.895,10.86547,-0.08562238,0.13631
51.995,10.87453,-0.08542852,0.14044
52.095,10.88342,-0.08608203,0.14282
52.195,10.89213,-0.08563551,0.14648
52.295,10.90073,-0.08546016,0.14912
52.395,10.90917,-0.08622001,0.15333
52.495,10.91742,-0.08490394,0.15626
52.595,10.92549,-0.08485524,0.16031
52.695,10.93346,-0.08545401,0.16315
52.795,10.94132,-0.08518063,0.16561
52.895,10.94906,-0.08500106,0.16962
52.995,10.95678,-0.08616992,0.17096
53.095,10.96441,-0.08573636,0.17335
53.195,10.97194,-0.08518302,0.17593
53.295,10.97938,-0.08612107,0.17813
53.395,10.98668,-0.08619553,0.18319
53.495,10.99388,-0.08550849,0.18594
53.595,11.00106,-0.08528618,0.18821
53.695,11.00825,-0.08569209,0.19287
53.795,11.01533,-0.08490793,0.19488
53.895,11.02227,-0.08445542,0.1972
53.995,11.02915,-0.08511841,0.20168
54.095,11.0361,-0.08555986,0.20551
54.195,11.04293,-0.08541834,0.20726
54.295,11.04959,-0.08560627,0.20884
54.395,11.05619,-0.08693444,0.21296
54.495,11.06281,-0.08718989,0.21683
54.595,11.06939,-0.08654316,0.21918
54.695,11.07584,-0.08697112,0.22123
54.795,11.08225,-0.0874608,0.22472
54.895,11.08863,-0.0875202,0.2288
54.995,11.09491,-0.08779422,0.23078
55.095,11.10117,-0.08820828,0.2333
55.195,11.10745,-0.08855192,0.23752
55.295,11.11368,-0.0887931,0.23996
55.395,11.11981,-0.0888424,0.2415
55.495,11.12583,-0.08875141,0.24442
55.595,11.1318,-0.08907535,0.24734
55.695,11.13776,-0.08959868,0.24974
55.795,11.14374,-0.08932348,0.25266
55.895,11.14968,-0.08909702,0.25545
55.995,11.1555,-0.08992599,0.25721
56.095,11.16127,-0.09043237,0.25896
56.195,11.16706,-0.09000291,0.26158
56.295,11.17282,-0.08971377,0.26512
56.395,11.17857,-0.08991158,0.26846
56.495,11.18428,-0.0902981,0.27019
56.595,11.18994,-0.09035781,0.27162
