LABORATORY,FSRI 
TEST IDENT,Luan_Panel_HF75_3
OPERATOR,Dow
MATERIAL,Luan panel
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.0415714792907238
SPEC HOLDER DIFF,-566
SPECIMEN MASS,18.6200008392334
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1067
TIME TO IGN,7.75
END OF TEST SCAN,587
END OF TEST TIME,146.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.80 x 101.85 x 5.10 mm; with tie wires
POST TEST CMT,"Burst of popping shortly after ignition due to expanding air bubbles in sample."
