Names,Luan_Panel_R1,Luan_Panel_R2,Luan_Panel_R3,Mean,Std. Dev.
324,12.8,143.4,24.1,60.1,72.4
325,13.7,144.2,26.9,61.6,71.8
326,17.2,149.0,29.3,65.2,72.9
327,20.5,151.6,34.9,69.0,71.9
328,23.0,153.9,39.6,72.2,71.2
329,25.8,157.1,44.8,75.9,71.0
330,28.1,153.6,48.9,76.8,67.3
331,32.7,157.1,52.8,80.9,66.8
332,36.9,158.1,58.9,84.6,64.6
333,40.8,158.5,63.5,87.6,62.4
334,44.8,161.2,67.3,91.1,61.8
335,51.8,163.0,72.1,95.6,59.2
336,58.2,164.1,79.3,100.5,56.0
337,63.6,166.8,85.0,105.2,54.4
338,69.4,169.8,90.5,109.9,52.9
339,77.0,166.9,93.6,112.5,47.9
340,81.6,165.9,100.1,115.9,44.3
341,88.8,167.3,109.7,121.9,40.7
342,92.3,167.4,112.6,124.1,38.9
343,94.3,168.9,119.9,127.7,37.9
344,99.8,167.5,126.0,131.1,34.2
345,108.2,173.0,131.1,137.4,32.9
346,112.1,170.6,134.9,139.2,29.5
347,116.8,167.3,140.5,141.5,25.3
348,119.4,169.7,146.6,145.2,25.2
349,125.5,166.8,151.0,147.8,20.8
350,131.3,167.7,150.6,149.9,18.3
351,132.9,171.0,154.6,152.8,19.1
352,136.3,167.9,156.0,153.4,15.9
353,142.0,166.0,159.5,155.8,12.4
354,145.3,167.1,162.5,158.3,11.5
355,149.3,165.6,162.7,159.2,8.7
356,151.5,165.9,166.1,161.2,8.3
357,153.8,163.1,167.5,161.5,7.0
358,154.8,161.2,171.2,162.4,8.3
359,157.6,164.5,171.1,164.4,6.7
360,158.3,159.9,169.5,162.6,6.1
361,160.7,160.5,172.7,164.6,7.0
362,162.5,157.6,173.3,164.5,8.0
363,165.7,159.5,177.0,167.4,8.9
364,163.9,157.6,177.8,166.4,10.4
365,167.8,156.8,179.3,168.0,11.3
366,167.1,155.2,179.2,167.2,12.0
367,167.9,155.2,175.4,166.2,10.2
368,169.5,152.8,176.1,166.1,12.0
369,170.4,155.8,181.8,169.3,13.0
370,170.8,151.6,179.7,167.4,14.4
371,170.1,156.8,177.9,168.3,10.7
372,173.3,152.1,178.4,167.9,13.9
373,172.6,150.3,175.1,166.0,13.7
374,173.1,155.8,175.0,167.9,10.6
375,173.4,150.8,173.9,166.0,13.2
376,171.4,148.1,174.2,164.6,14.3
377,170.5,150.5,173.3,164.8,12.5
378,172.6,149.1,175.2,165.6,14.4
379,174.1,147.0,177.6,166.2,16.8
380,174.6,146.6,172.1,164.4,15.5
381,170.2,146.3,174.3,163.6,15.1
382,171.7,146.2,174.3,164.0,15.5
383,170.9,145.4,173.7,163.3,15.6
384,170.5,147.5,173.2,163.8,14.1
385,168.8,145.7,174.2,162.9,15.1
386,169.7,143.3,172.1,161.7,16.0
387,165.0,144.7,167.1,158.9,12.4
388,166.9,143.6,171.0,160.5,14.8
389,168.6,143.4,171.4,161.2,15.4
390,164.3,143.5,173.8,160.5,15.5
391,160.5,144.7,171.0,158.8,13.2
392,161.2,145.3,169.8,158.8,12.5
393,160.2,141.5,168.4,156.7,13.8
394,160.7,142.0,170.3,157.7,14.4
395,157.3,141.6,170.8,156.6,14.6
396,154.8,142.2,171.4,156.1,14.7
397,155.7,142.5,168.5,155.6,13.0
398,155.1,141.3,169.7,155.3,14.2
399,152.8,143.9,164.4,153.7,10.3
400,153.8,141.7,167.0,154.2,12.6
401,151.9,142.8,165.0,153.2,11.1
402,151.0,141.5,165.5,152.6,12.1
403,152.6,139.6,165.2,152.4,12.8
404,149.1,139.0,161.9,150.0,11.5
405,148.2,137.9,165.4,150.5,13.9
406,147.9,138.9,164.4,150.4,12.9
407,148.1,138.7,161.6,149.5,11.5
408,147.8,138.3,163.5,149.9,12.7
409,147.7,136.9,163.8,149.5,13.5
410,148.9,136.1,162.9,149.3,13.4
411,146.2,136.2,163.0,148.5,13.6
412,143.9,134.5,159.4,146.0,12.6
413,145.0,134.6,160.6,146.7,13.1
414,146.7,133.9,161.3,147.3,13.7
415,144.1,132.8,160.4,145.8,13.9
416,146.0,133.0,160.9,146.6,14.0
417,143.9,132.1,159.3,145.1,13.6
418,143.4,132.4,161.8,145.9,14.9
419,145.6,131.5,157.8,145.0,13.2
420,140.2,132.5,160.8,144.5,14.6
421,144.9,129.0,158.0,144.0,14.5
422,140.6,129.3,159.8,143.2,15.4
423,142.6,131.5,164.1,146.1,16.6
424,140.4,128.1,159.0,142.5,15.5
425,139.9,128.5,161.0,143.1,16.5
426,140.7,127.9,157.8,142.1,15.0
427,139.1,128.8,161.9,143.3,16.9
428,138.1,127.7,159.0,141.6,16.0
429,140.7,126.5,157.1,141.4,15.3
430,138.9,125.9,156.6,140.5,15.4
431,138.3,126.9,157.8,141.0,15.6
432,139.8,123.9,157.7,140.5,16.9
433,139.0,128.4,157.5,141.6,14.8
434,136.6,126.1,155.0,139.2,14.6
435,138.1,127.4,156.2,140.6,14.5
436,136.9,124.9,152.5,138.1,13.9
437,137.1,124.4,154.2,138.5,14.9
438,136.7,125.5,154.7,139.0,14.7
439,135.6,124.9,155.2,138.6,15.3
440,136.8,124.7,153.5,138.3,14.5
441,138.9,123.1,152.0,138.0,14.5
442,136.2,125.7,155.4,139.1,15.0
443,134.8,123.2,153.7,137.3,15.4
444,137.6,125.4,151.4,138.1,13.0
445,137.7,122.9,151.8,137.5,14.5
446,136.0,124.0,154.1,138.0,15.2
447,138.0,124.3,153.0,138.4,14.4
448,137.1,124.2,149.3,136.9,12.6
449,138.5,124.6,150.9,138.0,13.2
450,136.6,124.1,148.5,136.4,12.2
451,134.8,121.5,149.5,135.3,14.0
452,136.6,122.8,149.9,136.4,13.6
453,134.9,122.1,147.1,134.7,12.5
454,133.9,123.8,149.3,135.7,12.8
455,137.4,122.0,147.1,135.5,12.6
456,135.4,122.4,145.2,134.3,11.4
457,134.9,120.9,146.4,134.1,12.7
458,135.8,123.4,145.8,135.0,11.2
459,132.3,121.4,147.3,133.7,13.0
460,132.5,120.8,145.0,132.8,12.1
461,132.6,121.2,144.6,132.8,11.7
462,132.0,121.9,143.4,132.4,10.8
463,130.5,121.0,143.0,131.5,11.0
464,131.0,122.3,143.4,132.2,10.6
465,131.1,121.8,143.8,132.3,11.1
466,131.6,122.0,142.5,132.0,10.2
467,132.4,121.9,143.0,132.4,10.5
468,131.0,121.5,140.5,131.0,9.5
469,130.5,122.6,142.9,132.0,10.2
470,127.8,121.3,142.4,130.5,10.8
471,131.3,121.5,143.9,132.3,11.2
472,130.8,121.6,140.8,131.1,9.6
473,131.8,123.5,140.2,131.8,8.3
474,130.8,120.8,142.0,131.2,10.6
