LABORATORY,FSRI 
TEST IDENT,Luan_Panel_HF50_4
OPERATOR,Dow
MATERIAL,Luan panel
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.0415714792907238
SPEC HOLDER DIFF,-566
SPECIMEN MASS,20.15999984741211
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1115
TIME TO IGN,16
END OF TEST SCAN,635
END OF TEST TIME,158.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.83 x 101.69 x 5.04 mm; with tie wires
POST TEST CMT,Test pictures available.
