Time after Ignition,Luan_Panel_R1,Luan_Panel_R2,Luan_Panel_R3,Mean,Std. Dev.
0.0,29.28505899474635,33.92605504987301,61.19098459781483,41.46736621414473,17.238055363190252
0.25,31.540499870783385,42.318261357244246,70.2830077229013,48.04725631697631,19.996537602903437
0.5,40.75707098548354,53.231063358576336,79.67902010783015,57.88905148396335,19.874661529264326
0.75,49.41743077977296,61.65100302672528,94.10940549551039,68.39261310066955,23.096106398911886
1.0,55.613963546467566,67.06756852292489,109.01993981457397,77.23382396132214,28.116972410208795
1.25,62.04682625680814,82.05479954387044,118.80207470850365,87.63456683639409,28.786106179587037
1.5,78.25800180856099,95.5694842950781,128.43809872150862,100.7551949417159,25.488805929882112
1.75,89.8197037963086,106.09143962439413,138.1162974801603,111.34248030028768,24.572755472284395
2.0,99.52147159783162,118.32458667372181,147.09459879298825,121.64688568818057,23.95994283878288
2.25,112.43956189968469,133.49909335226994,166.359655528038,137.43277025999754,27.174427035972414
2.5,121.5384743571606,149.2747829062723,170.10486415683042,146.97270714008778,24.3648972739125
2.75,134.53889875294365,161.82428189141118,182.28457749236836,159.54925271224104,23.954003379323563
3.0,151.10694415024625,170.35754266953913,193.50519633073588,171.65656105017376,21.228955074497154
3.25,163.8765457889108,188.10281048223735,189.816927838803,180.5987613699837,14.507202350313047
3.5,173.37312791755957,197.16846804586314,209.14495260493024,193.22884952278432,18.20841305404001
3.75,193.51481739091807,209.49610963041042,224.89074083871824,209.3005559533489,15.688875803607262
4.0,209.57061665537708,221.0198498380873,240.57901428888172,223.72316026078204,15.679958430444627
4.25,216.68973402241866,225.39685534371915,249.7474492031909,230.6113461897762,17.1346525885696
4.5,228.987892619433,238.00951707018774,265.85280223969875,244.28340397643987,19.216571832975866
4.75,247.2621983557831,249.20214434763716,283.6685441197139,260.0442956077114,20.482179716291597
5.0,257.76826488806483,255.60586635314183,296.67314320417125,270.0157581484593,23.111277017125865
5.25,271.8213413815889,257.0400211774616,304.1003527050792,277.65390508804325,24.06621699425787
5.5,280.52361405129494,262.9280285528805,311.1396859389246,284.86377618103336,24.397105001652058
5.75,297.87307474628807,271.00149611500626,315.68298686034507,294.8525192405465,22.493370589551464
6.0,293.01407891806053,282.0701925771183,328.32028894236873,301.13485347918254,24.170810661894702
6.25,310.1270146633572,294.76988160604253,341.56176410304903,315.4862201241496,23.85185274316559
6.5,333.0141793499753,294.9759992523666,338.0462720708392,322.0121502243937,23.54879155762615
6.75,332.66800247318275,306.9424402949062,351.368756517486,330.3263997618583,22.305531168757817
7.0,328.7713781914395,314.3426468647054,362.80438451513294,335.3061365237593,24.882972167148438
7.25,348.47238283483296,314.9051359561602,356.3511917404557,339.90957017714965,22.009888811092836
7.5,347.77024396474746,316.7959389756226,367.4242662104512,343.99681638360704,25.524222739033693
7.75,357.9370418450625,333.6589064199461,367.5960757494783,353.06400800482896,17.485499982310515
8.0,358.8405554302995,345.9322214279426,375.44893113276356,360.07390266366855,14.796955666562383
8.25,367.57867119777274,334.293667021769,374.4676616951577,358.77999997156644,21.483712982501835
8.5,374.25119690822055,342.1895101101699,381.93697356935206,366.12589352924743,21.0827092450192
8.75,368.1294729549199,349.6057818836901,388.08788692421854,368.60771392094284,19.24550955167862
9.0,374.37204590134473,358.5894088521888,384.7248231739806,372.5620926425047,13.161379811490868
9.25,377.3745703969003,354.98548987336545,390.3018069235738,374.2206223979465,17.86815892818249
9.5,376.8902279791203,364.7155222899437,394.794723676659,378.80015798190766,15.130282993959634
9.75,379.6300590143163,357.76806111184396,394.6583834705177,377.3521678655593,18.55035207202023
10.0,386.388539032076,364.90800830460194,396.1435701542594,382.4800391636458,15.980374195621438
10.25,374.8875616315668,375.28536145193357,388.40233969854415,379.52508759401485,7.690498349898947
10.5,389.91882986225147,369.20401504556247,386.9491714544644,382.0240054540928,11.201287127863568
10.75,383.68747394066213,373.2853775385464,375.92865704169935,377.633836173636,5.406628274046706
11.0,374.89599043871414,370.155496964954,377.94924947840417,374.3335789606908,3.9271967818263174
11.25,375.2674721758326,375.17360751087324,375.64105744543684,375.3607123773809,0.24728053243119122
