LABORATORY,FSRI 
TEST IDENT,PVC_HF50_2
OPERATOR,Dow
MATERIAL,PVC
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03936708718538284
SPEC HOLDER DIFF,303.1500244140625
SPECIMEN MASS,44.099998474121094
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2923
TIME TO IGN,47.25
END OF TEST SCAN,2443
END OF TEST TIME,610.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.10 x 98.91 x 3.12 mm; 60 mm spacing
POST TEST CMT,"Sample shriveled prior to ignition, reducing exposed surface area. Sample expanded in height throughout test, reaching several centemeters above calibrated surface height, thereby increasing incident heat flux."
