LABORATORY,FSRI 
TEST IDENT,PVC_HF25_2
OPERATOR,Dow
MATERIAL,PVC
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,306
SPECIMEN MASS,46.29999923706055
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3347
TIME TO IGN,321
END OF TEST SCAN,2867
END OF TEST TIME,716.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.64 x 101.59 x 3.05 mm; 60 mm spacing
POST TEST CMT,"Sample self extinguished at approximately 6:20 with unburned material remaining. Spark ignitor was reinserted, but sample did not reignite after another 6 minutes."
