LABORATORY,FSRI 
TEST IDENT,PVC_HF50_1
OPERATOR,Dow
MATERIAL,PVC
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.038569219410419464
SPEC HOLDER DIFF,305.54998779296875
SPECIMEN MASS,45.5
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2592
TIME TO IGN,42
END OF TEST SCAN,2112
END OF TEST TIME,528
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.46 x 100.28 x 3.10 mm; 60 mm spacing
POST TEST CMT,"Sample shriveled prior to ignition, reducing exposed surface area. Sample expanded in height throughout test, reaching several centemeters above calibrated surface height, thereby increasing incident heat flux."
