##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.)/(mW/mg),Sensit./(uV/mW)
50.313,10.01667,-0.01448,0.009662831,1.05674
50.413,10.51373,-0.01582578,0.009509077,1.05673
50.513,10.69512,-0.01682893,0.0161464,1.05671
50.613,10.82123,-0.01637272,0.02362381,1.0567
50.713,10.920069999999999,-0.01470231,0.02745365,1.05669
50.813,11.005189999999999,-0.01465148,0.02940477,1.0566799999999998
50.913,11.0816,-0.01451591,0.03165512,1.05667
51.013,11.15082,-0.01710151,0.03466211,1.05666
51.113,11.21555,-0.0157376,0.036408,1.05665
51.213,11.2766,-0.01582941,0.03838194,1.05664
51.313,11.33405,-0.01582074,0.04110234,1.05663
51.413,11.38935,-0.01579914,0.04033979,1.05661
51.513,11.44213,-0.0148066,0.04418715,1.0566
51.613,11.4932,-0.01585097,0.04653474,1.05659
51.713,11.54298,-0.01571074,0.0465465,1.0565799999999999
51.813,11.59173,-0.01580142,0.04992261,1.05657
51.913,11.63915,-0.01580262,0.05034752,1.05656
52.013,11.68564,-0.01582144,0.05169602,1.05655
52.113,11.73132,-0.01576653,0.05284657,1.05654
52.213,11.776019999999999,-0.01652572,0.05301636,1.0565200000000001
52.313,11.82013,-0.01570624,0.05253956,1.05651
52.413,11.8638,-0.01693124,0.05455852,1.0565
52.513,11.9058,-0.01716218,0.05557108,1.05649
52.613,11.94811,-0.01708437,0.05592638,1.0564799999999999
52.713,11.99014,-0.01713465,0.05729658,1.05647
52.813,12.03223,-0.0177257,0.05883893,1.05646
52.913,12.073260000000001,-0.01823852,0.05798205,1.05644
53.013,12.11398,-0.01714012,0.05847282,1.05643
53.113,12.154539999999999,-0.01854845,0.0588322,1.0564200000000001
53.213,12.19482,-0.01701307,0.0595966,1.05641
53.313,12.23524,-0.01849894,0.05892305,1.0564
53.413,12.2753,-0.01699212,0.06115078,1.05639
53.513,12.31477,-0.01711784,0.06034103,1.0563799999999999
53.613,12.35399,-0.0171216,0.06234529,1.05636
53.713,12.39328,-0.01716165,0.06002065,1.05635
53.813,12.432,-0.01577841,0.06171337,1.05634
53.913,12.47073,-0.01709102,0.06280223,1.05633
54.013,12.50939,-0.01709197,0.06220379,1.0563200000000001
54.113,12.54786,-0.01617002,0.06251959,1.05631
54.213,12.58714,-0.01709851,0.06211084,1.0563
54.313,12.6258,-0.01712726,0.06349685,1.0562799999999999
54.413,12.664060000000001,-0.01712559,0.06581561,1.05627
54.513,12.701839999999999,-0.0171983,0.06358781,1.05626
54.613,12.73976,-0.01702967,0.06589727,1.05625
54.713,12.77764,-0.01711551,0.06497782,1.05624
54.813,12.8154,-0.01711994,0.06438903,1.05623
54.913,12.85329,-0.01712001,0.06476053,1.05621
55.013,12.89072,-0.01712,0.06581671,1.0562
55.113,12.928,-0.01712,0.06723341,1.05619
55.213,12.96538,-0.01711998,0.06674911,1.05618
