##Temp./°C,Time/min,DSC/(mW/mg),Mass/%,Gas Flow(purge1)/(ml/min),Gas Flow(protective)/(ml/min),Sensit./(uV/mW)
47.544,10.01,0.01426355,98.98,50.0,20.0,1.08959
47.563,10.11,0.01452298,98.93148000000001,50.0,20.0,1.08958
47.565,10.21,0.01400431,98.80963,50.0,20.0,1.08958
47.575,10.31,0.01633842,98.80963,50.0,20.0,1.08958
47.584,10.41,0.01711649,98.82185,50.0,20.0,1.0895700000000001
47.594,10.51,0.01530115,98.89480999999999,50.0,20.0,1.0895700000000001
47.641,10.61,0.01711681,98.80963,50.0,20.0,1.08955
47.654,10.71,0.02100708,98.72444,50.0,20.0,1.08955
47.693,10.81,0.02204476,98.71185,50.0,20.0,1.0895299999999999
47.759,10.91,0.0223046,98.67556,50.0,20.0,1.08951
47.811,11.01,0.02437986,98.73666999999999,50.0,20.0,1.08949
47.905,11.11,0.02775242,98.76111,50.0,20.0,1.08946
48.014,11.21,0.0293097,98.80963,50.0,20.0,1.08942
48.133,11.31,0.03034842,98.76889,50.0,20.0,1.0893700000000002
48.265,11.41,0.03424074,98.64296,50.0,20.0,1.08932
48.448,11.51,0.03787465,98.59852,50.0,20.0,1.0892600000000001
48.621,11.61,0.03787684,98.52111,50.0,20.0,1.0892
48.849,11.71,0.04332818,98.56593000000001,50.0,20.0,1.08911
49.109,11.81,0.04462931,98.66333,50.0,20.0,1.08902
49.374,11.91,0.04722823,98.65519,50.0,20.0,1.08892
49.662,12.01,0.05034704,98.5863,50.0,20.0,1.0888200000000001
49.977,12.11,0.05242875,98.58593,50.0,20.0,1.0887
50.328,12.21,0.05191578,98.63926,50.0,20.0,1.08857
50.697,12.31,0.05529718,98.63110999999999,50.0,20.0,1.08844
51.079,12.41,0.05738145,98.54963000000001,50.0,20.0,1.0883
51.49,12.51,0.05816846,98.5537,50.0,20.0,1.08815
51.913,12.61,0.05687819,98.45222,50.0,20.0,1.08799
52.371,12.71,0.05740654,98.44815,50.0,20.0,1.08782
52.844,12.81,0.05767555,98.46,50.0,20.0,1.08765
53.328,12.91,0.05924411,98.44815,50.0,20.0,1.0874700000000002
53.835,13.01,0.05925434,98.50074000000001,50.0,20.0,1.08728
54.363,13.11,0.05874515,98.59815,50.0,20.0,1.0870799999999998
54.903,13.21,0.05927595,98.52519000000001,50.0,20.0,1.0868799999999998
55.443,13.31,0.05668662,98.49667,50.0,20.0,1.0866799999999999
56.014,13.41,0.05591749,98.45222,50.0,20.0,1.08647
56.602,13.51,0.05566868,98.44,50.0,20.0,1.08625
57.194,13.61,0.05359855,98.39926,50.0,20.0,1.0860299999999998
57.807,13.71,0.05621233,98.39926,50.0,20.0,1.0858
58.421,13.81,0.0551831,98.44815,50.0,20.0,1.0855700000000001
59.066,13.91,0.05467475,98.38741,50.0,20.0,1.08532
59.705,14.01,0.05338484,98.38296,50.0,20.0,1.0850799999999998
60.332,14.11,0.05209417,98.48037,50.0,20.0,1.08484
60.995,14.21,0.05106412,98.44,50.0,20.0,1.08459
61.677,14.31,0.05081574,98.37889,50.0,20.0,1.08433
62.37,14.41,0.04874287,98.27333,50.0,20.0,1.08407
63.064,14.51,0.0477119,98.27333,50.0,20.0,1.0838
63.76,14.61,0.04589814,98.27333,50.0,20.0,1.08354
64.483,14.71,0.04564905,98.31,50.0,20.0,1.0832600000000001
65.205,14.81,0.04331248,98.34666999999999,50.0,20.0,1.0829799999999998
65.934,14.91,0.04123584,98.35444,50.0,20.0,1.0827
66.672,15.01,0.04202987,98.30593,50.0,20.0,1.0824200000000002
67.444,15.11,0.03943021,98.33,50.0,20.0,1.08212
68.2,15.21,0.03735132,98.30593,50.0,20.0,1.08182
68.978,15.31,0.03657796,98.30593,50.0,20.0,1.08152
69.751,15.41,0.03763354,98.30593,50.0,20.0,1.08122
70.548,15.51,0.03555304,98.30593,50.0,20.0,1.08091
71.335,15.61,0.03660917,98.24481,50.0,20.0,1.0806
72.134,15.71,0.03478883,98.24481,50.0,20.0,1.08028
72.972,15.81,0.03296792,98.2937,50.0,20.0,1.07995
73.782,15.91,0.03219251,98.26111,50.0,20.0,1.0796299999999999
74.607,16.01,0.03141684,98.28556,50.0,20.0,1.07931
75.446,16.11,0.02906955,98.23259,50.0,20.0,1.07897
76.286,16.21,0.02986447,98.12704000000001,50.0,20.0,1.07864
77.141,16.31,0.02882572,98.05815,50.0,20.0,1.0783
78.004,16.41,0.03066991,98.12741,50.0,20.0,1.07795
78.869,16.51,0.03199089,98.17593000000001,50.0,20.0,1.07761
79.742,16.61,0.02806673,98.07444,50.0,20.0,1.07725
80.614,16.71,0.02781351,98.01741,50.0,20.0,1.0769
81.501,16.81,0.02861022,98.62666999999999,50.0,20.0,1.07654
82.407,16.91,0.02835742,98.01333000000001,50.0,20.0,1.07618
83.303,17.01,0.02784171,98.07444,50.0,20.0,1.07581
84.217,17.11,0.02417288,98.12295999999999,50.0,20.0,1.07544
85.113,17.21,0.02654667,98.17148,50.0,20.0,1.07507
86.032,17.31,0.02445253,98.22036999999999,50.0,20.0,1.0747
86.974,17.41,0.02525041,98.17185,50.0,20.0,1.07431
