##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Integral(DSC (subtr.2), 2, 175.8..427.3°C)/%,DTG(subtr.2)/(mg/min),Sensit./(uV/mW)
48.795,10.00917,-0.08019,0.009836840999999999,            ,-0.03073776,1.08889,,
48.895,10.3215,-0.0826533,0.01263738,            ,-0.03308852,1.08881,,
48.995,10.38279,-0.08443062,0.01702951,            ,-0.005761393,1.0887200000000001,,
49.095,10.43075,-0.08381263,0.02105039,            ,0.02079436,1.08864,,
49.195,10.47148,-0.08324399,0.02657416,            ,-0.0024748170000000002,1.08855,,
49.295,10.50115,-0.08347376,0.03225331,            ,-0.01095478,1.08847,,
49.395,10.52693,-0.08328058,0.03913344,            ,-0.01968081,1.08839,,
49.495,10.55022,-0.08430465,0.04272636,            ,-0.01571421,1.0883,,
49.595,10.57211,-0.08484549,0.04723529,            ,0.00192623,1.08822,,
49.695,10.59251,-0.08476127,0.05149381,            ,0.01421037,1.0881299999999998,,
49.795,10.61107,-0.08429366,0.05640551,            ,0.01426272,1.08805,,
49.895,10.62853,-0.08335885,0.06009565,            ,0.007516163,1.08796,,
49.995,10.64523,-0.08377701,0.06427715,            ,0.002089768,1.08788,,
50.095,10.66066,-0.08406361,0.06824969,            ,-0.001600627,1.0878,,
50.195,10.67562,-0.08332334,0.07345585,            ,-0.0086738,1.08771,,
50.295,10.68989,-0.08403443,0.07677191,            ,-0.01613125,1.0876299999999999,,
50.395,10.70365,-0.08445183,0.08076637,            ,-0.01650523,1.08754,,
50.495,10.71679,-0.08468379,0.08388054,            ,-0.009295155,1.08746,,
50.595,10.7295,-0.08448252,0.08892478,            ,-0.001138584,1.0873700000000002,,
50.695,10.741769999999999,-0.08465659,0.09148608,            ,0.003680932,1.0872899999999999,,
50.795,10.753639999999999,-0.08427384,0.09560632,            ,0.004532254,1.08721,,
50.895,10.76506,-0.08459592,0.10029,            ,0.0023154,1.08712,,
50.995,10.77616,-0.08388213,0.10482999999999999,            ,-0.002394325,1.08704,,
51.095,10.78694,-0.08465295,0.10882,            ,-0.007836574,1.08695,,
51.195,10.79747,-0.08404105,0.11074,            ,-0.01261511,1.08687,,
51.295,10.8078,-0.08510863,0.11475,            ,-0.01588946,1.08679,,
51.395,10.81778,-0.0847942,0.12,            ,-0.01766941,1.0867,,
51.495,10.82766,-0.08466837,0.12068,            ,-0.01848828,1.0866200000000001,,
51.595,10.83738,-0.08562738,0.12643,            ,-0.01763035,1.08653,,
51.695,10.84695,-0.08513928,0.13027,            ,-0.0153491,1.08645,,
51.795,10.85631,-0.086,0.13069,            ,-0.01177279,1.08637,,
51.895,10.86547,-0.08562238,0.13631,            ,-0.007397567,1.08628,,
51.995,10.87453,-0.08542852,0.14044,            ,-0.0030925609999999997,1.0862,,
52.095,10.88342,-0.08608203,0.14282,            ,0.001229099,1.0861100000000001,,
52.195,10.89213,-0.08563551,0.14648,            ,0.0054044259999999995,1.0860299999999998,,
52.295,10.900730000000001,-0.08546016,0.14912,            ,0.008393374,1.08595,,
52.395,10.90917,-0.08622001,0.15333,            ,0.009393806,1.08586,,
52.495,10.91742,-0.08490394,0.15625999999999998,            ,0.007707655,1.08578,,
52.595,10.92549,-0.08485524,0.16030999999999998,            ,0.003554349,1.08569,,
52.695,10.93346,-0.08545401,0.16315,            ,-0.001577659,1.08561,,
52.795,10.94132,-0.08518063,0.16560999999999998,            ,-0.006178469,1.0855299999999999,,
52.895,10.949060000000001,-0.08500106,0.16962,            ,-0.009118994,1.08544,,
52.995,10.95678,-0.08616992,0.17096,            ,-0.009427691,1.08536,,
53.095,10.96441,-0.08573636,0.17335,            ,-0.007181903000000001,1.08528,,
53.195,10.97194,-0.08518302,0.17593,            ,-0.0030424059999999997,1.0851899999999999,,
53.295,10.97938,-0.08612107,0.17812999999999998,            ,0.002095339,1.08511,,
53.395,10.98668,-0.08619553,0.18319000000000002,            ,0.007124491,1.08502,,
53.495,10.99388,-0.08550849,0.18594000000000002,            ,0.0104416,1.08494,,
53.595,11.00106,-0.08528618,0.18821,            ,0.01090067,1.08486,,
53.695,11.00825,-0.08569209,0.19287,            ,0.007909583000000001,1.08477,,
53.795,11.01533,-0.08490793,0.19488,            ,0.001376539,1.08469,,
53.895,11.022269999999999,-0.08445542,0.1972,            ,-0.007700685,1.08461,,
53.995,11.02915,-0.08511841,0.20168,            ,-0.01776455,1.0845200000000002,,
54.095,11.0361,-0.08555986,0.20551,            ,-0.02711638,1.08444,,
54.195,11.04293,-0.08541834,0.20726,            ,-0.03432943,1.08436,,
54.295,11.04959,-0.08560627,0.20884,            ,-0.03879351,1.08427,,
54.395,11.056189999999999,-0.08693444,0.21295999999999998,            ,-0.04073369,1.08419,,
54.495,11.06281,-0.08718989,0.21683000000000002,            ,-0.04098995,1.0841,,
54.595,11.06939,-0.08654316,0.21918,            ,-0.04043332,1.08402,,
54.695,11.07584,-0.08697112,0.22123,            ,-0.03972596,1.08394,,
54.795,11.08225,-0.0874608,0.22471999999999998,            ,-0.0390622,1.08385,,
54.895,11.08863,-0.0875202,0.2288,            ,-0.03845088,1.0837700000000001,,
54.995,11.09491,-0.08779422,0.23078,            ,-0.03777391,1.08369,,
55.095,11.10117,-0.08820828,0.2333,            ,-0.03669874,1.0836,,
55.195,11.10745,-0.08855192,0.23751999999999998,            ,-0.03504901,1.08352,,
55.295,11.11368,-0.0887931,0.23995999999999998,            ,-0.03302252,1.08344,,
55.395,11.119810000000001,-0.0888424,0.2415,            ,-0.03096063,1.08335,,
55.495,11.12583,-0.08875141,0.24441999999999997,            ,-0.02913924,1.0832700000000002,,
55.595,11.1318,-0.08907535,0.24734,            ,-0.02746622,1.0831899999999999,,
55.695,11.13776,-0.08959868,0.24974000000000002,            ,-0.02581311,1.0831,,
55.795,11.14374,-0.08932348,0.25266,            ,-0.02408904,1.08302,,
55.895,11.14968,-0.08909702,0.25545,            ,-0.02221774,1.08294,,
55.995,11.1555,-0.08992599,0.25721,            ,-0.02014616,1.08285,,
56.095,11.16127,-0.09043237,0.25895999999999997,            ,-0.01787597,1.08277,,
56.195,11.167060000000001,-0.09000291,0.26158000000000003,            ,-0.01551886,1.08269,,
56.295,11.17282,-0.08971377,0.26511999999999997,            ,-0.01330936,1.0826,,
56.395,11.17857,-0.08991158,0.26846,            ,-0.01123486,1.0825200000000001,,
56.495,11.184280000000001,-0.0902981,0.27019,            ,-0.009118105,1.08244,,
56.595,11.18994,-0.09035781,0.27162,            ,-0.0068698119999999994,1.08236,,
56.695,11.19553,-0.08992758,0.27410999999999996,            ,-0.0044115840000000005,1.08227,,
56.795,11.20107,-0.08995209,0.27678,            ,-0.00161334,1.08219,,
56.895,11.206610000000001,-0.09062684,0.279,            ,0.00151942,1.0821100000000001,,
56.995,11.21213,-0.09079821,0.28105,            ,0.004755942,1.08202,,
57.095,11.21763,-0.09030444,0.28348,            ,0.007696165,1.08194,,
57.195,11.22308,-0.08993081,0.28686999999999996,            ,0.009833264,1.08186,,
57.295,11.2285,-0.08991995,0.29041999999999996,            ,0.01095306,1.0817700000000001,,
57.395,11.23387,-0.09012894,0.29285,            ,0.01102498,1.08169,,
57.495,11.23921,-0.09005629,0.29468,            ,0.01011793,1.08161,,
57.595,11.244539999999999,-0.0893936,0.29677,            ,0.008397162,1.08152,,
57.695,11.249880000000001,-0.08908292,0.29898,            ,0.0062656840000000005,1.08144,,
57.795,11.255239999999999,-0.08972768,0.30113,            ,0.004114022,1.08136,,
57.895,11.26055,-0.09020341,0.30362,            ,0.002141991,1.08128,,
57.995,11.26578,-0.08987745,0.3064,            ,0.0004227858,1.0811899999999999,,
58.095,11.27095,-0.08957449,0.30832,            ,-0.001148708,1.08111,,
58.195,11.2761,-0.08971256,0.30942,            ,-0.002697159,1.08103,,
58.295,11.28125,-0.08986389,0.3116,            ,-0.0043472170000000004,1.08094,,
58.395,11.2864,-0.08980505,0.31516,            ,-0.006229381,1.08086,,
58.495,11.29152,-0.08966486,0.31816,            ,-0.008473791,1.0807799999999999,,
58.595,11.29659,-0.08958913,0.32014000000000004,            ,-0.01099183,1.0807,,
58.695,11.30165,-0.08970875,0.32237,            ,-0.01345565,1.08061,,
58.795,11.30671,-0.08995947,0.32506999999999997,            ,-0.01560803,1.08053,,
58.895,11.3118,-0.09009063,0.32734,            ,-0.01727914,1.08045,,
58.995,11.316889999999999,-0.0901177,0.32905,            ,-0.01835096,1.08036,,
59.095,11.3219,-0.09030299,0.33078,            ,-0.01875325,1.08028,,
59.195,11.32685,-0.09061042,0.33281,            ,-0.01845303,1.0802,,
59.295,11.33178,-0.09074415,0.33505999999999997,            ,-0.01745295,1.08012,,
59.395,11.3367,-0.0906612,0.33742,            ,-0.01584566,1.0800299999999998,,
59.495,11.34158,-0.09055968,0.33974,            ,-0.01380298,1.07995,,
59.595,11.34641,-0.0905962,0.34202,            ,-0.01142154,1.07987,,
59.695,11.351239999999999,-0.09086843,0.34436,            ,-0.008719737,1.07979,,
59.795,11.35608,-0.09121514,0.34665,            ,-0.005744708,1.0797,,
59.895,11.36092,-0.09117508,0.34856,            ,-0.002582426,1.07962,,
59.995,11.365730000000001,-0.09075234,0.35025,            ,0.0006831261,1.07954,,
60.095,11.370519999999999,-0.0906395,0.3526,            ,0.003973669,1.07946,,
60.195,11.3753,-0.09104811,0.35574,            ,0.0071680830000000004,1.0793700000000002,,
60.295,11.38009,-0.09124333,0.35836999999999997,            ,0.01006856,1.0792899999999999,,
60.395,11.38487,-0.09084091,0.35975,            ,0.01250035,1.07921,,
60.495,11.38963,-0.09047782,0.36075,            ,0.0143593,1.07913,,
60.595,11.39434,-0.0906082,0.36218,            ,0.01559426,1.07904,,
60.695,11.399,-0.0907155,0.3641,            ,0.01628336,1.0789600000000001,,
60.795,11.40362,-0.0903149,0.36635999999999996,            ,0.01653042,1.0788799999999998,,
60.895,11.40825,-0.08987003,0.36855,            ,0.01644663,1.0788,,
60.995,11.41291,-0.08998405,0.37032,            ,0.01615063,1.07871,,
61.095,11.4176,-0.09034166,0.372,            ,0.01580068,1.07863,,
61.195,11.422239999999999,-0.09028436,0.3742,            ,0.01556345,1.07855,,
61.295,11.426860000000001,-0.08992745,0.37682,            ,0.01549698,1.07847,,
61.395,11.43148,-0.08986535,0.37933,            ,0.01558586,1.07838,,
61.495,11.436110000000001,-0.0901099,0.38153000000000004,            ,0.01575084,1.0783,,
61.595,11.440710000000001,-0.09009127,0.38356999999999997,            ,0.01585002,1.0782200000000002,,
61.695,11.445269999999999,-0.08966752,0.38534,            ,0.0157289,1.0781399999999999,,
61.795,11.449810000000001,-0.08939273,0.38635,            ,0.01521774,1.07806,,
61.895,11.454360000000001,-0.0895758,0.38661,            ,0.01417173,1.07797,,
61.995,11.4589,-0.08972541,0.38761,            ,0.01251508,1.07789,,
62.095,11.46342,-0.08939807,0.39054,            ,0.01019531,1.07781,,
62.195,11.46792,-0.08899653,0.39421999999999996,            ,0.007217898,1.0777299999999999,,
62.295,11.47241,-0.08909056,0.39691,            ,0.003610253,1.07764,,
62.395,11.47689,-0.08944624,0.39853,            ,-0.0005549473000000001,1.07756,,
62.495,11.48138,-0.08941237,0.39986,            ,-0.0051769,1.07748,,
