Time after Ignition,Polyisocyanurate_Foam_Board_R1,Polyisocyanurate_Foam_Board_R2,Polyisocyanurate_Foam_Board_R3,Polyisocyanurate_Foam_Board_R4,Mean,Std. Dev.
0.0,9.6,21.0,11.6,15.8,14.5,5.0
0.25,12.1,27.0,11.3,19.4,17.5,7.3
0.5,14.4,32.1,15.3,22.2,21.0,8.2
0.75,16.6,37.2,19.4,31.8,26.2,9.9
1.0,18.5,47.6,22.6,40.5,32.3,13.9
1.25,22.1,55.1,26.4,47.2,37.7,16.0
1.5,25.9,64.2,35.2,54.8,45.0,17.6
1.75,28.9,71.8,44.6,62.1,51.9,19.0
2.0,31.3,78.1,51.0,65.7,56.5,20.1
2.25,34.0,83.7,58.2,76.8,63.2,22.2
2.5,37.5,94.0,71.6,85.5,72.1,24.9
2.75,41.2,100.6,82.4,95.3,79.9,26.9
3.0,45.1,107.8,90.1,102.2,86.3,28.5
3.25,47.4,116.5,102.2,107.2,93.3,31.2
3.5,50.3,121.8,110.5,117.0,99.9,33.4
3.75,53.0,126.8,118.5,128.3,106.6,36.0
4.0,57.2,136.3,129.1,135.5,114.5,38.4
4.25,61.3,145.6,139.2,145.1,122.8,41.1
4.5,64.3,149.1,147.6,151.8,128.2,42.6
4.75,68.1,157.4,154.4,160.8,135.2,44.8
5.0,72.6,163.9,165.6,168.0,142.5,46.7
5.25,75.5,170.3,171.4,177.7,148.7,48.9
5.5,79.1,179.3,175.6,187.8,155.5,51.1
5.75,83.9,188.7,186.3,195.1,163.5,53.2
6.0,88.0,194.4,191.5,204.8,169.6,54.7
6.25,91.9,202.4,197.7,210.4,175.6,56.1
6.5,94.8,209.5,199.6,217.3,180.3,57.5
6.75,98.9,215.6,205.7,226.5,186.7,59.1
7.0,102.0,215.0,216.9,227.1,190.2,59.1
7.25,106.6,225.2,217.4,238.3,196.9,60.8
7.5,108.4,226.2,224.7,242.9,200.5,62.0
7.75,112.3,231.5,227.9,249.1,205.2,62.6
8.0,116.3,234.5,233.3,247.6,207.9,61.4
8.25,119.9,239.1,237.1,252.2,212.1,61.8
8.5,124.1,241.9,232.9,259.3,214.6,61.3
8.75,125.9,244.4,242.3,259.7,218.1,61.9
