Names,Polyisocyanurate_Foam_Board_R1,Polyisocyanurate_Foam_Board_R2,Polyisocyanurate_Foam_Board_R3,Polyisocyanurate_Foam_Board_R4,Mean,Std. Dev.
148,208.4,147.7,154.4,134.3,161.2,32.5
149,205.6,146.9,154.1,134.7,160.3,31.2
150,204.2,147.9,153.4,135.1,160.2,30.3
151,202.7,147.7,153.8,133.4,159.4,30.1
152,203.5,149.6,152.7,133.3,159.8,30.4
153,200.6,147.2,153.3,134.2,158.8,29.0
154,194.5,150.0,154.0,133.5,158.0,25.9
155,194.5,151.6,154.5,132.1,158.2,26.2
156,191.3,147.9,154.3,134.3,157.0,24.3
157,189.2,149.7,152.5,134.2,156.4,23.3
158,190.3,148.6,152.5,132.4,155.9,24.5
159,185.0,148.0,152.9,132.3,154.6,22.1
160,183.8,146.9,152.7,133.4,154.2,21.3
161,182.4,149.4,153.6,134.4,155.0,20.1
162,183.1,149.3,153.6,134.1,155.0,20.5
163,181.3,148.6,154.8,134.6,154.8,19.6
164,179.5,149.1,151.3,133.7,153.4,19.1
165,175.1,148.4,151.1,134.6,152.3,16.8
166,176.5,150.7,152.3,132.9,153.1,17.9
167,170.9,148.6,150.7,134.7,151.2,14.9
168,169.4,146.9,153.2,132.8,150.6,15.2
169,168.8,149.1,152.1,134.7,151.2,14.0
170,167.8,149.0,152.5,133.1,150.6,14.2
171,166.7,148.6,151.9,135.6,150.7,12.8
172,167.1,148.1,153.6,131.9,150.2,14.5
173,164.1,147.1,151.9,133.8,149.2,12.5
174,161.8,148.5,152.1,132.3,148.7,12.3
175,161.7,149.3,149.5,132.5,148.3,12.0
176,159.2,147.1,150.3,129.5,146.5,12.5
177,158.7,147.8,150.7,131.5,147.2,11.4
178,156.0,147.2,150.0,132.2,146.3,10.1
179,155.5,148.6,152.1,132.7,147.2,10.1
180,154.8,148.2,148.7,131.8,145.9,9.9
181,153.2,147.7,152.1,132.3,146.3,9.6
182,153.6,147.5,153.1,131.9,146.5,10.2
183,152.7,149.1,151.2,131.3,146.1,10.0
184,151.6,147.8,151.8,132.4,145.9,9.2
185,150.3,147.4,150.3,133.0,145.2,8.3
186,149.8,146.8,151.8,130.1,144.6,9.9
187,149.9,149.1,150.5,132.9,145.6,8.5
188,147.7,148.0,153.9,131.7,145.4,9.5
189,148.5,150.8,149.5,134.8,145.9,7.5
190,146.8,151.8,149.7,132.7,145.2,8.6
191,144.0,149.1,150.4,135.1,144.7,7.0
192,144.0,148.3,149.7,136.7,144.7,5.8
193,144.0,150.2,151.4,139.3,146.2,5.6
194,142.6,148.5,149.5,136.9,144.4,5.8
195,139.5,151.9,149.6,138.5,144.9,6.9
196,142.5,150.9,149.7,138.4,145.4,6.0
197,139.8,153.0,147.3,140.2,145.0,6.3
198,137.9,155.1,145.9,141.1,145.0,7.5
199,140.0,151.2,148.7,141.4,145.3,5.5
200,137.0,151.4,146.5,139.8,143.7,6.5
201,138.9,157.6,144.4,139.9,145.2,8.6
202,137.1,150.8,146.4,141.9,144.0,5.9
203,134.1,153.5,145.7,141.3,143.6,8.1
204,134.2,154.5,145.3,141.7,143.9,8.4
205,135.0,153.9,145.2,142.0,144.0,7.8
206,133.0,156.2,143.6,141.2,143.5,9.6
207,131.8,151.5,144.6,142.7,142.6,8.2
208,132.2,153.1,144.7,143.3,143.3,8.6
209,129.7,151.3,144.9,144.2,142.5,9.1
210,130.4,152.8,140.7,142.0,141.5,9.2
211,130.4,149.1,143.0,142.4,141.2,7.8
212,130.3,149.4,142.9,141.6,141.1,7.9
213,129.2,147.8,142.0,141.4,140.1,7.8
214,129.5,149.7,143.3,136.5,139.7,8.7
215,129.1,147.4,140.6,136.6,138.4,7.7
216,128.0,147.0,140.9,136.9,138.2,8.0
217,127.4,146.0,143.2,133.0,137.4,8.7
218,126.9,142.7,140.3,131.9,135.4,7.4
219,125.6,141.3,140.0,132.0,134.7,7.3
220,128.0,142.1,136.8,131.4,134.6,6.2
221,126.3,140.8,137.6,130.2,133.7,6.6
222,125.6,137.1,136.3,128.9,132.0,5.6
223,124.6,138.3,136.5,127.0,131.6,6.8
224,125.6,136.2,134.9,125.1,130.4,5.9
225,125.1,133.7,132.1,125.7,129.2,4.4
226,127.8,131.9,132.8,124.7,129.3,3.8
227,126.0,130.9,131.3,120.7,127.2,5.0
228,122.1,129.2,130.0,122.0,125.8,4.4
229,124.7,128.3,126.6,119.9,124.9,3.6
230,122.4,125.7,127.6,119.6,123.8,3.5
231,126.0,123.7,123.8,117.2,122.7,3.8
232,125.1,123.0,124.5,116.0,122.2,4.2
233,123.9,122.3,123.6,115.1,121.2,4.1
234,122.3,119.3,121.1,112.9,118.9,4.2
235,122.6,119.0,120.2,111.1,118.2,5.0
236,122.8,116.5,120.4,111.6,117.8,4.9
237,123.0,114.4,121.0,110.1,117.1,6.0
238,124.8,112.9,117.7,109.4,116.2,6.6
239,123.4,113.0,115.8,108.8,115.3,6.2
240,124.5,110.0,114.2,107.1,113.9,7.6
241,124.9,108.4,114.1,107.2,113.6,8.1
242,123.8,106.8,112.3,102.2,111.3,9.3
243,123.6,105.6,110.1,103.1,110.6,9.2
244,123.8,104.5,107.9,102.3,109.6,9.7
245,124.6,103.3,108.3,100.9,109.3,10.7
246,125.0,101.4,104.7,101.5,108.1,11.3
247,124.8,101.6,104.3,97.8,107.2,12.1
248,124.3,99.9,103.2,98.6,106.5,12.0
249,122.4,98.1,102.5,97.0,105.0,11.9
250,123.9,99.1,99.9,95.3,104.5,13.0
251,123.9,97.4,99.1,95.2,103.9,13.4
252,126.2,96.0,98.1,95.3,103.9,14.9
253,124.3,94.6,97.3,92.8,102.3,14.8
254,125.5,94.4,95.3,93.0,102.0,15.6
255,124.7,94.6,94.4,93.0,101.7,15.4
256,126.0,93.4,91.3,92.6,100.8,16.8
257,125.3,90.7,92.5,90.9,99.8,17.0
258,127.1,90.6,90.3,91.1,99.8,18.2
259,125.7,89.1,90.2,89.6,98.7,18.0
260,126.5,87.3,89.5,91.0,98.6,18.7
261,126.7,86.1,87.7,89.4,97.4,19.5
262,127.9,88.4,87.6,88.3,98.1,19.9
263,127.6,85.6,86.3,87.7,96.8,20.6
264,128.9,85.3,85.6,87.0,96.7,21.5
265,127.1,83.7,86.3,86.8,96.0,20.8
266,127.3,81.7,84.6,87.6,95.3,21.4
267,127.7,80.9,84.4,85.1,94.5,22.2
268,130.7,80.2,84.6,83.3,94.7,24.1
269,130.4,78.4,82.6,83.9,93.8,24.5
270,127.9,77.9,82.4,81.3,92.4,23.8
271,129.6,77.0,80.7,82.1,92.3,24.9
272,128.2,75.9,80.8,80.3,91.3,24.7
273,129.5,75.8,79.8,80.4,91.4,25.5
274,129.6,75.0,78.3,78.5,90.3,26.2
275,129.7,74.6,78.2,77.6,90.0,26.5
276,131.0,73.6,76.1,77.0,89.4,27.7
277,127.8,74.0,77.0,75.7,88.7,26.2
278,130.1,70.5,76.9,74.8,88.1,28.2
279,129.1,71.5,74.4,73.7,87.2,28.0
280,127.4,69.7,74.3,72.8,86.1,27.6
281,128.2,69.4,74.2,71.7,85.9,28.3
282,129.3,67.6,71.8,70.9,84.9,29.6
283,126.2,68.6,70.9,70.1,84.0,28.2
284,125.8,66.6,70.8,69.5,83.2,28.5
285,125.2,65.9,70.7,68.9,82.7,28.4
286,124.6,66.7,69.1,67.3,81.9,28.5
287,125.2,65.1,68.6,67.6,81.6,29.1
288,122.0,63.7,67.5,65.9,79.8,28.2
289,122.2,64.0,67.5,66.5,80.0,28.2
290,120.8,63.1,66.4,65.2,78.9,28.0
291,121.3,63.3,65.2,65.0,78.7,28.4
292,120.2,63.0,65.0,64.2,78.1,28.0
293,118.4,61.9,65.0,63.3,77.2,27.5
294,117.6,60.0,64.7,63.3,76.4,27.5
295,114.0,60.7,64.1,62.4,75.3,25.8
296,115.1,59.4,61.6,60.7,74.2,27.3
297,113.0,58.7,62.6,61.4,73.9,26.1
298,111.7,58.5,62.1,60.5,73.2,25.7
299,112.0,57.4,61.9,58.8,72.5,26.4
300,111.0,57.2,61.6,58.2,72.0,26.1
301,111.9,56.4,59.8,58.0,71.5,27.0
302,109.3,55.6,59.0,57.3,70.3,26.0
303,109.1,54.6,58.5,56.4,69.6,26.3
304,107.2,54.6,58.3,56.1,69.1,25.5
305,106.5,54.7,57.2,55.0,68.3,25.5
