Time after Ignition,Cotton_Sheet_R1,Cotton_Sheet_R2,Cotton_Sheet_R3,Mean,Std. Dev.
0.0,67.6,57.6,62.4,62.5,5.0
0.25,77.5,67.8,70.9,72.1,4.9
0.5,91.2,75.1,80.5,82.3,8.2
0.75,101.1,87.0,87.5,91.9,8.0
1.0,117.0,98.9,103.0,106.3,9.5
1.25,122.9,111.0,116.5,116.8,6.0
1.5,130.2,118.3,128.7,125.7,6.4
1.75,140.2,127.9,131.4,133.2,6.4
2.0,144.6,134.8,139.7,139.7,4.9
2.25,152.8,143.0,153.6,149.8,5.9
2.5,156.1,148.7,161.4,155.4,6.4
2.75,167.0,155.0,168.1,163.4,7.3
3.0,173.7,166.2,176.2,172.0,5.2
3.25,178.3,174.3,185.8,179.4,5.8
3.5,185.5,178.2,193.4,185.7,7.6
3.75,190.8,188.3,199.4,192.8,5.9
4.0,190.6,184.8,208.0,194.5,12.1
4.25,187.6,188.6,211.4,195.9,13.5
4.5,187.6,184.4,207.4,193.1,12.5
4.75,187.2,180.6,203.4,190.4,11.7
5.0,187.1,183.0,195.7,188.6,6.5
5.25,181.6,178.4,192.3,184.1,7.3
5.5,170.8,170.0,191.4,177.4,12.1
5.75,166.8,164.4,180.5,170.6,8.7
6.0,163.4,158.1,174.8,165.4,8.5
6.25,160.6,153.9,166.8,160.4,6.4
6.5,151.0,149.7,163.8,154.8,7.8
6.75,143.7,141.9,156.5,147.4,7.9
7.0,139.3,134.9,148.5,140.9,7.0
7.25,134.0,130.2,142.0,135.4,6.0
7.5,130.2,124.1,135.6,130.0,5.7
7.75,123.2,120.4,127.9,123.9,3.8
8.0,114.7,112.7,121.8,116.4,4.8
8.25,111.2,107.7,116.4,111.8,4.4
8.5,105.2,103.6,110.2,106.3,3.5
8.75,100.3,97.4,104.6,100.8,3.7
9.0,95.2,91.0,99.0,95.1,4.0
9.25,91.9,87.2,95.7,91.6,4.2
9.5,86.0,82.7,90.1,86.3,3.7
9.75,82.2,78.2,86.3,82.2,4.1
10.0,79.6,75.0,82.4,79.0,3.7
10.25,74.4,69.2,77.8,73.8,4.3
10.5,70.8,65.4,74.2,70.1,4.4
10.75,67.6,61.1,69.7,66.1,4.5
11.0,64.3,57.6,66.3,62.7,4.5
11.25,61.4,53.9,62.0,59.1,4.5
11.5,57.4,51.6,59.3,56.1,4.0
11.75,54.8,47.6,56.4,52.9,4.7
12.0,51.5,44.3,50.3,48.7,3.8
12.25,49.4,41.5,46.6,45.9,4.0
12.5,46.7,39.5,47.2,44.5,4.3
12.75,44.5,37.2,,40.9,5.2
13.0,41.4,35.1,,38.3,4.4
13.25,39.7,33.4,,36.6,4.5
13.5,34.2,30.9,,32.5,2.3
13.75,34.8,29.1,,31.9,4.1
14.0,32.6,27.7,,30.1,3.4
14.25,30.3,26.5,,28.4,2.7
14.5,28.6,25.3,,26.9,2.3
14.75,27.1,24.0,,25.6,2.2
15.0,25.0,22.8,,23.9,1.5
15.25,23.3,21.4,,22.3,1.3
15.5,22.0,20.5,,21.2,1.0
15.75,20.5,19.6,,20.1,0.6
16.0,18.9,18.9,,18.9,0.0
