LABORATORY,FSRI 
TEST IDENT,Masonite_HF50_2
OPERATOR,Dow
MATERIAL,masonite
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03810223191976547
SPEC HOLDER DIFF,-566
SPECIMEN MASS,33.77000045776367
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1571
TIME TO IGN,39.5
END OF TEST SCAN,1091
END OF TEST TIME,272.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.54 x 101.52 x 3.01 mm; with tie wires
POST TEST CMT,"Sample layers started to delaminate near end of test, but were limited by tie wires. Test pictures available. "
