Names,Masonite_Board_R1,Masonite_Board_R2,Masonite_Board_R3,Masonite_Board_R4,Masonite_Board_R5,Masonite_Board_R6,Mean,Std. Dev.
182,2.3,5.2,6.0,1.6,5.7,,4.2,2.1
183,2.1,5.2,5.9,1.6,5.7,,4.1,2.1
184,1.9,5.3,5.8,1.5,5.8,,4.1,2.2
185,1.8,5.4,5.9,1.5,5.8,-2.0,3.1,3.2
186,1.6,5.4,5.7,1.5,5.7,-1.9,3.0,3.1
187,1.6,5.4,5.7,1.5,5.8,-1.9,3.0,3.1
188,1.5,5.4,5.6,1.7,5.8,-1.8,3.0,3.1
189,1.4,5.5,5.6,1.7,5.7,-1.8,3.0,3.1
190,1.3,5.5,5.6,1.8,5.8,-1.8,3.0,3.1
191,1.2,5.5,5.5,1.9,5.8,-1.7,3.0,3.1
192,1.1,5.6,5.4,1.9,5.8,-1.7,3.0,3.1
193,1.0,5.5,5.4,1.8,5.8,-1.7,3.0,3.1
194,1.0,5.6,5.4,1.8,5.7,-1.7,3.0,3.1
195,0.9,5.6,5.3,1.7,5.8,-1.5,3.0,3.1
196,0.8,5.6,5.3,1.9,5.6,-1.4,3.0,3.0
197,0.7,5.5,5.2,1.9,5.8,-1.3,3.0,3.0
198,0.8,6.1,5.0,2.0,5.7,-1.2,3.1,3.0
199,0.9,6.2,5.0,2.0,5.7,-1.1,3.1,3.0
200,0.9,6.4,4.8,2.1,5.8,-1.1,3.2,3.0
201,0.9,6.7,4.8,2.1,5.7,-1.0,3.2,3.0
202,1.1,7.0,4.7,2.2,5.9,-0.9,3.3,3.0
203,1.2,8.1,4.6,2.2,6.3,-0.9,3.6,3.3
204,1.3,8.9,4.5,2.2,6.8,-0.8,3.8,3.6
205,1.4,9.9,4.5,2.3,7.4,-0.8,4.1,4.0
206,1.8,10.8,4.5,2.3,7.6,-0.7,4.4,4.2
207,2.0,14.3,4.5,2.3,8.0,-0.7,5.1,5.4
208,2.3,17.1,4.5,2.4,8.1,-0.7,5.6,6.3
209,2.5,20.1,4.5,2.3,8.6,-0.6,6.2,7.4
210,2.7,22.3,4.5,2.4,10.0,-0.6,6.9,8.3
211,3.1,26.5,4.4,2.4,11.1,-0.6,7.8,9.9
212,3.5,30.3,5.2,2.4,12.8,-0.5,8.9,11.4
213,3.8,34.0,5.8,2.3,13.5,-0.5,9.8,12.7
214,4.4,36.6,6.2,2.2,16.2,-0.5,10.8,13.9
215,4.7,41.8,6.7,2.1,17.8,-0.6,12.1,15.9
216,5.1,46.1,8.5,2.0,20.0,-0.8,13.5,17.5
217,5.5,50.1,10.4,2.0,23.7,-0.9,15.1,19.2
218,5.9,53.7,11.7,2.1,26.9,-0.9,16.6,20.7
219,6.4,55.7,13.2,2.2,29.8,-1.0,17.7,21.6
220,7.1,58.4,16.6,2.4,33.0,-1.1,19.4,22.7
221,7.8,60.6,20.2,2.5,38.0,-1.2,21.3,23.9
222,8.4,64.2,23.2,3.7,42.5,-1.3,23.4,25.5
223,8.6,67.1,25.7,4.7,45.4,-1.4,25.0,26.7
224,9.2,69.4,30.8,5.6,49.4,-1.4,27.2,27.9
225,11.1,74.0,34.1,6.6,54.6,-1.5,29.8,29.8
226,12.2,77.2,39.0,10.1,59.7,-1.4,32.8,31.1
227,13.9,79.0,42.8,13.1,63.3,-1.4,35.1,31.8
228,14.8,82.2,47.3,15.9,66.2,-1.3,37.5,32.9
229,16.3,85.7,52.6,19.3,70.1,-1.3,40.4,34.2
230,19.6,88.6,56.0,24.2,72.9,-0.4,43.5,34.4
231,23.0,91.4,60.2,28.7,81.3,0.4,47.5,35.8
232,25.8,96.1,65.6,33.0,82.1,1.1,50.6,36.5
233,28.1,99.4,71.4,37.1,84.3,1.8,53.7,37.3
234,33.1,100.7,75.1,42.4,87.8,4.4,57.3,36.7
235,39.0,105.0,75.9,47.8,93.1,6.6,61.2,36.9
236,42.3,109.5,80.5,52.2,94.0,8.8,64.5,37.2
237,46.2,111.5,85.8,54.8,96.2,12.5,67.8,36.7
238,56.0,116.8,91.3,58.5,99.9,16.4,73.1,36.6
239,62.6,118.4,94.0,58.0,101.3,19.2,75.6,36.0
240,69.9,122.5,97.2,63.8,105.5,22.1,80.1,36.0
241,77.1,126.9,100.4,67.8,109.8,25.0,84.5,36.3
242,84.1,132.3,101.8,71.3,114.2,28.5,88.7,36.5
243,93.3,137.8,106.8,77.0,115.0,32.2,93.7,36.4
244,96.6,140.7,110.0,77.9,119.3,35.3,96.6,36.7
