LABORATORY,FSRI 
TEST IDENT,Masonite_HF50_3
OPERATOR,Dow
MATERIAL,masonite
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03810223191976547
SPEC HOLDER DIFF,-566
SPECIMEN MASS,34.09000015258789
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1303
TIME TO IGN,42.25
END OF TEST SCAN,823
END OF TEST TIME,205.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.53 x 101.46 x 2.91 mm; with tie wires
POST TEST CMT,"Sample layers started to delaminate and warp near end of test, but were limited by tie wires. "
