LABORATORY,FSRI 
TEST IDENT,Masonite_HF75_R3
OPERATOR,Marino
MATERIAL,Masonite
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04146094247698784
SPEC HOLDER DIFF,-566
SPECIMEN MASS,34.619998931884766
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1049
TIME TO IGN,22.25
END OF TEST SCAN,569
END OF TEST TIME,142.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.59 x 100.96 x 2.96 mm; with calcium silicate substrate; with tie wires
POST TEST CMT,"Warped, charred, and fractured while burning."
