LABORATORY,FSRI 
TEST IDENT,Masonite_HF50_4
OPERATOR,Dow
MATERIAL,masonite
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03810223191976547
SPEC HOLDER DIFF,-566
SPECIMEN MASS,34.599998474121094
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1486
TIME TO IGN,43.5
END OF TEST SCAN,1006
END OF TEST TIME,251.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.05 x 101.62 x 2.95 mm; with calcium silicate substrate; with tie wires
POST TEST CMT,"Sample layers started to delaminate and warp near end of test, but were limited by tie wires. "
