Names,Masonite_Board_R1,Masonite_Board_R2,Masonite_Board_R3,Mean,Std. Dev.
225,386.5,360.9,354.9,367.4,16.8
226,386.7,349.9,348.5,361.7,21.7
227,383.4,351.7,353.2,362.8,17.9
228,385.1,355.5,371.7,370.8,14.9
229,379.0,353.3,365.6,366.0,12.8
230,373.9,364.8,361.2,366.7,6.6
231,383.4,368.8,368.2,373.5,8.6
232,385.4,361.9,378.0,375.1,12.0
233,397.1,378.2,364.9,380.1,16.1
234,392.0,373.1,381.7,382.3,9.5
235,404.8,375.3,374.2,384.8,17.4
236,404.9,370.4,372.5,382.6,19.3
237,409.2,369.3,375.0,384.5,21.6
238,402.0,383.8,400.2,395.3,10.0
239,407.5,394.9,376.3,392.9,15.7
240,405.8,384.6,381.6,390.7,13.2
241,402.2,385.5,408.4,398.7,11.9
242,421.9,380.9,399.6,400.8,20.6
243,424.6,383.4,391.5,399.9,21.8
244,419.0,386.8,402.9,402.9,16.1
245,422.8,389.0,399.9,403.9,17.3
246,421.0,387.6,400.2,402.9,16.9
247,420.9,386.8,401.9,403.2,17.1
248,432.7,413.8,405.3,417.2,14.0
249,431.2,408.3,417.5,419.0,11.6
250,425.2,401.3,407.7,411.4,12.4
251,434.9,414.6,400.2,416.6,17.4
252,432.0,415.3,429.9,425.7,9.1
253,420.1,393.8,411.1,408.3,13.4
254,445.6,417.2,418.3,427.1,16.1
255,432.4,427.0,432.0,430.5,3.0
256,448.1,414.0,423.0,428.4,17.7
257,449.0,424.8,428.4,434.0,13.0
258,445.3,412.7,423.9,427.3,16.6
259,437.7,437.3,439.6,438.2,1.3
260,454.2,423.9,450.6,442.9,16.6
261,450.0,441.9,458.0,450.0,8.1
262,434.9,421.8,441.9,432.9,10.2
263,464.1,444.5,441.1,449.9,12.4
264,457.6,426.4,449.5,444.5,16.2
265,459.1,443.9,470.9,458.0,13.5
266,463.2,438.3,432.4,444.6,16.3
267,442.7,433.0,462.4,446.0,15.0
268,464.4,430.7,471.1,455.4,21.7
269,469.9,449.7,468.2,462.6,11.2
270,455.2,438.8,467.5,453.8,14.4
271,477.9,430.0,492.8,466.9,32.8
272,484.0,449.5,472.0,468.5,17.5
273,477.1,439.6,482.9,466.5,23.5
274,459.1,451.6,492.0,467.6,21.5
275,477.3,460.1,474.6,470.7,9.2
276,479.5,463.2,484.8,475.8,11.2
277,463.7,432.3,479.9,458.6,24.2
278,483.9,457.8,482.7,474.8,14.8
279,497.7,452.7,495.9,482.1,25.4
280,483.9,440.3,494.3,472.8,28.7
281,490.6,453.6,485.7,476.6,20.1
282,488.5,450.7,499.8,479.7,25.7
283,495.4,459.7,482.2,479.1,18.0
284,492.2,460.4,521.6,491.4,30.6
285,495.3,464.8,499.3,486.5,18.9
286,521.2,453.0,509.5,494.5,36.4
287,514.3,471.1,511.7,499.0,24.2
288,496.9,467.9,508.7,491.2,21.0
289,504.8,464.7,509.1,492.9,24.5
290,509.0,475.5,493.7,492.7,16.8
291,502.2,461.0,505.6,489.6,24.8
292,506.7,483.0,509.1,499.6,14.4
293,516.7,471.3,512.6,500.2,25.1
294,511.7,484.0,522.2,506.0,19.7
295,522.5,484.0,510.1,505.5,19.7
296,502.7,486.3,512.2,500.4,13.1
297,521.4,486.8,514.2,507.5,18.3
298,513.6,485.5,532.6,510.6,23.7
299,511.7,517.3,531.3,520.1,10.1
300,498.9,476.5,532.0,502.4,27.9
301,526.3,493.9,554.5,524.9,30.3
302,511.0,501.8,545.2,519.3,22.9
303,524.3,508.9,544.2,525.8,17.7
304,522.4,514.2,521.5,519.3,4.5
305,500.8,507.1,538.3,515.4,20.1
306,507.6,513.9,551.2,524.2,23.6
307,517.1,501.9,521.8,513.6,10.4
308,501.6,541.4,537.1,526.7,21.9
309,511.2,532.3,564.6,536.0,26.9
310,511.5,537.5,542.6,530.5,16.7
311,537.2,532.0,539.8,536.3,4.0
312,525.3,530.1,551.0,535.5,13.7
313,512.2,513.0,574.7,533.3,35.8
314,518.6,528.5,559.9,535.6,21.6
