LABORATORY,FSRI 
TEST IDENT,Masonite_HF75_R2
OPERATOR,Marino
MATERIAL,Masonite
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04146094247698784
SPEC HOLDER DIFF,-566
SPECIMEN MASS,34.83000183105469
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,990
TIME TO IGN,20
END OF TEST SCAN,510
END OF TEST TIME,127.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.61 x 100.98 x 2.98 mm; with calcium silicate substrate; with tie wires
POST TEST CMT,"Warped, charred, and fractured while burning."
