LABORATORY,FSRI 
TEST IDENT,Masonite_HF25_R3
OPERATOR,Marino
MATERIAL,Masonite
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04146094247698784
SPEC HOLDER DIFF,-566
SPECIMEN MASS,35.77000045776367
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1737
TIME TO IGN,153
END OF TEST SCAN,1257
END OF TEST TIME,314.25
TEST STATUS,1
PRE TEST CMT,"
Dimensions: 101.61 x 101.60 x 2.96 mm; with calcium silicate substrate; with tie wires"
POST TEST CMT,"Sample warped, separating from the underside insulation near center. Charred and fractured while burning."
