LABORATORY,FSRI 
TEST IDENT,Masonite_HF25_R2
OPERATOR,Marino
MATERIAL,Masonite
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04146094247698784
SPEC HOLDER DIFF,-566
SPECIMEN MASS,35.470001220703125
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1824
TIME TO IGN,149.75
END OF TEST SCAN,1344
END OF TEST TIME,336
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.63 x 101.51 x 3.00 mm; with calcium silicate substrate; with tie wires
POST TEST CMT,"Sample warped, separating from the underside insulation near center. Charred and fractured while burning. See test pictures.
"
