#EXPORTTYPE,NGB PARSER
#FILE,145A_Painted_Fiberglass_STA_N2_10K_260223_R2.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,145A_Painted_Fiberglass
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2026-02-23T22:58:50+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"Fragment of un-burned fiberglass panel from the Dekalb LODD incident. 
Dark/black paint or other coating on one side.
Sample vial label: ""145A_Painted_Fiberglass  February 05, 2026""
Fine brown-ish/gray-ish  powder."
#SAMPLE,145A_Painted_Fiberglass
#SAMPLE MASS/mg,4.04
#MATERIAL,145A_Painted_Fibergla
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,257.22
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
