#EXPORTTYPE,DATA ALL
#FILE,Polyester_fab_test_30K.ngb-ds3
#FORMAT,NETZSCH5
#FTYPE,ANSI
#IDENTITY,PET_Fabric_Test_30K
#DECIMAL,POINT
#SEPARATOR,SEMICOLON
#MTYPE,DSC
#INSTRUMENT,NETZSCH STA 449F3
#PROJECT,
#DATE/TIME,12.02.2021 10
#CORR. FILE,Correction_30K (12 Feb).ngb-bs3
#TEMPCAL,29-01-2021 10
#SENSITIVITY,29-01-2021 10
#LABORATORY,
#OPERATOR,
#REMARK,236.67 mg crucible mass
#SAMPLE,PET_Fabric_Test_30K
#SAMPLE MASS /mg,3.54
#MATERIAL,
#REFERENCE,
#REFERENCE MASS /mg,0
#TYPE OF CRUCIBLE,"PtRh20 0.19 ml, with lid"
#SAMPLE CRUCIBLE MASS /mg,0
#REFERENCE CRUCIBLE MASS /mg,0
#DSC RANGE /µV,5000
#TG RANGE /mg,35000
#TAU-R,---
#CORR. CODE,020
#EXO,-1
#RANGE,50°C/30.0(K/min)/650°C
#SEGMENT,S2/3
#SEG. 2,50°C/30.0(K/min)/650°C
