LABORATORY,FSRI 
TEST IDENT,Oak_Flooring_75_2
OPERATOR,Dow
MATERIAL,Oak Flooring
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04145139455795288
SPEC HOLDER DIFF,-566
SPECIMEN MASS,159.02999877929688
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5301
TIME TO IGN,12.25
END OF TEST SCAN,4821
END OF TEST TIME,1205.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.12 x 100.11 x 14.09 mm; with tie wires
POST TEST CMT,Test ended at 20 minutes according to average mass loss rate less than 150 g/m^2 over one minute. Small flames remained at end of test.
