LABORATORY,FSRI 
TEST IDENT,Oak_Flooring_50_2
OPERATOR,Dow
MATERIAL,Oak Flooring
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.041159629821777344
SPEC HOLDER DIFF,-566
SPECIMEN MASS,138.2100067138672
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,6486
TIME TO IGN,25
END OF TEST SCAN,6006
END OF TEST TIME,1501.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.90 x 99.96 x 14.19 mm; with tie wires
POST TEST CMT,Test ended according to average mass loss rate less than 150 g/m^2 over one minute. Very small flames remained at end of test.
