LABORATORY,FSRI 
TEST IDENT,Oak_Floor_HF25_4
OPERATOR,Dow
MATERIAL,Oak Flooring
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.042408816516399384
SPEC HOLDER DIFF,-566
SPECIMEN MASS,158.64999389648438
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,7086
TIME TO IGN,234
END OF TEST SCAN,6606
END OF TEST TIME,1651.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.55 x 101.78 x 18.76 mm; with tie wires; joint between boards centered on sample
