LABORATORY,FSRI 
TEST IDENT,Oak_Flooring_HF75_1
OPERATOR,Dow
MATERIAL,Oak flooring
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04218441992998123
SPEC HOLDER DIFF,-566
SPECIMEN MASS,130.8300018310547
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4204
TIME TO IGN,10.75
END OF TEST SCAN,3724
END OF TEST TIME,931
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.21 x 101.06 x 18.70 mm; with tie wires; joint between boards centered on sample
