Names,Cellulose_Insulation_R1,Cellulose_Insulation_R2,Cellulose_Insulation_R3,Mean,Std. Dev.
8,5.3,,4.4,4.9,0.6
9,5.4,3.7,4.7,4.6,0.9
10,5.5,3.7,4.7,4.7,0.9
11,5.5,3.6,5.0,4.7,1.0
12,5.7,3.6,5.2,4.8,1.1
13,5.6,3.6,5.2,4.8,1.1
14,5.6,3.7,5.3,4.9,1.0
15,5.8,3.6,5.6,5.0,1.2
16,5.9,3.6,5.6,5.0,1.3
17,5.9,3.6,5.7,5.1,1.3
18,5.9,3.6,5.8,5.1,1.3
19,6.2,3.6,5.9,5.2,1.4
20,6.1,3.6,5.9,5.2,1.4
21,5.9,3.6,6.0,5.2,1.4
22,6.0,3.5,6.0,5.2,1.4
23,6.2,3.6,6.1,5.3,1.5
24,6.2,3.6,6.1,5.3,1.5
25,6.2,3.6,6.2,5.3,1.5
26,6.2,3.6,6.2,5.3,1.5
27,6.2,3.6,6.2,5.3,1.5
28,6.4,3.5,6.2,5.4,1.6
29,6.4,3.5,6.3,5.4,1.6
30,6.7,3.7,6.3,5.5,1.6
31,6.5,3.8,6.4,5.6,1.6
32,6.7,3.7,6.4,5.6,1.6
33,6.8,3.8,6.4,5.7,1.6
34,6.8,4.0,6.6,5.8,1.5
35,6.8,4.1,6.4,5.8,1.5
36,7.1,4.3,6.6,6.0,1.5
37,7.0,4.4,6.5,6.0,1.4
38,7.2,4.4,6.4,6.0,1.4
39,7.3,4.6,6.4,6.1,1.4
40,7.4,4.7,6.4,6.1,1.4
41,7.7,4.7,6.5,6.3,1.5
42,9.0,4.8,6.7,6.8,2.1
43,10.1,5.9,6.5,7.5,2.3
44,11.3,6.7,6.6,8.2,2.7
45,12.4,7.5,8.2,9.4,2.7
46,19.8,8.2,10.0,12.7,6.3
47,27.1,14.3,11.0,17.5,8.5
48,32.9,20.6,12.4,21.9,10.3
49,39.3,25.3,19.3,27.9,10.3
50,44.4,29.5,25.1,33.0,10.1
51,56.5,40.9,30.6,42.7,13.0
