LABORATORY,FSRI 
TEST IDENT,Cellulose_Ins_HF50_2
OPERATOR,Dow
MATERIAL,cellulose insulation
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.039478302001953125
SPEC HOLDER DIFF,-566
SPECIMEN MASS,16.829999923706055
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2885
TIME TO IGN,0
END OF TEST SCAN,2405
END OF TEST TIME,601.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.0 x 99.5 x 36.1 mm
POST TEST CMT,No ignition. Test ended after 10 minutes. No mass loss after 10 minutes in replicate R1. 
