LABORATORY,FSRI 
TEST IDENT,Oak_Flooring_HF75_2
OPERATOR,Dow
MATERIAL,Oak flooring
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04218441992998123
SPEC HOLDER DIFF,-566
SPECIMEN MASS,132.14999389648438
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,3829
TIME TO IGN,13
END OF TEST SCAN,3349
END OF TEST TIME,837.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.36 x 101.43 x 18.47 mm; with tie wires; joint between boards centered on sample
