LABORATORY,FSRI 
TEST IDENT,Oak_Floor_HF25_1
OPERATOR,Dow
MATERIAL,Oak Flooring
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.0415135882794857
SPEC HOLDER DIFF,-566
SPECIMEN MASS,123.06999969482422
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,6168
TIME TO IGN,143
END OF TEST SCAN,5688
END OF TEST TIME,1422
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.36 x 100.96 x 18.87 mm; joint between boards on centerline of sample
POST TEST CMT,Swelling and warping near end of test. Sample formed an arch and separated at joint between boards. See post test pictures.
