LABORATORY,FSRI 
TEST IDENT,Oak_Floor_HF50_1
OPERATOR,Dow
MATERIAL,Oak Flooring
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04218441992998123
SPEC HOLDER DIFF,-566
SPECIMEN MASS,145.35000610351562
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5433
TIME TO IGN,27.25
END OF TEST SCAN,4953
END OF TEST TIME,1238.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.08 x 101.41 x 19.01 mm; with tie wires; joint between boards centered on sample
