LABORATORY,FSRI 
TEST IDENT,Oak_Flooring_HF75_3
OPERATOR,Dow
MATERIAL,Oak flooring
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04218441992998123
SPEC HOLDER DIFF,-566
SPECIMEN MASS,134.94000244140625
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,4075
TIME TO IGN,11
END OF TEST SCAN,3595
END OF TEST TIME,898.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.46 x 100.35 x 19.00 mm; with tie wires; joint between boards centered on sample
