Names,Rubber_Foam_Pipe_Insulation_R1,Rubber_Foam_Pipe_Insulation_R2,Rubber_Foam_Pipe_Insulation_R3,Mean,Std. Dev.
216,81.1,76.7,88.0,81.9,5.7
217,78.0,72.2,87.6,79.2,7.8
218,76.6,72.2,86.2,78.3,7.2
219,74.9,71.0,84.8,76.9,7.1
220,72.4,67.6,81.9,74.0,7.3
221,71.2,,80.7,76.0,6.7
222,69.3,,79.8,74.5,7.4
223,67.5,,76.4,72.0,6.3
224,66.0,,75.9,71.0,7.0
225,64.3,,74.3,69.3,7.1
226,62.6,,72.4,67.5,6.9
