#EXPORTTYPE,NGB PARSER
#FILE,126F_Honeywell_Bracket_STA_N2_10K_250521_R1.ngb-ss3
#FORMAT,NGB PARSER
#FTYPE,NGB PARSER
#IDENTITY,126F_Honeywell_Bracket
#DECIMAL,POINT
#SEPARATOR,COMMA
#MTYPE,TG
#INSTRUMENT,STA449F3A-0157-M
#PROJECT,NIJ 2019
#DATE/TIME,2025-05-21T21:44:15+00:00
#CORR. FILE, 
#TEMPCAL, 
#SENSITIVITY, 
#LABORATORY,UL FSRI
#OPERATOR,John
#REMARK,"126F Honeywell Helmet Bracket (bracket that held shield to shell)
Sample vial label: ""126F_Honeywell_Bracket  Vial 1 of 2  April 18, 2025""
Coarse powder, basically black but seems to have a blue-ish or gray-ish tint to it.
BRAND NEW crucible!"
#SAMPLE,126F_Honeywell_Bracket
#SAMPLE MASS/mg,3.99
#MATERIAL,126F_Honeywell_Brack
#REFERENCE, 
#REFERENCE MASS/mg,0
#TYPE OF CRUCIBLE,"PtRh20 85 l, with lid"
#SAMPLE CRUCIBLE MASS/mg,253.45
#REFERENCE CRUCIBLE MASS/mg,0
#PURGE 1 MFC,NITROGEN250.0 ml/min
#PURGE 2 MFC,OXYGEN252.5 ml/min
#PROTECTIVE MFC,NITROGEN250.0 ml/min
#DSC RANGE/uV,5000
#TG RANGE/mg,35000
#TAU-R,---
#CORR. CODE,0
#EXO,-1
