Names,Vinyl_Siding_R1,Vinyl_Siding_R2,Vinyl_Siding_R3,Mean,Std. Dev.
595,13.9,,,13.9,
596,14.7,,,14.7,
597,15.4,,,15.4,
598,16.0,,,16.0,
599,16.9,,,16.9,
600,17.3,,,17.3,
601,17.7,,,17.7,
602,19.3,,,19.3,
603,20.3,,,20.3,
604,21.5,,,21.5,
605,22.5,,,22.5,
606,25.0,,,25.0,
607,26.7,,,26.7,
608,28.4,,,28.4,
609,30.3,,,30.3,
610,31.3,,,31.3,
611,32.5,,,32.5,
612,35.7,,,35.7,
613,40.5,,,40.5,
614,40.1,,,40.1,
615,42.5,,,42.5,
616,45.0,,,45.0,
617,49.0,,,49.0,
618,52.3,,,52.3,
619,54.8,,,54.8,
620,57.7,,,57.7,
621,60.9,,,60.9,
622,65.0,,,65.0,
623,67.6,,,67.6,
624,71.8,,,71.8,
625,74.2,,,74.2,
626,78.5,,,78.5,
627,84.0,,,84.0,
628,86.7,,,86.7,
629,90.2,,,90.2,
630,94.1,,,94.1,
631,93.2,,,93.2,
632,97.0,,,97.0,
633,98.5,,,98.5,
634,103.6,,,103.6,
635,106.4,,,106.4,
636,111.0,,,111.0,
637,112.4,,,112.4,
638,115.5,,,115.5,
639,119.4,,,119.4,
640,121.2,,,121.2,
641,121.4,,,121.4,
642,127.2,,,127.2,
643,129.5,,,129.5,
644,131.6,,,131.6,
645,134.6,,,134.6,
646,133.2,,,133.2,
647,136.0,,,136.0,
648,139.6,,,139.6,
649,140.8,,,140.8,
650,141.5,,,141.5,
651,142.8,,,142.8,
652,143.4,,,143.4,
653,147.2,,,147.2,
654,146.4,,,146.4,
655,148.6,,,148.6,
656,147.8,,,147.8,
657,148.5,,,148.5,
658,148.5,,,148.5,
659,150.0,,,150.0,
660,149.8,,,149.8,
661,150.9,,,150.9,
662,152.0,,,152.0,
663,150.9,,,150.9,
664,150.7,,,150.7,
665,150.2,,,150.2,
666,148.0,,,148.0,
667,148.3,,,148.3,
668,151.4,,,151.4,
669,148.7,,,148.7,
670,148.7,,,148.7,
671,149.1,,,149.1,
672,149.2,,,149.2,
673,148.7,,,148.7,
674,149.4,,,149.4,
675,148.4,,,148.4,
676,146.9,,,146.9,
677,147.2,,,147.2,
678,145.0,,,145.0,
679,143.8,,,143.8,
680,146.1,,,146.1,
681,144.6,,,144.6,
