LABORATORY,FSRI 
TEST IDENT,Vinyl_Siding_HF25_2
OPERATOR,Dow
MATERIAL,Vinyl Siding
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.008840000256896019
C FACTOR,0.03971550241112709
SPEC HOLDER DIFF,-566
SPECIMEN MASS,14.170000076293945
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1529
TIME TO IGN,202.75
END OF TEST SCAN,1049
END OF TEST TIME,262.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.70 x 100.01 x 1.05 mm; with frame; with calcium silicate substrate
POST TEST CMT,"Prior to ignition, the sample began to melt and warp."
