LABORATORY,FSRI 
TEST IDENT,Vinyl_Siding_HF75_2
OPERATOR,Dow
MATERIAL,Vinyl Siding
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.00884
C FACTOR,0.03971550241112709
SPEC HOLDER DIFF,-566
SPECIMEN MASS,14.630000114440918
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,969
TIME TO IGN,17.5
END OF TEST SCAN,489
END OF TEST TIME,122.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 101.98 x 100.74 x 0.91 mm; with frame; with calcium silicate substrate
POST TEST CMT,"Prior to ignition, the sample warped and shrivelled. The sample impacted the spark ignitor causing a spike in mass data immediately prior to ignition. "
