LABORATORY,FSRI 
TEST IDENT,Vinyl_Siding_HF25_1
OPERATOR,Dow
MATERIAL,Vinyl Siding
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.00884
C FACTOR,0.03971550241112709
SPEC HOLDER DIFF,-566
SPECIMEN MASS,13.770000457763672
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1409
TIME TO IGN,148.5
END OF TEST SCAN,929
END OF TEST TIME,232.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.85 x 99.64 x 1.00 mm; with frame; with calcium silicate substrate
POST TEST CMT,"Prior to ignition, the sample began to melt and warp."
