LABORATORY,FSRI 
TEST IDENT,Vinyl_Siding_HF25_3
OPERATOR,Dow
MATERIAL,Vinyl Siding
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.008840000256896019
C FACTOR,0.03971550241112709
SPEC HOLDER DIFF,-566
SPECIMEN MASS,14.18
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1472
TIME TO IGN,194.25
END OF TEST SCAN,992
END OF TEST TIME,248
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.80 x 101.06 x 1.03 mm; with frame; with calcium silicate substrate
POST TEST CMT,"Prior to ignition, the sample began to melt and warp."
