Time after Ignition,Vinyl_Siding_R1,Vinyl_Siding_R2,Vinyl_Siding_R3,Mean,Std. Dev.
0.0,95.7,118.7,103.9,106.1,11.7
0.25,103.9,130.0,120.8,118.2,13.2
0.5,113.5,145.1,136.6,131.7,16.3
0.75,131.5,159.3,148.2,146.3,14.0
1.0,146.0,173.7,167.3,162.3,14.5
1.25,162.9,187.4,180.8,177.1,12.7
1.5,173.6,194.8,196.9,188.4,12.9
1.75,186.1,202.5,208.7,199.1,11.7
2.0,203.5,214.6,222.8,213.6,9.7
2.25,213.9,219.3,233.1,222.1,9.9
2.5,220.7,227.7,244.7,231.0,12.3
2.75,230.7,235.7,253.7,240.0,12.1
3.0,240.7,240.9,259.4,247.0,10.7
3.25,250.5,246.3,271.1,256.0,13.3
3.5,258.8,253.7,276.5,263.0,11.9
3.75,266.2,257.3,282.5,268.7,12.8
4.0,270.1,263.5,282.3,272.0,9.5
4.25,277.7,262.8,289.4,276.6,13.3
4.5,279.5,272.8,303.0,285.1,15.8
4.75,280.4,271.2,303.7,285.1,16.7
5.0,279.3,276.2,304.6,286.7,15.6
5.25,288.0,270.5,306.7,288.4,18.1
5.5,294.5,276.4,307.6,292.8,15.7
5.75,291.5,275.2,309.3,292.0,17.1
6.0,299.5,277.1,314.2,296.9,18.7
6.25,303.0,273.7,314.0,296.9,20.8
6.5,298.3,272.8,315.4,295.5,21.5
6.75,299.0,271.6,311.4,294.0,20.4
7.0,305.3,269.3,311.9,295.5,23.0
7.25,294.1,275.1,312.5,293.9,18.7
7.5,303.5,263.4,312.7,293.2,26.2
7.75,302.1,264.4,312.4,293.0,25.3
8.0,300.9,264.6,310.1,291.9,24.1
8.25,294.2,262.1,314.4,290.2,26.3
8.5,296.6,256.5,302.6,285.2,25.1
8.75,286.7,253.7,307.0,282.5,26.9
9.0,291.5,250.3,308.3,283.3,29.8
9.25,286.9,251.0,305.3,281.1,27.6
9.5,281.3,247.3,304.5,277.7,28.8
9.75,280.1,242.3,306.7,276.4,32.3
10.0,275.6,241.6,295.6,270.9,27.3
10.25,270.5,240.9,304.0,271.8,31.6
10.5,265.7,236.9,306.1,269.6,34.8
10.75,265.7,235.1,300.1,267.0,32.5
11.0,261.2,233.1,296.3,263.5,31.7
11.25,256.4,232.0,293.1,260.5,30.8
11.5,254.0,227.7,293.1,258.2,32.9
11.75,252.9,223.4,292.4,256.2,34.6
12.0,242.8,223.6,290.5,252.3,34.4
12.25,242.9,220.2,284.8,249.3,32.8
12.5,243.5,212.6,283.5,246.5,35.5
12.75,236.9,212.3,281.6,243.6,35.1
13.0,235.8,214.9,284.0,244.9,35.5
13.25,234.4,205.9,278.5,239.6,36.5
13.5,232.2,207.6,278.0,239.3,35.7
13.75,224.9,206.6,278.3,236.6,37.3
14.0,225.0,202.9,273.2,233.7,36.0
14.25,224.9,204.8,276.1,235.3,36.7
14.5,223.3,197.9,269.1,230.1,36.1
14.75,218.1,201.2,268.3,229.2,34.9
15.0,216.5,197.3,266.0,226.6,35.5
15.25,216.3,195.6,264.7,225.5,35.5
15.5,212.0,191.5,259.9,221.1,35.1
15.75,208.6,191.5,259.7,219.9,35.5
16.0,207.5,192.2,262.6,220.8,37.1
16.25,210.0,189.0,258.3,219.1,35.6
16.5,202.8,186.6,259.1,216.2,38.1
16.75,203.2,184.1,251.3,212.9,34.6
17.0,205.1,182.7,249.4,212.4,34.0
17.25,202.1,184.0,246.3,210.8,32.0
17.5,198.7,182.3,249.7,210.2,35.1
17.75,197.0,177.7,249.3,208.0,37.1
18.0,199.5,178.2,245.2,207.6,34.2
18.25,195.9,174.1,241.3,203.8,34.3
18.5,196.5,177.2,243.2,205.7,33.9
18.75,190.0,175.7,237.9,201.2,32.6
19.0,189.8,174.7,244.0,202.8,36.5
19.25,190.5,173.4,239.0,201.0,34.0
19.5,187.9,170.2,236.7,198.3,34.4
19.75,190.4,168.5,237.4,198.8,35.2
20.0,186.1,171.1,232.8,196.7,32.2
20.25,187.8,168.6,233.4,196.6,33.3
20.5,186.0,169.6,231.1,195.6,31.8
20.75,187.7,167.9,228.3,194.6,30.8
21.0,187.3,168.2,225.2,193.6,29.0
21.25,183.2,167.6,222.5,191.1,28.3
21.5,186.0,167.6,221.5,191.7,27.4
21.75,184.5,164.3,218.9,189.3,27.6
22.0,183.3,167.3,214.6,188.4,24.0
22.25,181.5,165.6,216.2,187.8,25.9
22.5,182.5,165.3,215.5,187.8,25.5
22.75,184.2,162.2,212.7,186.4,25.3
23.0,181.2,164.6,208.8,184.9,22.3
23.25,182.7,165.9,208.4,185.7,21.4
23.5,179.6,163.5,207.7,183.6,22.4
23.75,181.7,159.2,206.4,182.5,23.6
24.0,180.5,161.8,203.5,182.0,20.9
24.25,178.3,161.1,201.1,180.2,20.0
24.5,176.6,160.6,200.1,179.1,19.9
24.75,175.7,158.2,197.0,177.0,19.4
25.0,175.8,156.5,196.7,176.3,20.1
25.25,171.9,156.3,195.1,174.5,19.5
25.5,175.0,159.4,189.7,174.7,15.2
25.75,173.0,153.9,191.3,172.7,18.7
26.0,172.8,152.3,191.8,172.3,19.7
26.25,171.4,152.6,187.4,170.5,17.4
26.5,175.0,152.9,185.7,171.2,16.8
26.75,170.6,150.2,182.6,167.8,16.4
27.0,172.0,149.0,180.7,167.2,16.4
27.25,170.2,148.7,182.8,167.2,17.3
27.5,171.1,149.7,180.5,167.1,15.8
27.75,165.8,146.7,178.2,163.6,15.9
28.0,169.3,148.2,176.3,164.6,14.6
28.25,167.0,145.7,176.5,163.1,15.8
28.5,168.9,144.2,174.9,162.7,16.3
28.75,166.5,144.6,176.4,162.5,16.2
29.0,167.4,143.8,172.5,161.2,15.3
29.25,167.4,142.6,169.7,159.9,15.0
29.5,164.3,139.9,168.7,157.6,15.5
29.75,162.7,140.9,168.4,157.3,14.5
30.0,166.3,139.5,167.0,157.6,15.7
30.25,164.5,140.7,167.2,157.5,14.6
30.5,162.0,136.4,164.3,154.2,15.5
30.75,160.5,136.6,166.4,154.5,15.8
31.0,159.6,135.5,165.3,153.4,15.8
31.25,161.8,134.9,160.9,152.5,15.2
31.5,160.4,134.1,161.4,152.0,15.5
31.75,160.1,132.3,162.8,151.7,16.9
32.0,159.8,130.9,160.7,150.4,17.0
32.25,157.3,132.3,161.5,150.4,15.8
