Time after Ignition,PETG_R1,PETG_R2,PETG_R3,Mean,Std. Dev.
0.0,3.1574178930941565,-1.1695300867656078,4.552120371266587,2.180002725865045,2.9834252626506563
0.25,3.8899105293515124,-0.5407742351996047,5.356898642320458,2.902011645490789,3.0704388116536196
0.5,4.551961515689728,0.026659471790136797,5.825265353000952,3.4679621134936056,3.0474987398478652
0.75,5.161055062774848,0.5313442243923271,6.404507794368447,4.032302360511874,3.0950080092098524
1.0,7.053849000278845,0.9890135190254363,9.008424949342166,5.6837624895488155,4.181577777267444
1.25,8.651580307234038,2.625601924457463,11.023633913393455,7.433605381694986,4.329472544228621
1.5,9.925544192069447,4.088356754212244,12.811843032219894,8.941914659500528,4.444147668974699
1.75,11.421139866697802,5.249478849693221,16.73735323879935,11.135990651730125,5.749243172024267
2.0,13.655950034318717,6.482711121752979,19.68303189907083,13.27389768504751,6.608448392339163
2.25,16.223151745466538,7.749710355054387,22.67414686380547,15.549002988108796,7.485022290295519
2.5,18.0964188270358,8.543042885903624,25.5242888500203,17.387916854319908,8.512764527899499
2.75,19.913910305732543,10.897331833201314,28.001644801664433,19.604295646866095,8.556358831800047
3.0,23.98594595896924,13.123235074974293,32.43428045380852,23.18115382925068,9.680644926082733
3.25,28.606167443834664,15.013856580698171,39.533618718148766,27.717880914227198,12.283992573194617
3.5,31.76603058328333,16.58044064832783,39.665511186637424,29.337327472749525,11.73260710750257
3.75,35.29417396399361,20.183382479864303,42.67851803950803,32.71869149445531,11.466586825418505
4.0,37.7038124443947,23.114879477508346,44.977767156111064,35.265486359338034,11.133532233060649
4.25,43.40104062958142,26.292923303561203,47.778476133251566,39.1574800221314,11.35399049106437
4.5,48.11994208327816,28.46544426840703,50.69531698357422,42.42690111175313,12.159352238533542
4.75,52.78869307972064,30.86568856721046,52.98416249223124,45.546181379720785,12.71405537137668
5.0,56.65170077954861,35.91051712613306,56.81304218860349,49.791753364761725,12.021773887286026
5.25,60.19096090991865,40.50477217408255,60.98150242490381,53.892411836301676,11.600771990078748
5.5,65.3709033984479,44.58533910358967,63.54543264679795,57.833891716278494,11.509830390352
5.75,69.82161445510093,48.094877001111165,66.33629742832528,61.417596294845794,11.668675834430388
6.0,75.91523814476444,55.16853153449788,72.47727647958091,67.85368205294775,11.119338013551639
6.25,78.56509774796346,62.60880361473634,75.71625905005142,72.29672013758375,8.510039094911672
6.5,82.68351601253092,67.47387285730046,79.36017775987956,76.50585554323698,7.996479082363481
6.75,89.55434414496561,72.97979114083783,85.40679242872565,82.64697590484303,8.62504447848137
7.0,93.14596303022769,79.96597879680137,93.66497329515963,88.9256383740629,7.763631091125264
7.25,97.44182367764847,85.69816495915954,98.57646733783214,93.90548532488005,7.130353059146282
7.5,103.07114478748011,92.85512746250626,104.1775423836454,100.03460487787726,6.242171167035292
7.75,110.44057169616416,97.53391260650262,107.43865090505084,105.13771173590588,6.753976829192175
8.0,116.34770339909721,103.67655983987501,114.24023649289929,111.42149991062384,6.789582219459308
8.25,120.23993651916405,110.42110848982917,122.55201838788817,117.73768779896045,6.440937837925999
8.5,126.0806272921136,117.2298197246159,130.3615619813298,124.55733633268642,6.69708706711327
8.75,127.31039061332801,126.87322358984436,133.37480356892752,129.18613925736665,3.6340693840119904
9.0,134.22131263064813,125.93042406469411,142.56429797624963,134.23867822386396,8.316950552892129
